gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-MMC22_000001	rna-gnl|WGS:JALDZH|MMC22_000001-T1_mrna	PF03399.23	Partial	None
gene-MMC22_000002	rna-gnl|WGS:JALDZH|MMC22_000002-T1_mrna	PF11001.15	Partial	None
gene-MMC22_000003	rna-gnl|WGS:JALDZH|MMC22_000003-T1_mrna	PF00005.34,PF00005.34,PF00664.29,PF00664.29,PF24357.2	Complete	None
gene-MMC22_000004	rna-gnl|WGS:JALDZH|MMC22_000004-T1_mrna		None	None
gene-MMC22_000005	rna-gnl|WGS:JALDZH|MMC22_000005-T1_mrna		None	None
gene-MMC22_000006	rna-gnl|WGS:JALDZH|MMC22_000006-T1_mrna	PF00179.32	Partial	None
gene-MMC22_000007	rna-gnl|WGS:JALDZH|MMC22_000007-T1_mrna	PF11500.14	Partial	None
gene-MMC22_000008	rna-gnl|WGS:JALDZH|MMC22_000008-T1_mrna	PF00069.32,PF00069.32,PF00069.32,PF05773.28,PF07714.24,PF07714.24,PF07714.24,PF12745.13,PF13393.12	Complete	None
gene-MMC22_000009	rna-gnl|WGS:JALDZH|MMC22_000009-T1_mrna	PF00076.29,PF16131.12	Complete	None
gene-MMC22_000010	rna-gnl|WGS:JALDZH|MMC22_000010-T1_mrna	PF01926.30,PF02421.25,PF02824.28,PF16897.11	Complete	None
gene-MMC22_000011	rna-gnl|WGS:JALDZH|MMC22_000011-T1_mrna	PF00226.37,PF01556.24	Partial	None
gene-MMC22_000012	rna-gnl|WGS:JALDZH|MMC22_000012-T1_mrna	PF01730.22	Partial	None
gene-MMC22_000013	rna-gnl|WGS:JALDZH|MMC22_000013-T1_mrna	PF03109.23	Complete	None
gene-MMC22_000014	rna-gnl|WGS:JALDZH|MMC22_000014-T1_mrna	PF12929.13	Partial	None
gene-MMC22_000015	rna-gnl|WGS:JALDZH|MMC22_000015-T1_mrna	PF09751.15	Partial	None
gene-MMC22_000016	rna-gnl|WGS:JALDZH|MMC22_000016-T1_mrna	PF00149.34,PF08321.19	Partial	None
gene-MMC22_000017	rna-gnl|WGS:JALDZH|MMC22_000017-T1_mrna		None	None
gene-MMC22_000018	rna-gnl|WGS:JALDZH|MMC22_000018-T1_mrna	PF00856.34,PF08236.18,PF17907.8	Complete	None
gene-MMC22_000019	rna-gnl|WGS:JALDZH|MMC22_000019-T1_mrna	PF00202.28	Partial	None
gene-MMC22_000020	rna-gnl|WGS:JALDZH|MMC22_000020-T1_mrna	PF01195.27	Partial	None
gene-MMC22_000021	rna-gnl|WGS:JALDZH|MMC22_000021-T1_mrna	PF10354.16	Partial	None
gene-MMC22_000022	rna-gnl|WGS:JALDZH|MMC22_000022-T1_mrna	PF08513.18,PF10607.15	Complete	None
gene-MMC22_000023	rna-gnl|WGS:JALDZH|MMC22_000023-T1_mrna	PF01472.27,PF01509.24,PF08068.18,PF16198.11	Complete	None
gene-MMC22_000024	rna-gnl|WGS:JALDZH|MMC22_000024-T1_mrna	PF04511.21	Partial	None
gene-MMC22_000025	rna-gnl|WGS:JALDZH|MMC22_000025-T1_mrna	PF10357.17,PF25095.2	Partial	None
gene-MMC22_000026	rna-gnl|WGS:JALDZH|MMC22_000026-T1_mrna		None	None
gene-MMC22_000027	rna-gnl|WGS:JALDZH|MMC22_000027-T1_mrna	PF01522.27	Partial	None
gene-MMC22_000028	rna-gnl|WGS:JALDZH|MMC22_000028-T1_mrna	PF07061.17	Partial	None
gene-MMC22_000029	rna-gnl|WGS:JALDZH|MMC22_000029-T1_mrna		None	None
gene-MMC22_000030	rna-gnl|WGS:JALDZH|MMC22_000030-T1_mrna	PF00005.34,PF00005.34,PF00664.29,PF00664.29	Complete	None
gene-MMC22_000031	rna-gnl|WGS:JALDZH|MMC22_000031-T1_mrna	PF01466.25,PF03931.22	Complete	None
gene-MMC22_000032	rna-gnl|WGS:JALDZH|MMC22_000032-T1_mrna	PF03901.24	Partial	None
gene-MMC22_000033	rna-gnl|WGS:JALDZH|MMC22_000033-T1_mrna		None	None
gene-MMC22_000034	rna-gnl|WGS:JALDZH|MMC22_000034-T1_mrna		None	None
gene-MMC22_000035	rna-gnl|WGS:JALDZH|MMC22_000035-T1_mrna	PF01912.25	Partial	None
gene-MMC22_000036	rna-gnl|WGS:JALDZH|MMC22_000036-T1_mrna		None	None
gene-MMC22_000037	rna-gnl|WGS:JALDZH|MMC22_000037-T1_mrna	PF00069.32,PF07714.24,PF14531.13	Partial	None
gene-MMC22_000038	rna-gnl|WGS:JALDZH|MMC22_000038-T1_mrna	PF00069.32,PF03114.24,PF07714.24	Complete	None
gene-MMC22_000039	rna-gnl|WGS:JALDZH|MMC22_000039-T1_mrna	PF00097.32,PF08647.18,PF13445.13,PF13920.13,PF13923.13,PF26095.1	Complete	None
gene-MMC22_000040	rna-gnl|WGS:JALDZH|MMC22_000040-T1_mrna	PF00249.38,PF15963.12	Complete	None
gene-MMC22_000041	rna-gnl|WGS:JALDZH|MMC22_000041-T1_mrna	PF06682.18	Partial	None
gene-MMC22_000042	rna-gnl|WGS:JALDZH|MMC22_000042-T1_mrna	PF08320.18	Partial	None
gene-MMC22_000043	rna-gnl|WGS:JALDZH|MMC22_000043-T1_mrna	PF04882.18	Partial	None
gene-MMC22_000044	rna-gnl|WGS:JALDZH|MMC22_000044-T1_mrna	PF07855.18	Partial	None
gene-MMC22_000045	rna-gnl|WGS:JALDZH|MMC22_000045-T1_mrna	PF03134.25	Partial	None
gene-MMC22_000046	rna-gnl|WGS:JALDZH|MMC22_000046-T1_mrna	PF02257.22,PF25340.1	Complete	None
gene-MMC22_000047	rna-gnl|WGS:JALDZH|MMC22_000047-T1_mrna		None	None
gene-MMC22_000048	rna-gnl|WGS:JALDZH|MMC22_000048-T1_mrna	PF00899.28	Partial	None
gene-MMC22_000049	rna-gnl|WGS:JALDZH|MMC22_000049-T1_mrna	PF00043.31,PF00647.25,PF02798.27,PF13410.12,PF14497.12	Complete	None
gene-MMC22_000050	rna-gnl|WGS:JALDZH|MMC22_000050-T1_mrna	PF00380.26	Partial	None
gene-MMC22_000051	rna-gnl|WGS:JALDZH|MMC22_000051-T1_mrna	PF01125.23	Partial	None
gene-MMC22_000052	rna-gnl|WGS:JALDZH|MMC22_000052-T1_mrna	PF03033.27,PF06722.19	Complete	None
gene-MMC22_000053	rna-gnl|WGS:JALDZH|MMC22_000053-T1_mrna	PF00814.32	Partial	None
gene-MMC22_000054	rna-gnl|WGS:JALDZH|MMC22_000054-T1_mrna	PF04739.21,PF16561.12	Complete	None
gene-MMC22_000055	rna-gnl|WGS:JALDZH|MMC22_000055-T1_mrna		None	None
gene-MMC22_000056	rna-gnl|WGS:JALDZH|MMC22_000056-T1_mrna	PF00856.34,PF09273.17	Complete	None
gene-MMC22_000057	rna-gnl|WGS:JALDZH|MMC22_000057-T1_mrna	PF10513.15	Partial	None
gene-MMC22_000058	rna-gnl|WGS:JALDZH|MMC22_000058-T1_mrna	PF00036.39,PF13202.13,PF13202.13,PF13202.13,PF13405.13,PF13405.13,PF13499.13,PF13499.13,PF13833.13,PF13833.13	Complete	None
gene-MMC22_000059	rna-gnl|WGS:JALDZH|MMC22_000059-T1_mrna		None	None
gene-MMC22_000060	rna-gnl|WGS:JALDZH|MMC22_000060-T1_mrna		None	None
gene-MMC22_000061	rna-gnl|WGS:JALDZH|MMC22_000061-T1_mrna		None	None
gene-MMC22_000062	rna-gnl|WGS:JALDZH|MMC22_000062-T1_mrna	PF06102.18	Partial	None
gene-MMC22_000063	rna-gnl|WGS:JALDZH|MMC22_000063-T1_mrna	PF03031.25	Partial	None
gene-MMC22_000064	rna-gnl|WGS:JALDZH|MMC22_000064-T1_mrna	PF00250.25	Complete	None
gene-MMC22_000065	rna-gnl|WGS:JALDZH|MMC22_000065-T1_mrna	PF00696.34,PF01842.32,PF13840.13,PF22468.3	Complete	None
gene-MMC22_000066	rna-gnl|WGS:JALDZH|MMC22_000066-T1_mrna	PF00069.32,PF07714.24	Partial	None
gene-MMC22_000067	rna-gnl|WGS:JALDZH|MMC22_000067-T1_mrna	PF02353.27,PF05175.21,PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-MMC22_000068	rna-gnl|WGS:JALDZH|MMC22_000068-T1_mrna	PF00122.26,PF12409.14	Complete	None
gene-MMC22_000069	rna-gnl|WGS:JALDZH|MMC22_000069-T1_mrna	PF00956.24	Partial	None
gene-MMC22_000070	rna-gnl|WGS:JALDZH|MMC22_000070-T1_mrna	PF00389.37,PF02826.26	Partial	None
gene-MMC22_000071	rna-gnl|WGS:JALDZH|MMC22_000071-T1_mrna	PF00063.28,PF00612.34,PF00612.34,PF01843.26	Complete	None
gene-MMC22_000072	rna-gnl|WGS:JALDZH|MMC22_000072-T1_mrna	PF01725.22	Partial	None
gene-MMC22_000073	rna-gnl|WGS:JALDZH|MMC22_000073-T1_mrna	PF13238.13	Partial	None
gene-MMC22_000074	rna-gnl|WGS:JALDZH|MMC22_000074-T1_mrna	PF00067.28	Partial	None
gene-MMC22_000075	rna-gnl|WGS:JALDZH|MMC22_000075-T1_mrna	PF07910.20	Partial	None
gene-MMC22_000076	rna-gnl|WGS:JALDZH|MMC22_000076-T1_mrna	PF00587.31,PF02403.28	Partial	None
gene-MMC22_000077	rna-gnl|WGS:JALDZH|MMC22_000077-T1_mrna	PF00025.28,PF00071.29,PF01926.30,PF08477.20	Partial	None
gene-MMC22_000078	rna-gnl|WGS:JALDZH|MMC22_000078-T1_mrna	PF07814.19	Partial	None
gene-MMC22_000079	rna-gnl|WGS:JALDZH|MMC22_000079-T1_mrna		None	None
gene-MMC22_000080	rna-gnl|WGS:JALDZH|MMC22_000080-T1_mrna		None	None
gene-MMC22_000081	rna-gnl|WGS:JALDZH|MMC22_000081-T1_mrna		None	None
gene-MMC22_000082	rna-gnl|WGS:JALDZH|MMC22_000082-T1_mrna	PF14681.13	Partial	None
gene-MMC22_000083	rna-gnl|WGS:JALDZH|MMC22_000083-T1_mrna	PF00925.26,PF12471.14	Complete	None
gene-MMC22_000084	rna-gnl|WGS:JALDZH|MMC22_000084-T1_mrna	PF01663.28,PF19316.5	Partial	None
gene-MMC22_000085	rna-gnl|WGS:JALDZH|MMC22_000085-T1_mrna	PF20945.3	Partial	None
gene-MMC22_000086	rna-gnl|WGS:JALDZH|MMC22_000086-T1_mrna		None	None
gene-MMC22_000087	rna-gnl|WGS:JALDZH|MMC22_000087-T1_mrna		None	None
gene-MMC22_000088	rna-gnl|WGS:JALDZH|MMC22_000088-T1_mrna	PF04091.19,PF20651.4	Partial	None
gene-MMC22_000089	rna-gnl|WGS:JALDZH|MMC22_000089-T1_mrna	PF00125.31,PF00808.30	Partial	None
gene-MMC22_000090	rna-gnl|WGS:JALDZH|MMC22_000090-T1_mrna	PF02037.34,PF02891.27,PF11789.15,PF14324.13	Complete	None
gene-MMC22_000091	rna-gnl|WGS:JALDZH|MMC22_000091-T1_mrna	PF04051.22	Partial	None
gene-MMC22_000092	rna-gnl|WGS:JALDZH|MMC22_000092-T1_mrna	PF00056.30,PF02866.24	Partial	None
gene-MMC22_000093	rna-gnl|WGS:JALDZH|MMC22_000093-T1_mrna	PF01778.23	Partial	None
gene-MMC22_000094	rna-gnl|WGS:JALDZH|MMC22_000094-T1_mrna	PF09435.17	Partial	None
gene-MMC22_000095	rna-gnl|WGS:JALDZH|MMC22_000095-T1_mrna	PF00076.29,PF00076.29	Partial	None
gene-MMC22_000096	rna-gnl|WGS:JALDZH|MMC22_000096-T1_mrna	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-MMC22_000097	rna-gnl|WGS:JALDZH|MMC22_000097-T1_mrna	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08581.16,PF12894.14	Complete	None
gene-MMC22_000098	rna-gnl|WGS:JALDZH|MMC22_000098-T1_mrna	PF00096.33,PF00096.33,PF00096.33,PF00096.33	Complete	None
gene-MMC22_000099	rna-gnl|WGS:JALDZH|MMC22_000099-T1_mrna	PF04116.20	Partial	None
gene-MMC22_000100	rna-gnl|WGS:JALDZH|MMC22_000100-T1_mrna	PF02854.26,PF09088.18,PF09090.18	Complete	None
