protein_id	length
GML000001_mRNA1	391
GML000101_mRNA1	507
GML000201_mRNA1	194
GML000301_mRNA1	322
GML000401_mRNA1	211
GML000501_mRNA1	548
GML000601_mRNA1	284
GML000701_mRNA1	321
GML000801_mRNA1	552
GML000901_mRNA1	506
GML001001_mRNA1	461
GML001101_mRNA1	907
GML001201_mRNA1	559
GML001301_mRNA1	406
GML001401_mRNA1	480
GML001501_mRNA1	533
GML001601_mRNA1	320
GML001701_mRNA1	198
GML001801_mRNA1	609
GML001901_mRNA1	299
GML002001_mRNA1	306
GML002101_mRNA1	227
GML002201_mRNA1	483
GML002301_mRNA1	508
GML002401_mRNA1	431
GML002501_mRNA1	1011
GML002601_mRNA1	77
GML002701_mRNA1	326
GML002801_mRNA1	268
GML002901_mRNA1	290
GML003001_mRNA1	321
GML003101_mRNA1	243
GML003201_mRNA1	864
GML003301_mRNA1	937
GML003401_mRNA1	481
GML003501_mRNA1	414
GML003601_mRNA1	240
GML003701_mRNA1	56
GML003801_mRNA1	436
GML003901_mRNA1	334
GML004001_mRNA1	787
GML004101_mRNA1	512
GML004201_mRNA1	915
GML004301_mRNA1	844
GML004401_mRNA1	368
GML004501_mRNA1	460
GML004601_mRNA1	542
GML004701_mRNA1	498
GML004801_mRNA1	339
GML004901_mRNA1	357
GML005001_mRNA1	2090
GML005101_mRNA1	855
GML005201_mRNA1	997
GML005301_mRNA1	680
GML005401_mRNA1	234
GML005501_mRNA1	516
GML005601_mRNA1	376
GML005701_mRNA1	386
GML005801_mRNA1	185
GML005901_mRNA1	1028
GML006001_mRNA1	156
GML006101_mRNA1	522
GML006201_mRNA1	114
GML006301_mRNA1	346
GML006401_mRNA1	557
GML006501_mRNA1	346
GML006601_mRNA1	438
GML006701_mRNA1	153
GML006801_mRNA1	233
GML006901_mRNA1	98
GML007001_mRNA1	241
GML007101_mRNA1	420
GML007201_mRNA1	110
GML007301_mRNA1	447
GML007401_mRNA1	368
GML007501_mRNA1	200
GML007601_mRNA1	845
GML007701_mRNA1	471
GML007801_mRNA1	344
GML007901_mRNA1	192
GML008001_mRNA1	231
GML008101_mRNA1	436
GML008200_mRNA1	2578
GML008301_mRNA1	449
GML008401_mRNA1	786
GML008501_mRNA1	232
GML008601_mRNA1	367
GML008701_mRNA1	321
GML008801_mRNA1	860
GML008901_mRNA1	803
GML009001_mRNA1	526
GML009101_mRNA1	594
GML009201_mRNA1	464
GML009301_mRNA1	172
GML009401_mRNA1	159
GML009502_mRNA1	62
GML009601_mRNA1	281
GML009701_mRNA1	179
GML009801_mRNA1	386
GML009901_mRNA1	674
GML010001_mRNA1	474
GML010101_mRNA1	529
GML010201_mRNA1	129
GML010301_mRNA1	403
GML010401_mRNA1	596
GML010501_mRNA1	247
GML010601_mRNA1	530
GML010701_mRNA1	333
GML010801_mRNA1	535
GML010901_mRNA1	419
GML011001_mRNA1	1901
GML011101_mRNA1	723
GML011201_mRNA1	205
GML011301_mRNA1	281
GML011401_mRNA1	551
GML011501_mRNA1	177
GML011601_mRNA1	2265
GML011701_mRNA1	496
GML011801_mRNA1	462
GML011901_mRNA1	142
GML012001_mRNA1	143
GML012101_mRNA1	500
GML012201_mRNA1	283
GML012301_mRNA1	340
GML012401_mRNA1	940
GML012501_mRNA1	599
GML012601_mRNA1	910
GML012701_mRNA1	353
GML012801_mRNA1	300
GML012901_mRNA1	690
GML013001_mRNA1	66
GML013101_mRNA1	546
GML013201_mRNA1	214
GML013301_mRNA1	441
GML013401_mRNA1	426
GML013501_mRNA1	184
GML013601_mRNA1	844
GML013701_mRNA1	620
GML013801_mRNA1	402
GML013901_mRNA1	1099
GML014001_mRNA1	229
GML014101_mRNA1	477
GML014201_mRNA1	165
GML014301_mRNA1	530
GML014401_mRNA1	401
GML014501_mRNA1	290
GML014601_mRNA1	498
GML014701_mRNA1	307
GML014801_mRNA1	299
GML014901_mRNA1	348
GML015001_mRNA1	587
GML015101_mRNA1	93
GML015201_mRNA1	278
GML015301_mRNA1	375
GML015401_mRNA1	439
GML015501_mRNA1	314
GML015601_mRNA1	294
GML015701_mRNA1	150
GML015801_mRNA1	803
GML015901_mRNA1	158
GML016001_mRNA1	565
GML016101_mRNA1	859
GML016201_mRNA1	701
GML016301_mRNA1	161
GML016401_mRNA1	130
GML016501_mRNA1	689
GML016601_mRNA1	206
