protein_id	length
GML000001_mRNA1	192
GML000100_mRNA1	306
GML000201_mRNA1	183
GML000301_mRNA1	553
GML000401_mRNA1	1132
GML000501_mRNA1	456
GML000601_mRNA1	240
GML000701_mRNA1	250
GML000801_mRNA1	677
GML000901_mRNA1	225
GML001001_mRNA1	81
GML001101_mRNA1	248
GML001201_mRNA1	297
GML001301_mRNA1	752
GML001401_mRNA1	298
GML001501_mRNA1	281
GML001601_mRNA1	254
GML001701_mRNA1	479
GML001801_mRNA1	409
GML001901_mRNA1	503
GML002001_mRNA1	385
GML002101_mRNA1	320
GML002201_mRNA1	224
GML002301_mRNA1	439
GML002401_mRNA1	392
GML002501_mRNA1	464
GML002601_mRNA1	238
GML002701_mRNA1	1154
GML002801_mRNA1	230
GML002901_mRNA1	547
GML003001_mRNA1	545
GML003101_mRNA1	312
GML003201_mRNA1	123
GML003301_mRNA1	578
GML003401_mRNA1	420
GML003501_mRNA1	655
GML003601_mRNA1	529
GML003701_mRNA1	849
GML003801_mRNA1	126
GML003901_mRNA1	790
GML004001_mRNA1	372
GML004101_mRNA1	518
GML004201_mRNA1	1214
GML004301_mRNA1	948
GML004401_mRNA1	166
GML004501_mRNA1	220
GML004601_mRNA1	640
GML004701_mRNA1	577
GML004801_mRNA1	351
GML004901_mRNA1	265
GML005001_mRNA1	457
GML005101_mRNA1	79
GML005201_mRNA1	293
GML005301_mRNA1	1106
GML005401_mRNA1	437
