protein_id	length
rna-XM_064810719.1	506
rna-XM_064813322.1	1302
rna-XM_064810787.1	924
rna-XM_064810722.1	1012
rna-XM_064814060.1	130
rna-XM_064809365.1	175
rna-XM_064817226.1	458
rna-XM_064809880.1	102
rna-XM_064810134.1	773
rna-XM_064818990.1	66
rna-XM_064817265.1	235
rna-XM_064810972.1	260
rna-XM_064808949.1	241
rna-XM_064818470.1	190
rna-XM_064808985.1	189
rna-XM_064817332.1	883
rna-XM_064814359.1	472
rna-XM_064817365.1	1161
rna-XM_064818722.1	897
rna-XM_064816575.1	1139
rna-XM_064809457.1	481
rna-XM_064819040.1	201
rna-XM_064814478.1	687
rna-XM_064811087.1	327
rna-XM_064817431.1	151
rna-XM_064817440.1	504
rna-XM_064814569.1	251
rna-XM_064809810.1	387
rna-XM_064814618.1	363
rna-XM_064811170.1	492
rna-XM_064809964.1	105
rna-XM_064814688.1	116
rna-XM_064818420.1	218
rna-XM_064811232.1	515
rna-XM_064814747.1	300
rna-XM_064817539.1	252
rna-XM_064811322.1	569
rna-XM_064816695.1	170
rna-XM_064817568.1	426
rna-XM_064814860.1	271
rna-XM_064814881.1	65
rna-XM_064814897.1	305
rna-XM_064810283.1	206
rna-XM_064810311.1	544
rna-XM_064814966.1	154
rna-XM_064814988.1	157
rna-XM_064815013.1	229
rna-XM_064817661.1	433
rna-XM_064810432.1	149
rna-XM_064815067.1	325
rna-XM_064818795.1	403
rna-XM_064816786.1	547
rna-XM_064816795.1	285
rna-XM_064819289.1	553
rna-XM_064811610.1	322
rna-XM_064813064.1	589
rna-XM_064815209.1	265
rna-XM_064810544.1	109
rna-XM_064817774.1	156
rna-XM_064811710.1	372
rna-XM_064811691.1	522
rna-XM_064808594.1	184
rna-XM_064819214.1	767
rna-XM_064808643.1	233
rna-XM_064811744.1	158
rna-XM_064808685.1	773
rna-XM_064817851.1	734
rna-XM_064813111.1	435
rna-XM_064815491.1	212
rna-XM_064811811.1	456
rna-XM_064819233.1	2981
rna-XM_064817907.1	1478
rna-XM_064811872.1	698
rna-XM_064808874.1	252
rna-XM_064817947.1	522
rna-XM_064817964.1	930
rna-XM_064816947.1	334
rna-XM_064811948.1	268
rna-XM_064815703.1	330
rna-XM_064809182.1	784
rna-XM_064812734.1	613
rna-XM_064815777.1	1000
rna-XM_064809234.1	411
rna-XM_064812749.1	220
rna-XM_064815851.1	85
rna-XM_064818632.1	733
rna-XM_064815891.1	57
rna-XM_064809338.1	150
rna-XM_064817036.1	166
rna-XM_064809386.1	171
rna-XM_064815994.1	169
rna-XM_064809430.1	106
rna-XM_064816043.1	53
rna-XM_064818150.1	388
rna-XM_064812230.1	300
rna-XM_064809623.1	1252
rna-XM_064813896.1	426
rna-XM_064812300.1	841
rna-XM_064809684.1	239
rna-XM_064812315.1	673
rna-XM_064818668.1	256
rna-XM_064812364.1	527
rna-XM_064816283.1	251
rna-XM_064813934.1	259
rna-XM_064818261.1	332
rna-XM_064818276.1	2292
rna-XM_064816383.1	169
rna-XM_064816414.1	863
rna-XM_064816434.1	168
rna-XM_064818318.1	152
