gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BDU57DRAFT_560749	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA560749		None	None
gene-BDU57DRAFT_8	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA8	PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01424.29	Complete	None
gene-BDU57DRAFT_508056	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508056	PF20520.4,PF27676.2	Complete	None
gene-BDU57DRAFT_508057	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508057		None	None
gene-BDU57DRAFT_560759	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA560759	PF00331.27	Partial	None
gene-BDU57DRAFT_87	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA87	PF13577.13	Partial	None
gene-BDU57DRAFT_83	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA83	PF01328.23	Partial	None
gene-BDU57DRAFT_221	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA221	PF00789.27,PF13098.14,PF13899.13,PF14555.13	Complete	None
gene-BDU57DRAFT_508063	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508063	PF13001.14,PF24492.2	Complete	None
gene-BDU57DRAFT_440216	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA440216	PF00620.33	Complete	None
gene-BDU57DRAFT_508067	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508067	PF00432.28	Partial	None
gene-BDU57DRAFT_533831	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533831		None	None
gene-BDU57DRAFT_591270	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA591270	PF04750.20	Partial	None
gene-BDU57DRAFT_525183	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA525183	PF00933.28,PF01915.28,PF14310.13	Complete	None
gene-BDU57DRAFT_583547	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583547	PF10311.15	Partial	None
gene-BDU57DRAFT_435685	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA435685	PF01244.29	Partial	None
gene-BDU57DRAFT_560799	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA560799	PF00056.30,PF02866.24	Partial	None
gene-BDU57DRAFT_508079	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508079	PF00856.34,PF11764.14,PF11767.15	Complete	None
gene-BDU57DRAFT_508081	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508081		None	None
gene-BDU57DRAFT_508084	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508084		None	None
gene-BDU57DRAFT_437932	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA437932	PF00885.25,PF00885.25	Partial	None
gene-BDU57DRAFT_591277	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA591277	PF01380.28,PF01380.28,PF13522.13,PF13537.12	Complete	None
gene-BDU57DRAFT_508096	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508096		None	None
gene-BDU57DRAFT_508097	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508097	PF01490.25	Partial	None
gene-BDU57DRAFT_583553	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583553	PF00324.28,PF03522.21,PF03522.21,PF13520.13	Complete	None
gene-BDU57DRAFT_439802	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA439802	PF01239.29,PF01239.29,PF01239.29,PF01239.29,PF01239.29	Complete	None
gene-BDU57DRAFT_313	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA313	PF00291.32	Partial	None
gene-BDU57DRAFT_463544	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA463544		None	None
gene-BDU57DRAFT_533846	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533846	PF11951.14	Partial	None
gene-BDU57DRAFT_485883	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA485883	PF00106.32,PF00106.32,PF01370.28,PF13561.13	Partial	None
gene-BDU57DRAFT_552517	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA552517	PF00400.39,PF00400.39	Complete	None
gene-BDU57DRAFT_508107	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508107	PF07529.19,PF13921.13	Complete	None
gene-BDU57DRAFT_508109	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508109		None	None
gene-BDU57DRAFT_508111	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508111	PF03124.21	Partial	None
gene-BDU57DRAFT_485897	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA485897	PF01193.30,PF13656.12	Partial	None
gene-BDU57DRAFT_438520	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA438520		None	None
gene-BDU57DRAFT_508114	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508114	PF00501.35,PF13193.13	Complete	None
gene-BDU57DRAFT_508115	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508115	PF13622.13,PF20789.4	Partial	None
gene-BDU57DRAFT_435759	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA435759	PF01158.24	Partial	None
gene-BDU57DRAFT_1476	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA1476		None	None
gene-BDU57DRAFT_508121	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508121	PF00789.27,PF11470.15	Complete	None
gene-BDU57DRAFT_436540	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA436540	PF00085.27,PF06201.20	Partial	None
gene-BDU57DRAFT_1549	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA1549		None	None
gene-BDU57DRAFT_1674	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA1674	PF00096.33,PF00096.33,PF12874.14,PF13894.13	Complete	None
gene-BDU57DRAFT_1693	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA1693	PF01042.27,PF01902.25,PF28410.1	Complete	None
gene-BDU57DRAFT_463587	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA463587	PF08118.17	Partial	None
gene-BDU57DRAFT_508133	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508133	PF22891.3	Complete	None
gene-BDU57DRAFT_1806	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA1806	PF00083.31,PF07690.22	Partial	None
gene-BDU57DRAFT_533863	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533863		None	None
gene-BDU57DRAFT_583573	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583573	PF24883.3	Partial	None
gene-BDU57DRAFT_508138	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508138	PF00168.37	Partial	None
gene-BDU57DRAFT_591300	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA591300	PF00083.31,PF07690.22	Partial	None
gene-BDU57DRAFT_485934	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA485934	PF00501.35,PF00550.32,PF01370.28,PF07993.19,PF23562.3	Complete	None
gene-BDU57DRAFT_508146	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508146		None	None
gene-BDU57DRAFT_508147	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508147	PF24808.2	Partial	None
gene-BDU57DRAFT_435425	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA435425	PF01210.30,PF07479.20	Complete	None
gene-BDU57DRAFT_591305	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA591305	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF14510.12	Complete	None
gene-BDU57DRAFT_583580	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583580	PF00651.38	Partial	None
gene-BDU57DRAFT_508153	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508153	PF00227.32	Partial	None
gene-BDU57DRAFT_438580	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA438580	PF01073.26,PF01370.28,PF16363.12	Partial	None
gene-BDU57DRAFT_591309	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA591309	PF00227.32	Partial	None
gene-BDU57DRAFT_508157	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508157	PF07818.19	Partial	None
gene-BDU57DRAFT_508158	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508158	PF01323.27	Partial	None
gene-BDU57DRAFT_2142	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2142		None	None
gene-BDU57DRAFT_2173	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2173		None	None
gene-BDU57DRAFT_440242	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA440242	PF00266.26,PF03473.24,PF03476.22	Complete	None
gene-BDU57DRAFT_508165	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508165		None	None
gene-BDU57DRAFT_2152	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2152	PF08229.17	Partial	None
gene-BDU57DRAFT_508170	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508170	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF24901.3	Complete	None
gene-BDU57DRAFT_485972	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA485972	PF00004.36,PF00004.36,PF09262.18,PF17862.8	Complete	None
gene-BDU57DRAFT_583591	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583591	PF03650.20	Partial	None
gene-BDU57DRAFT_533886	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533886	PF01423.29	Partial	None
gene-BDU57DRAFT_2362	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2362	PF00281.25,PF00673.27	Partial	None
gene-BDU57DRAFT_440212	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA440212	PF30929.1	Partial	None
gene-BDU57DRAFT_533889	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533889		None	None
gene-BDU57DRAFT_508181	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508181	PF00113.29,PF03952.22	Partial	None
gene-BDU57DRAFT_2613	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2613		None	None
gene-BDU57DRAFT_508183	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508183	PF00227.32	Partial	None
gene-BDU57DRAFT_583597	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA583597	PF01761.27,PF24621.3	Partial	None
gene-BDU57DRAFT_2674	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2674	PF01596.24,PF13578.13	Partial	None
gene-BDU57DRAFT_2696	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2696		None	None
gene-BDU57DRAFT_533895	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533895	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08625.17,PF23098.2	Complete	None
gene-BDU57DRAFT_533896	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA533896		None	None
gene-BDU57DRAFT_2777	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2777		None	None
gene-BDU57DRAFT_508189	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508189	PF00225.30,PF16796.12	Partial	None
gene-BDU57DRAFT_2800	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2800		None	None
gene-BDU57DRAFT_2815	rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA2815	PF00443.36,PF02148.26	Complete	None
