gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-DFL_003145	rna-XM_067632040.1	PF00270.36,PF00271.38	Complete	None
gene-DFL_003146	rna-XM_067632041.1	PF00665.33,PF07727.20,PF13976.12,PF14223.15	Complete	None
gene-DFL_003146	rna-XM_067632042.1		None	None
gene-DFL_003147	rna-XM_067632043.1		None	None
gene-DFL_003148	rna-XM_067632044.1	PF22974.2	Partial	None
gene-DFL_003149	rna-XM_067632045.1		None	None
gene-DFL_003150	rna-XM_067632047.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF05729.19,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF23098.2,PF23098.2,PF23098.2,PF23342.2,PF23342.2,PF23342.2,PF23381.2,PF23381.2,PF23389.2,PF23389.2,PF23414.2,PF23414.2,PF23414.2,PF24883.3,PF25173.2	Complete	None
gene-DFL_003151	rna-XM_067632048.1	PF17433.8	Partial	None
gene-DFL_003152	rna-XM_067632049.1	PF00128.32	Partial	None
gene-DFL_003153	rna-XM_067632050.1	PF04082.24	Partial	None
gene-DFL_003154	rna-XM_067632051.1	PF00083.31,PF07690.22	Partial	None
gene-DFL_003155	rna-XM_067632052.1	PF04982.20	Partial	None
gene-DFL_003156	rna-XM_067632053.1	PF14273.12	Partial	None
gene-DFL_003157	rna-XM_067632054.1	PF00544.26	Partial	None
gene-DFL_003158	rna-XM_067632055.1	PF03595.23	Partial	None
gene-DFL_003159	rna-XM_067632056.1		None	None
gene-DFL_003160	rna-XM_067632058.1	PF01209.25,PF08241.19,PF13649.13	Partial	None
gene-DFL_003161	rna-XM_067632059.1	PF00722.29	Partial	None
gene-DFL_003162	rna-XM_067632060.1	PF11899.14,PF13489.13	Partial	None
gene-DFL_003163	rna-XM_067632061.1	PF01370.28,PF05368.20,PF13460.13	Partial	None
gene-DFL_003164	rna-XM_067632062.1	PF00083.31,PF07690.22	Partial	None
gene-DFL_003165	rna-XM_067632063.1		None	None
gene-DFL_003166	rna-XM_067632064.1	PF11913.14	Complete	None
gene-DFL_003167	rna-XM_067632065.1	PF01266.31	Partial	None
gene-DFL_003168	rna-XM_067632066.1		None	None
gene-DFL_003169	rna-XM_067632067.1	PF07690.22	Partial	None
gene-DFL_003170	rna-XM_067632069.1	PF07690.22,PF11700.15	Partial	None
gene-DFL_003171	rna-XM_067632070.1	PF09994.15	Partial	None
gene-DFL_003172	rna-XM_067632071.1	PF28332.1	Complete	None
gene-DFL_003172	rna-XM_067632072.1	PF28332.1	Complete	None
gene-DFL_003173	rna-XM_067632073.1		None	None
gene-DFL_003174	rna-XM_067632074.1	PF00628.36,PF10513.15,PF13771.13,PF13831.13,PF13832.13	Complete	None
gene-DFL_003175	rna-XM_067632075.1		None	None
gene-DFL_003176	rna-XM_067632076.1		None	None
gene-DFL_003177	rna-XM_067632077.1		None	None
gene-DFL_003178	rna-XM_067632078.1		None	None
gene-DFL_003179	rna-XM_067632079.1		None	None
gene-DFL_003180	rna-XM_067632081.1	PF00097.32,PF13639.13,PF25563.1	Complete	None
gene-DFL_003181	rna-XM_067632082.1	PF00076.29	Partial	None
gene-DFL_003182	rna-XM_067632083.1		None	None
gene-DFL_003183	rna-XM_067632084.1	PF30968.1	Partial	None
gene-DFL_003184	rna-XM_067632085.1		None	None
gene-DFL_003185	rna-XM_067632086.1	PF00082.28	Partial	None
gene-DFL_003186	rna-XM_067632087.1	PF11915.14,PF11915.14	Complete	None
gene-DFL_003187	rna-XM_067632088.1	PF00814.32	Partial	None
gene-DFL_003187	rna-XM_067632089.1	PF00814.32	Partial	None
gene-DFL_003188	rna-XM_067632090.1	PF00249.38,PF00249.38,PF13921.13	Partial	None
gene-DFL_003189	rna-XM_067632091.1	PF13181.13,PF13181.13,PF13374.13,PF13432.13,PF13844.13,PF13844.13	Complete	None
gene-DFL_003190	rna-XM_067632093.1	PF00153.33,PF00153.33,PF00153.33,PF13833.13	Complete	None
gene-DFL_003191	rna-XM_067632094.1	PF01399.34,PF10602.16	Complete	None
gene-DFL_003192	rna-XM_067632095.1	PF00082.28	Partial	None
gene-DFL_003193	rna-XM_067632096.1	PF26164.2	Partial	None
gene-DFL_003194	rna-XM_067632097.1		None	None
