protein_id	length
rna-gnl|WGS:JYCC|mrna_PV04_00001T0	324
rna-gnl|WGS:JYCC|mrna_PV04_00101T0	422
rna-gnl|WGS:JYCC|mrna_PV04_00201T0	400
rna-gnl|WGS:JYCC|mrna_PV04_00301T0	278
rna-gnl|WGS:JYCC|mrna_PV04_00401T0	1778
rna-gnl|WGS:JYCC|mrna_PV04_00502T0	230
rna-gnl|WGS:JYCC|mrna_PV04_00603T0	75
rna-gnl|WGS:JYCC|mrna_PV04_00703T0	1110
rna-gnl|WGS:JYCC|mrna_PV04_00806T0	441
rna-gnl|WGS:JYCC|mrna_PV04_00906T0	1251
rna-gnl|WGS:JYCC|mrna_PV04_01006T0	490
rna-gnl|WGS:JYCC|mrna_PV04_01106T0	697
rna-gnl|WGS:JYCC|mrna_PV04_01207T0	341
rna-gnl|WGS:JYCC|mrna_PV04_01307T0	206
rna-gnl|WGS:JYCC|mrna_PV04_01407T0	223
rna-gnl|WGS:JYCC|mrna_PV04_01507T0	116
rna-gnl|WGS:JYCC|mrna_PV04_01607T0	180
rna-gnl|WGS:JYCC|mrna_PV04_01707T0	1090
rna-gnl|WGS:JYCC|mrna_PV04_01807T0	370
rna-gnl|WGS:JYCC|mrna_PV04_01907T0	678
rna-gnl|WGS:JYCC|mrna_PV04_02007T0	555
rna-gnl|WGS:JYCC|mrna_PV04_02107T0	300
rna-gnl|WGS:JYCC|mrna_PV04_02208T0	241
rna-gnl|WGS:JYCC|mrna_PV04_02307T0	542
rna-gnl|WGS:JYCC|mrna_PV04_02407T0	570
rna-gnl|WGS:JYCC|mrna_PV04_02508T0	289
rna-gnl|WGS:JYCC|mrna_PV04_02609T0	570
rna-gnl|WGS:JYCC|mrna_PV04_02712T0	462
rna-gnl|WGS:JYCC|mrna_PV04_02812T0	195
rna-gnl|WGS:JYCC|mrna_PV04_02912T0	281
rna-gnl|WGS:JYCC|mrna_PV04_03012T0	383
rna-gnl|WGS:JYCC|mrna_PV04_03116T0	404
rna-gnl|WGS:JYCC|mrna_PV04_03216T0	352
rna-gnl|WGS:JYCC|mrna_PV04_03316T0	551
rna-gnl|WGS:JYCC|mrna_PV04_03418T0	664
rna-gnl|WGS:JYCC|mrna_PV04_03519T0	137
rna-gnl|WGS:JYCC|mrna_PV04_03620T0	631
rna-gnl|WGS:JYCC|mrna_PV04_03720T0	365
rna-gnl|WGS:JYCC|mrna_PV04_03820T0	771
rna-gnl|WGS:JYCC|mrna_PV04_03920T0	516
rna-gnl|WGS:JYCC|mrna_PV04_04020T0	361
rna-gnl|WGS:JYCC|mrna_PV04_04120T0	197
