protein_id	length
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA394140	297
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA1283	301
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA201808	331
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA309742	447
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA330299	384
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA202439	349
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA330849	89
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA202915	1375
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA148081	771
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA331650	528
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA392611	426
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA203868	378
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA9568	279
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA229132	206
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA252497	377
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA28379	603
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA378352	180
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA333571	968
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA47003	97
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA334116	296
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA334357	1185
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA334611	299
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA334896	950
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA335219	582
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA76735	1287
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA311863	123
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA336091	426
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA207769	227
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA396406	338
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA368801	487
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA337106	397
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA385889	162
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA360639	541
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA209165	236
rna-gnl|WGS:JAUDZM|QBC32DRAFT_mRNA338208	492
