gene_id	pfam_ids	go_ids	bin_id
gene-RhiJN_00001		NA	100
gene-RhiJN_00002		NA	100
gene-RhiJN_00003	PF11901.14,PF11901.14,PF11901.14	NA	100
gene-RhiJN_00004		NA	100
gene-RhiJN_00005	PF00856.34	GO:0005515	100
gene-RhiJN_00006		NA	100
gene-RhiJN_00007		NA	100
gene-RhiJN_00008		NA	100
gene-RhiJN_00009	PF20153.5	NA	100
gene-RhiJN_00010	PF07970.18	NA	100
gene-RhiJN_00011	PF00168.37	NA	100
gene-RhiJN_00012	PF07970.18,PF13850.12	NA	100
gene-RhiJN_00013	PF02992.21	NA	100
gene-RhiJN_00014		NA	100
gene-RhiJN_00015		NA	100
gene-RhiJN_00016	PF00646.39	GO:0005515	100
gene-RhiJN_00017		NA	100
gene-RhiJN_00018	PF02373.29	NA	100
gene-RhiJN_00019	PF12770.13	NA	100
gene-RhiJN_00020		NA	100
gene-RhiJN_00021		NA	100
gene-RhiJN_00022	PF03221.23	NA	100
gene-RhiJN_00023		NA	100
gene-RhiJN_00024	PF19259.5,PF30901.1	NA	100
gene-RhiJN_00025	PF00078.33,PF00385.31,PF08284.17,PF09337.17,PF13650.12,PF17917.8,PF17919.8,PF17921.8,PF24626.2,PF30863.1	NA	1
gene-RhiJN_00026		NA	100
gene-RhiJN_00027		NA	100
gene-RhiJN_00028		NA	100
gene-RhiJN_00029		NA	100
gene-RhiJN_00030		NA	100
gene-RhiJN_00031		NA	100
gene-RhiJN_00032		NA	100
gene-RhiJN_00033		NA	100
gene-RhiJN_00034		NA	100
gene-RhiJN_00035	PF00098.29,PF12353.14,PF19259.5,PF30901.1	GO:0003676,GO:0008270	4
gene-RhiJN_00036	PF00078.33,PF08284.17,PF13650.12,PF13975.12,PF30863.1	NA	1
gene-RhiJN_00037		NA	100
gene-RhiJN_00038	PF00078.33,PF17917.8,PF17919.8,PF17919.8,PF17921.8	NA	1
gene-RhiJN_00039	PF00385.31,PF22938.3,PF24626.2	NA	1
gene-RhiJN_00040		NA	100
gene-RhiJN_00041	PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF24626.2	NA	1
gene-RhiJN_00042		NA	100
gene-RhiJN_00043	PF20149.5	NA	100
gene-RhiJN_00044	PF18759.8,PF18759.8	NA	100
gene-RhiJN_00045	PF00078.33,PF17917.8,PF17919.8,PF17919.8	NA	1
gene-RhiJN_00046		NA	100
gene-RhiJN_00047	PF20149.5	NA	100
gene-RhiJN_00048	PF18759.8	NA	100
gene-RhiJN_00049		NA	100
gene-RhiJN_00050		NA	100
gene-RhiJN_00051		NA	100
gene-RhiJN_00052		NA	100
gene-RhiJN_00053		NA	100
gene-RhiJN_00054	PF00078.33,PF00385.31,PF08284.17,PF09337.17,PF17917.8,PF17919.8,PF17921.8,PF24626.2,PF30863.1	NA	1
gene-RhiJN_00055	PF19259.5,PF30901.1	NA	100
