gene_id	pfam_ids	go_ids	bin_id
GML000001	PF27504.1	NA	100
GML000002		NA	100
GML000003		NA	100
GML000004	PF00450.29	GO:0004185,GO:0006508	5
GML000005		NA	100
GML000006		NA	100
GML000007		NA	100
GML000008	PF00069.32,PF00069.32,PF00498.32,PF00498.32,PF07714.24,PF07714.24	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000009		NA	100
GML000010	PF01926.30,PF02421.25,PF06858.21,PF08155.17,PF17835.7	GO:0005525	100
GML000011	PF00025.28,PF00503.27,PF00503.27	GO:0003924,GO:0005525,GO:0007186,GO:0019001,GO:0031683	3
GML000012		NA	100
GML000013		NA	100
GML000014	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000015		NA	100
GML000016	PF00557.30,PF01321.25,PF16188.11,PF16189.12	NA	100
GML000017		NA	100
GML000018	PF00940.25,PF14700.12	NA	100
GML000019	PF00153.33,PF00153.33	NA	100
GML000020	PF00258.31,PF00258.31,PF02525.23,PF03358.21,PF03358.21	GO:0010181,GO:0016491	8
GML000021	PF00211.26,PF00211.26,PF00481.27,PF00481.27,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF23010.3,PF23010.3,PF23598.2,PF23598.2	GO:0005515,GO:0009190,GO:0035556	3
GML000022	PF03061.29	NA	100
GML000023	PF00258.31,PF00258.31,PF03358.21,PF03358.21	GO:0010181,GO:0016491	8
GML000024	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000025	PF00583.32,PF13508.14,PF13673.14	GO:0016747	8
GML000026		NA	100
GML000027		NA	100
GML000028	PF12735.14	NA	100
GML000029	PF00535.33,PF13641.13	NA	100
GML000030	PF02769.28,PF02769.28,PF13507.13,PF18072.7,PF18076.7,PF22689.2	NA	100
GML000031	PF00787.30	GO:0035091	100
GML000032		NA	100
GML000033	PF00012.27,PF06723.20	GO:0005524,GO:0016887	8
GML000034	PF00152.26,PF01336.32	GO:0000166,GO:0003676,GO:0004812,GO:0005524,GO:0006418	4
GML000035	PF00097.32,PF01485.28,PF01485.28,PF19422.5,PF21235.5,PF22191.3,PF22605.3	GO:0008270,GO:0046872	100
GML000036		NA	100
GML000037	PF01424.29,PF01424.29,PF01424.29,PF01585.29,PF01585.29,PF01585.29	GO:0003676	4
GML000038	PF09753.15	NA	100
GML000039	PF12937.13	GO:0005515	100
GML000040	PF04136.22,PF20671.4,PF31184.1	NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044	PF00172.24,PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000045	PF00004.36	GO:0005524,GO:0016887	8
GML000046	PF00561.27	NA	100
GML000047	PF20236.4	NA	100
GML000048	PF10159.15	NA	100
GML000049		NA	100
GML000050	PF09807.16	GO:0002098,GO:0033588	8
GML000051		NA	100
GML000052	PF03171.27,PF14226.13	NA	100
GML000053	PF11917.14,PF11917.14	NA	100
GML000054		NA	100
GML000055	PF00702.33,PF13419.13	NA	100
GML000056	PF04632.19,PF04632.19,PF10334.17,PF10334.17,PF11744.15,PF11744.15,PF13515.13,PF13515.13	GO:0005886,GO:0022857,GO:0055085	6
GML000057		NA	100
GML000058	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000059		NA	100
GML000060	PF29850.1,PF29850.1,PF29850.1,PF29850.1,PF29852.1,PF29852.1,PF29852.1,PF29852.1	NA	100
GML000061		NA	100
GML000062	PF00734.24,PF03443.21	GO:0005576,GO:0005975,GO:0030248	8
GML000063	PF05918.18,PF05918.18	NA	100
GML000064	PF00291.32,PF00291.32,PF00291.32	NA	100
GML000065	PF13380.13	NA	100
GML000066	PF16862.11	NA	100
GML000067	PF00646.39,PF12937.13	GO:0005515	100
GML000068	PF00168.37,PF00168.37,PF20236.4	NA	100
GML000069	PF00704.35	GO:0005975	8
GML000070		NA	100
GML000071		NA	100
GML000072	PF11017.15	NA	100
GML000073	PF06428.17,PF06428.17	NA	100
GML000074	PF00855.24,PF08711.17	NA	100
GML000075	PF00646.39	GO:0005515	100
GML000076	PF00173.34	NA	100
GML000077	PF00025.28,PF00503.27	GO:0003924,GO:0005525,GO:0007186,GO:0019001,GO:0031683	3
GML000078	PF04828.23,PF04828.23	GO:0016846	8
GML000079	PF04828.23	GO:0016846	8
GML000080	PF00004.36,PF08740.17,PF25426.2	GO:0005524,GO:0016887	8
GML000081		NA	100
GML000082	PF00646.39	GO:0005515	100
GML000083	PF00026.29,PF14543.12	NA	100
GML000084	PF04438.23	NA	100
GML000085	PF13174.13,PF13176.13,PF13181.13,PF13181.13,PF13432.13	GO:0005515	100
GML000086	PF00249.38,PF04433.24,PF22941.2,PF25299.2	GO:0005515,GO:0008270	100
GML000087		NA	100
GML000088		NA	100
GML000089	PF00293.35,PF00293.35,PF09296.18,PF09296.18	GO:0016787	8
GML000090	PF00293.35,PF09296.18	GO:0016787	8
GML000091	PF00501.35,PF00501.35,PF00550.32,PF01370.28,PF01370.28,PF07993.19,PF07993.19,PF23562.3,PF23562.3	NA	100
GML000092		NA	100
GML000093	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000094		NA	100
GML000095		NA	100
GML000096	PF01920.26	GO:0006457,GO:0016272,GO:0051082	5
GML000097	PF01344.32,PF01344.32,PF01344.32,PF06588.18,PF06588.18,PF06588.18	GO:0005515	100
GML000098	PF00266.26,PF00282.26,PF01041.24	GO:0016830,GO:0019752,GO:0030170	8
GML000099		NA	100
GML000100	PF07883.18,PF07883.18	NA	100
GML000101	PF00075.31,PF00075.31,PF00078.33,PF00078.33	GO:0003676,GO:0004523	1
GML000102	PF00082.28,PF00082.28,PF00082.28,PF02225.28,PF02225.28,PF02225.28,PF06280.19,PF06280.19,PF06280.19	GO:0004252,GO:0005618,GO:0006508,GO:0008236,GO:0016020	5
GML000103		NA	100
GML000104	PF01329.25,PF01329.25	GO:0006729,GO:0008124	8
GML000105	PF00248.28,PF00288.33,PF00288.33,PF18376.7,PF18376.7,PF22700.3,PF22700.3	GO:0005524	100
GML000106	PF00248.28	NA	100
GML000107	PF00560.40,PF03372.30,PF12799.14,PF13855.13,PF13855.13	GO:0003824,GO:0005515	8
GML000108		NA	100
GML000109	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000110		NA	100
GML000111		NA	100
GML000112		NA	100
GML000113		NA	100
GML000114		NA	100
GML000115	PF10497.15	NA	100
GML000116	PF02466.25	NA	100
GML000117		NA	100
GML000118	PF00248.28	NA	100
GML000119		NA	100
GML000120		NA	100
GML000121		NA	100
GML000122		NA	100
GML000123	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000124		NA	100
GML000125	PF00155.28,PF00202.28	GO:0009058,GO:0030170	8
GML000126	PF00097.32,PF12861.14,PF13639.13,PF13923.13,PF14570.13,PF17123.12	GO:0005680,GO:0008270,GO:0031145,GO:0046872,GO:0061630,GO:0097602	5
GML000127	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000128	PF01170.25,PF01170.25,PF25904.1,PF25904.1	NA	100
GML000129		NA	100
GML000130	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000131	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000132	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000133	PF13532.13,PF13532.13	NA	100
GML000134	PF02823.23	GO:0015986	8
GML000135		NA	100
GML000136	PF16499.12,PF17801.8	GO:0004553,GO:0005975	8
GML000137		NA	100
GML000138		NA	100
GML000139		NA	100
GML000140	PF00137.27,PF00137.27	GO:0015078,GO:0033177,GO:1902600	6
GML000141	PF03153.19,PF03153.19	GO:0005672,GO:0006367	8
GML000142		NA	100
GML000143		NA	100
GML000144	PF09729.16	NA	100
GML000145	PF09729.16	NA	100
GML000146	PF00026.29	NA	100
GML000147	PF00665.33,PF07727.20,PF13976.12,PF14223.15,PF22936.2,PF25597.2	NA	1
GML000148		NA	100
GML000149	PF01406.26,PF09190.18,PF09334.18	GO:0000166,GO:0004812,GO:0004817,GO:0005524,GO:0005737,GO:0006418,GO:0006423	8
GML000150	PF01590.33	GO:0005515	100
GML000151	PF08718.17	GO:0005737,GO:0120009,GO:0120013	6
GML000152	PF09729.16	NA	100
GML000153		NA	100
GML000154	PF01476.27,PF01476.27,PF01476.27	NA	100
GML000155	PF07716.21	GO:0003700,GO:0006355	3
GML000156		NA	100
GML000157	PF00642.31,PF13445.13,PF25585.2	GO:0046872	100
GML000158		NA	100
GML000159	PF00149.34	GO:0016787	8
GML000160	PF00650.26	NA	100
GML000161	PF00856.34,PF09273.17	GO:0005515	100
GML000162	PF02845.23	GO:0043130	100
GML000163	PF12955.14	NA	100
GML000164		NA	100
GML000165		NA	100
GML000166		NA	100
GML000167	PF00025.28,PF00571.34,PF00571.34,PF00654.26,PF00654.26,PF08477.20	GO:0003924,GO:0005525,GO:0006821,GO:0015108,GO:0016020,GO:0055085	6
GML000168	PF00098.29,PF00098.29	GO:0003676,GO:0008270	4
GML000169	PF01753.25	NA	100
GML000170		NA	100
GML000171	PF02128.22,PF07504.20	GO:0004222,GO:0005615,GO:0008270	8
GML000172	PF00566.26,PF00566.26,PF07927.18,PF23436.2	GO:0003729	4
GML000173	PF00566.26,PF00566.26,PF23436.2,PF23436.2	NA	100
GML000174	PF00638.25,PF08911.17	GO:0005643,GO:0046907	6
GML000175		NA	100
GML000176	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF01833.31,PF01833.31,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13857.13,PF13857.13,PF25603.2,PF25603.2	GO:0005515	100
GML000177	PF03525.22,PF03525.22	GO:0007131	4
GML000178	PF12770.13,PF12770.13,PF12770.13	NA	100
GML000179	PF04188.19	GO:0000009,GO:0004376,GO:0006506	8
GML000180	PF06398.18,PF06398.18,PF06398.18,PF06398.18	NA	100
GML000181	PF01644.24,PF03142.22,PF13632.13,PF13641.13,PF22997.2	NA	100
GML000182		NA	100
GML000183	PF01112.24,PF01112.24,PF01112.24,PF01112.24,PF01112.24,PF01112.24	GO:0016787	8
GML000184	PF04912.20	GO:0005869,GO:0007017	100
GML000185	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
GML000186	PF01408.29,PF01408.29,PF22725.2,PF22725.2	GO:0000166	100
GML000187		NA	100
GML000188	PF00830.25	GO:0003735	4
GML000189		NA	100
GML000190	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000191	PF00485.25	GO:0005524,GO:0016301	3
GML000192	PF00173.34,PF00890.31,PF01134.29,PF01266.31,PF01494.26,PF07992.21,PF12831.14,PF13450.13	GO:0016491,GO:0071949	8
GML000193	PF20151.5	NA	100
GML000194		NA	100
GML000195		NA	100
GML000196	PF00400.39,PF00400.39	GO:0005515	100
GML000197		NA	100
GML000198	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000199	PF00248.28,PF00248.28,PF00248.28	NA	100
GML000200		NA	100
GML000201	PF01088.28,PF18031.7	GO:0004843,GO:0006511	8
GML000202	PF05669.18	GO:0003712,GO:0006355,GO:0016592	100
GML000203	PF03151.23	NA	100
GML000204	PF00172.24,PF00172.24,PF00172.24,PF04082.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000205		NA	100
GML000206		NA	100
GML000207	PF04106.19,PF04106.19,PF20637.3,PF20637.3,PF20638.4,PF20638.4	NA	100
GML000208	PF20882.3	NA	100
GML000209	PF30661.1	NA	100
GML000210		NA	100
GML000211	PF01979.27,PF07969.18	GO:0016787	8
GML000212	PF00176.30,PF00176.30,PF00176.30,PF00270.36,PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF00271.38,PF04851.22,PF04851.22,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000213		NA	100
GML000214	PF00814.32	NA	100
GML000215	PF08539.17	NA	100
GML000216	PF02668.23,PF06155.18	GO:0016491	8
GML000217	PF10346.15,PF10346.15,PF10346.15	NA	100
GML000218		NA	100
GML000219	PF16862.11	NA	100
GML000220	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13637.13,PF13637.13	GO:0005515	100
GML000221		NA	100
GML000222	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000223	PF04577.20	GO:0016757	8
GML000224	PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000225		NA	100
GML000226		NA	100
GML000227		NA	100
GML000228	PF01773.26,PF07662.19,PF07670.20	NA	100
GML000229	PF02383.24	GO:0016791	8
GML000230	PF00400.39,PF00400.39	GO:0005515	100
GML000231		NA	100
GML000232		NA	100
GML000233		NA	100
GML000234		NA	100
GML000235		NA	100
GML000236	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000237		NA	100
GML000238	PF00106.32,PF00106.32,PF13561.13,PF13561.13	NA	100
GML000239		NA	100
GML000240	PF00067.28,PF00067.28,PF00175.27,PF00175.27,PF00258.31,PF00258.31,PF00667.27,PF00667.27	GO:0004497,GO:0005506,GO:0010181,GO:0016491,GO:0016705,GO:0020037	2
GML000241		NA	100
GML000242	PF03650.20	GO:0005743,GO:0006850	6
