protein_id	length
GML000001_mRNA1	761
GML000101_mRNA1	514
GML000201_mRNA1	470
GML000301_mRNA1	221
GML000401_mRNA1	706
GML000501_mRNA1	461
GML000601_mRNA1	590
GML000701_mRNA1	98
GML000801_mRNA1	520
GML000901_mRNA1	294
GML001001_mRNA1	349
GML001101_mRNA1	1535
GML001201_mRNA1	962
GML001301_mRNA1	468
GML001401_mRNA1	449
GML001501_mRNA1	406
GML001601_mRNA1	176
GML001701_mRNA1	565
GML001801_mRNA1	361
GML001901_mRNA1	100
GML002001_mRNA1	68
GML002101_mRNA1	435
GML002201_mRNA1	228
GML002301_mRNA1	307
GML002401_mRNA1	328
GML002501_mRNA1	172
