gene_id	pfam_ids	go_ids	bin_id
gene-DOTSEDRAFT_67410	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene-DOTSEDRAFT_96132	PF06985.18	NA	100
gene-DOTSEDRAFT_161770	PF26639.1	NA	100
gene-DOTSEDRAFT_67412	PF06985.18,PF26639.1	NA	100
gene-DOTSEDRAFT_67413	PF08241.19,PF13489.13,PF13649.13	GO:0008757	8
gene-DOTSEDRAFT_67414	PF00085.27	NA	100
gene-DOTSEDRAFT_29788	PF00009.34,PF00679.31,PF03144.32,PF03764.25,PF14492.13,PF22042.3	GO:0003924,GO:0005525	8
gene-DOTSEDRAFT_83991	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-DOTSEDRAFT_29790		NA	100
gene-DOTSEDRAFT_67415	PF13230.12,PF13537.12	NA	100
gene-DOTSEDRAFT_48843	PF00145.24,PF00145.24	GO:0008168	8
gene-DOTSEDRAFT_67416	PF03663.21	NA	100
gene-DOTSEDRAFT_67417	PF00024.33	NA	100
gene-DOTSEDRAFT_122391	PF00933.28,PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
gene-DOTSEDRAFT_67418		NA	100
gene-DOTSEDRAFT_161792	PF05270.20,PF09206.19	GO:0031221,GO:0046373,GO:0046556	8
gene-DOTSEDRAFT_76014	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_18877		NA	100
gene-DOTSEDRAFT_67420	PF04104.20,PF26466.1	NA	100
gene-DOTSEDRAFT_76016	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-DOTSEDRAFT_108137	PF05178.18,PF12936.13	NA	100
gene-DOTSEDRAFT_108113		NA	100
gene-DOTSEDRAFT_29803		NA	100
gene-DOTSEDRAFT_18883		NA	100
gene-DOTSEDRAFT_67421	PF06516.18	GO:0055085	6
gene-DOTSEDRAFT_120969		NA	100
gene-DOTSEDRAFT_48856	PF06742.17,PF06863.18	NA	100
gene-DOTSEDRAFT_29807		NA	100
gene-DOTSEDRAFT_18888		NA	100
gene-DOTSEDRAFT_118289	PF13532.13	NA	100
gene-DOTSEDRAFT_76022		NA	100
gene-DOTSEDRAFT_18891	PF00501.35,PF13193.13	NA	100
gene-DOTSEDRAFT_39739	PF00226.37,PF14308.12	NA	100
gene-DOTSEDRAFT_67423	PF06985.18	NA	100
gene-DOTSEDRAFT_t10		NA	100
gene-DOTSEDRAFT_67427		NA	100
gene-DOTSEDRAFT_67428		NA	100
gene-DOTSEDRAFT_29813		NA	100
gene-DOTSEDRAFT_67429	PF01636.30	NA	100
gene-DOTSEDRAFT_29815	PF25540.2	NA	100
gene-DOTSEDRAFT_161831	PF01423.29	NA	100
gene-DOTSEDRAFT_67430		NA	100
gene-DOTSEDRAFT_29817		NA	100
gene-DOTSEDRAFT_67431	PF01490.25	NA	100
gene-DOTSEDRAFT_67432		NA	100
gene-DOTSEDRAFT_67433		NA	100
gene-DOTSEDRAFT_161838	PF07690.22	GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_111345	PF06985.18,PF26640.1	NA	100
gene-DOTSEDRAFT_161842	PF22943.3	NA	100
gene-DOTSEDRAFT_141379	PF03372.30	GO:0003824	8
gene-DOTSEDRAFT_67434	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-DOTSEDRAFT_29823		NA	100
gene-DOTSEDRAFT_29824		NA	100
gene-DOTSEDRAFT_29825		NA	100
gene-DOTSEDRAFT_57741	PF06172.18	NA	100
gene-DOTSEDRAFT_76034		NA	100
gene-DOTSEDRAFT_141384		NA	100
gene-DOTSEDRAFT_48870	PF00561.27,PF12146.16,PF12697.14	NA	100
gene-DOTSEDRAFT_18908		NA	100
gene-DOTSEDRAFT_161859	PF01494.26	GO:0071949	100
gene-DOTSEDRAFT_161862	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-DOTSEDRAFT_67436	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_48875	PF04095.23,PF17767.8	NA	100
gene-DOTSEDRAFT_101392	PF06985.18	NA	100
gene-DOTSEDRAFT_161874	PF04117.18	GO:0016020	100
gene-DOTSEDRAFT_121368	PF01722.24	NA	100
gene-DOTSEDRAFT_67439		NA	100
gene-DOTSEDRAFT_t9		NA	100
gene-DOTSEDRAFT_67440	PF00644.27,PF02877.20,PF05406.21	GO:0003950	8
gene-DOTSEDRAFT_67441		NA	100
gene-DOTSEDRAFT_18919		NA	100
gene-DOTSEDRAFT_67442	PF01274.29,PF20656.3,PF20659.3	NA	100
gene-DOTSEDRAFT_161884	PF01055.33,PF13802.13,PF21365.4	GO:0004553,GO:0005975	8
gene-DOTSEDRAFT_67444	PF00175.27,PF00667.27,PF01558.26,PF17147.10	GO:0016491,GO:0016903	8
gene-DOTSEDRAFT_39763		NA	100
gene-DOTSEDRAFT_84034	PF03095.21	GO:0019211	100
gene-DOTSEDRAFT_76048		NA	100
gene-DOTSEDRAFT_141428	PF01735.24	GO:0004620,GO:0009395	8
gene-DOTSEDRAFT_29844		NA	100
gene-DOTSEDRAFT_18927		NA	100
gene-DOTSEDRAFT_29846		NA	100
gene-DOTSEDRAFT_161897	PF00583.32,PF08445.17,PF13508.14,PF13673.14	GO:0016747	8
gene-DOTSEDRAFT_84037	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-DOTSEDRAFT_141436		NA	100
gene-DOTSEDRAFT_39766	PF00366.27,PF16205.11	GO:0003735,GO:0005840,GO:0006412	4
gene-DOTSEDRAFT_141441		NA	100
gene-DOTSEDRAFT_67450	PF00224.28,PF02887.22	GO:0000287,GO:0004743,GO:0006096,GO:0030955	8
gene-DOTSEDRAFT_119511	PF08631.17	GO:0051321	100
gene-DOTSEDRAFT_67452		NA	100
gene-DOTSEDRAFT_t8		NA	100
gene-DOTSEDRAFT_141452	PF00400.39,PF27702.2,PF30093.1	GO:0005515	100
gene-DOTSEDRAFT_76059	PF26286.1	NA	100
gene-DOTSEDRAFT_67454	PF07690.22	GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_18940		NA	100
gene-DOTSEDRAFT_18941		NA	100
gene-DOTSEDRAFT_67456	PF11913.14	NA	100
gene-DOTSEDRAFT_18942		NA	100
gene-DOTSEDRAFT_39776	PF00076.29	GO:0003723	4
gene-DOTSEDRAFT_48900		NA	100
gene-DOTSEDRAFT_84047		NA	100
gene-DOTSEDRAFT_18947		NA	100
gene-DOTSEDRAFT_84048		NA	100
gene-DOTSEDRAFT_67460		NA	100
gene-DOTSEDRAFT_119781		NA	100
gene-DOTSEDRAFT_18949		NA	100
gene-DOTSEDRAFT_67461	PF00319.24	GO:0003677,GO:0046983	4
gene-DOTSEDRAFT_39780	PF01613.25	GO:0010181	100
gene-DOTSEDRAFT_29865		NA	100
gene-DOTSEDRAFT_67463	PF00569.24	GO:0008270	100
gene-DOTSEDRAFT_67464		NA	100
gene-DOTSEDRAFT_18955	PF10232.15	GO:0003712,GO:0006357,GO:0016592	100
gene-DOTSEDRAFT_18956		NA	100
gene-DOTSEDRAFT_39783		NA	100
gene-DOTSEDRAFT_121924		NA	100
gene-DOTSEDRAFT_67466	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-DOTSEDRAFT_18959		NA	100
gene-DOTSEDRAFT_84057	PF02434.24	GO:0016020,GO:0016757	8
gene-DOTSEDRAFT_48911	PF16508.12	NA	100
gene-DOTSEDRAFT_67468	PF00118.30,PF01363.28,PF01504.25,PF01504.25	GO:0005524,GO:0046488,GO:0046872,GO:0052742	3
gene-DOTSEDRAFT_67469	PF10341.17	GO:0000781,GO:0005697,GO:0007004,GO:0042162	4
gene-DOTSEDRAFT_18964		NA	100
gene-DOTSEDRAFT_67471	PF01866.23	GO:0017183,GO:0090560	8
gene-DOTSEDRAFT_18965		NA	100
gene-DOTSEDRAFT_67472	PF16944.11	GO:0005886,GO:0015079,GO:0071805	6
gene-DOTSEDRAFT_67473	PF00568.30,PF02205.27	GO:0003779	7
gene-DOTSEDRAFT_67474	PF01176.27	GO:0003723,GO:0003743,GO:0006413	4
gene-DOTSEDRAFT_18970		NA	100
gene-DOTSEDRAFT_67475		NA	100
gene-DOTSEDRAFT_84065	PF04193.20,PF04193.20	NA	100
gene-DOTSEDRAFT_18972		NA	100
gene-DOTSEDRAFT_121192	PF20684.4	NA	100
gene-DOTSEDRAFT_121091	PF00891.25,PF08100.19	GO:0008171,GO:0046983	8
gene-DOTSEDRAFT_67476		NA	100
gene-DOTSEDRAFT_29886		NA	100
gene-DOTSEDRAFT_67478	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_161970		NA	100
gene-DOTSEDRAFT_18979		NA	100
gene-DOTSEDRAFT_67480	PF01926.30,PF08153.18	GO:0005525	100
gene-DOTSEDRAFT_67481	PF26163.1	GO:0003735	4
gene-DOTSEDRAFT_161978	PF06772.17	NA	100
gene-DOTSEDRAFT_120874	PF00150.25	GO:0000272,GO:0004553	8
gene-DOTSEDRAFT_67482		NA	100
gene-DOTSEDRAFT_67483		NA	100
gene-DOTSEDRAFT_118143	PF16335.11,PF17168.11	NA	100
gene-DOTSEDRAFT_29894	PF00205.29,PF02775.27,PF02776.24	GO:0000287,GO:0003824,GO:0030976	8
gene-DOTSEDRAFT_29895		NA	100
gene-DOTSEDRAFT_161987	PF00347.29,PF00347.29	GO:0003735,GO:0005840,GO:0006412,GO:0019843	4
gene-DOTSEDRAFT_18989		NA	100
gene-DOTSEDRAFT_67487		NA	100
gene-DOTSEDRAFT_29899		NA	100
gene-DOTSEDRAFT_76094	PF22974.2,PF23865.2	NA	100
gene-DOTSEDRAFT_67488		NA	100
gene-DOTSEDRAFT_84080	PF00091.32,PF03953.23	GO:0005525	100
gene-DOTSEDRAFT_48937	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_29903	PF20150.5	NA	100
gene-DOTSEDRAFT_18997		NA	100
gene-DOTSEDRAFT_48938	PF13561.13	NA	100
gene-DOTSEDRAFT_67490		NA	100
gene-DOTSEDRAFT_67491	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_120787	PF04969.23	NA	100
gene-DOTSEDRAFT_67492		NA	100
gene-DOTSEDRAFT_67493		NA	100
gene-DOTSEDRAFT_67494	PF00735.25	GO:0005525	100
gene-DOTSEDRAFT_67495		NA	100
gene-DOTSEDRAFT_141544	PF01569.28	NA	100
gene-DOTSEDRAFT_48945		NA	100
gene-DOTSEDRAFT_48946	PF09370.17	NA	100
gene-DOTSEDRAFT_67497	PF06792.18,PF23189.2	NA	100
gene-DOTSEDRAFT_76109	PF05368.20,PF13460.13	NA	100
gene-DOTSEDRAFT_162020	PF01794.26,PF08022.19,PF08030.18	GO:0016491	8
gene-DOTSEDRAFT_67499		NA	100
gene-DOTSEDRAFT_141555	PF10330.15	NA	100
gene-DOTSEDRAFT_48951		NA	100
gene-DOTSEDRAFT_67500		NA	100
gene-DOTSEDRAFT_67501	PF03483.23,PF03484.22,PF17759.7,PF18262.8	GO:0000287,GO:0003723,GO:0004826,GO:0005524,GO:0006432	4
gene-DOTSEDRAFT_119444	PF00254.35	GO:0003755	8
gene-DOTSEDRAFT_67502	PF02985.29,PF13646.13,PF22646.3,PF22956.3,PF22956.3,PF22956.3,PF25757.2	GO:0005515	100
gene-DOTSEDRAFT_76116		NA	100
gene-DOTSEDRAFT_67503	PF00108.30,PF02803.25	GO:0016747	8
gene-DOTSEDRAFT_141569	PF02544.22,PF06966.18	GO:0006629,GO:0016627	8
gene-DOTSEDRAFT_67505	PF00628.36,PF30811.1,PF31218.1	NA	100
gene-DOTSEDRAFT_67506	PF01546.34	GO:0016787	8
gene-DOTSEDRAFT_67508	PF03501.22	NA	100
gene-DOTSEDRAFT_109432	PF13019.13,PF22782.2	NA	100
gene-DOTSEDRAFT_48962		NA	100
gene-DOTSEDRAFT_19024	PF00840.28	GO:0004553,GO:0005975	8
gene-DOTSEDRAFT_67510	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-DOTSEDRAFT_121553	PF04032.23	GO:0006396	8
gene-DOTSEDRAFT_67512	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-DOTSEDRAFT_67515	PF00333.27,PF03719.22	GO:0003723,GO:0003735,GO:0005840,GO:0006412	4
gene-DOTSEDRAFT_57834	PF04303.19	NA	100
gene-DOTSEDRAFT_19028	PF22974.2,PF23865.2	NA	100
gene-DOTSEDRAFT_141595	PF08317.17,PF15402.12,PF15402.12,PF15402.12,PF15402.12,PF15402.12,PF15402.12,PF18210.7	NA	100
gene-DOTSEDRAFT_19031		NA	100
gene-DOTSEDRAFT_19032		NA	100
gene-DOTSEDRAFT_67517		NA	100
gene-DOTSEDRAFT_67519	PF01501.27	GO:0016757	8
gene-DOTSEDRAFT_67520	PF00250.25,PF00498.32	GO:0003700,GO:0005515,GO:0006355,GO:0043565	3
gene-DOTSEDRAFT_67521	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF12937.13	GO:0005515	100
gene-DOTSEDRAFT_67523	PF24803.2	NA	100
gene-DOTSEDRAFT_57842	PF00106.32,PF08659.17,PF13561.13,PF23441.1	NA	100
gene-DOTSEDRAFT_57843	PF00122.26,PF00689.27,PF00690.32,PF00702.33,PF13246.13	NA	100
gene-DOTSEDRAFT_67524	PF00462.31	NA	100
gene-DOTSEDRAFT_67525	PF08982.18	NA	100
gene-DOTSEDRAFT_67527	PF01546.34,PF07687.20	GO:0016787	8
gene-DOTSEDRAFT_19040		NA	100
gene-DOTSEDRAFT_67528		NA	100
gene-DOTSEDRAFT_39855	PF00010.32	GO:0046983	100
gene-DOTSEDRAFT_67537		NA	100
gene-DOTSEDRAFT_67538		NA	100
gene-DOTSEDRAFT_39859	PF01878.25	NA	100
gene-DOTSEDRAFT_29951		NA	100
gene-DOTSEDRAFT_141627	PF00106.32,PF13561.13	NA	100
gene-DOTSEDRAFT_162092	PF00023.37,PF01544.24,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515,GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-DOTSEDRAFT_141632	PF17120.12	NA	100
gene-DOTSEDRAFT_67542	PF00179.32	NA	100
gene-DOTSEDRAFT_67543		NA	100
gene-DOTSEDRAFT_29956	PF00144.30	NA	100
gene-DOTSEDRAFT_162102	PF02732.22	GO:0003677	4
gene-DOTSEDRAFT_19054		NA	100
gene-DOTSEDRAFT_67545	PF07960.17	NA	100
gene-DOTSEDRAFT_67546	PF13246.13,PF16209.11,PF16212.12	NA	100
gene-DOTSEDRAFT_162109		NA	100
gene-DOTSEDRAFT_29962		NA	100
gene-DOTSEDRAFT_29963		NA	100
gene-DOTSEDRAFT_48990		NA	100
gene-DOTSEDRAFT_67549	PF06011.18,PF14558.12	NA	100
gene-DOTSEDRAFT_84135	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-DOTSEDRAFT_118977	PF20684.4	NA	100
gene-DOTSEDRAFT_19064	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12,PF22041.2	NA	100
gene-DOTSEDRAFT_67552	PF10294.16	NA	100
gene-DOTSEDRAFT_48995		NA	100
gene-DOTSEDRAFT_67553		NA	100
gene-DOTSEDRAFT_67554	PF00153.33,PF00153.33,PF00153.33,PF13202.13,PF13405.13,PF13499.13	GO:0005509	100
gene-DOTSEDRAFT_76153	PF00004.36,PF17862.8	GO:0005524,GO:0016887	8
gene-DOTSEDRAFT_48998		NA	100
gene-DOTSEDRAFT_29973		NA	100
