gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-JAMPHYA_P00010	rna-JAMPHYA_P00010		None	None
gene-JAMPHYA_P00020	rna-JAMPHYA_P00020		None	None
gene-JAMPHYA_P00030	rna-JAMPHYA_P00030		None	None
gene-JAMPHYA_P00040	rna-JAMPHYA_P00040		None	None
gene-JAMPHYA_P00050	rna-JAMPHYA_P00050		None	None
gene-JAMPHYA_P00060	rna-JAMPHYA_P00060		None	None
gene-JAMPHYA_P00070	rna-JAMPHYA_P00070		None	None
gene-JAMPHYA_P00080	rna-JAMPHYA_P00080		None	None
gene-JAMPHYA_P00090	rna-JAMPHYA_P00090		None	None
gene-JAMPHYA_P00100	rna-JAMPHYA_P00100		None	None
gene-JAMPHYA_P00110	rna-JAMPHYA_P00110	PF17667.8	Partial	None
gene-JAMPHYA_P00120	rna-JAMPHYA_P00120	PF01822.25,PF01822.25,PF01822.25	Complete	None
gene-JAMPHYA_P00130	rna-JAMPHYA_P00130		None	None
gene-JAMPHYA_P00140	rna-JAMPHYA_P00140		None	None
gene-JAMPHYA_P00150	rna-JAMPHYA_P00150		None	None
gene-JAMPHYA_P00160	rna-JAMPHYA_P00160	PF01965.31	Partial	None
gene-JAMPHYA_P00170	rna-JAMPHYA_P00170	PF00652.29,PF11790.15,PF14200.13	Partial	None
gene-JAMPHYA_P00180	rna-JAMPHYA_P00180		None	None
gene-JAMPHYA_P00190	rna-JAMPHYA_P00190		None	None
gene-JAMPHYA_P00200	rna-JAMPHYA_P00200		None	None
gene-JAMPHYA_P00210	rna-JAMPHYA_P00210	PF03009.24	Partial	None
gene-JAMPHYA_P00220	rna-JAMPHYA_P00220	PF00295.24	Partial	None
gene-JAMPHYA_P00230	rna-JAMPHYA_P00230		None	None
gene-JAMPHYA_P00240	rna-JAMPHYA_P00240		None	None
gene-JAMPHYA_P00250	rna-JAMPHYA_P00250	PF04299.19	Partial	None
gene-JAMPHYA_P00260	rna-JAMPHYA_P00260		None	None
gene-JAMPHYA_P00270	rna-JAMPHYA_P00270		None	None
gene-JAMPHYA_P00280	rna-JAMPHYA_P00280		None	None
gene-JAMPHYA_P00290	rna-JAMPHYA_P00290	PF03568.24	Complete	None
gene-JAMPHYA_P00300	rna-JAMPHYA_P00300	PF00324.28,PF13520.13	Partial	None
gene-JAMPHYA_P00310	rna-JAMPHYA_P00310	PF01979.27,PF07969.18,PF07969.18	Partial	None
gene-JAMPHYA_P00320	rna-JAMPHYA_P00320		None	None
gene-JAMPHYA_P00330	rna-JAMPHYA_P00330		None	None
gene-JAMPHYA_P00340	rna-JAMPHYA_P00340		None	None
gene-JAMPHYA_P00350	rna-JAMPHYA_P00350		None	None
gene-JAMPHYA_P00360	rna-JAMPHYA_P00360		None	None
gene-JAMPHYA_P00370	rna-JAMPHYA_P00370		None	None
