protein_id	length
rna-XM_007311921.1	140
rna-XM_007312018.1	137
rna-XM_007312118.1	431
rna-XM_007312218.1	415
rna-XM_007312318.1	278
rna-XM_007312418.1	81
rna-XM_007312518.1	176
rna-XM_007312618.1	241
rna-XM_007312718.1	507
rna-XM_007312818.1	448
rna-XM_007312917.1	162
rna-XM_007313016.1	658
rna-XM_007313119.1	471
rna-XM_007313218.1	133
rna-XM_007313317.1	175
rna-XM_007313410.1	143
rna-XM_007313501.1	480
rna-XM_007313600.1	1430
rna-XM_007313700.1	302
rna-XM_007313799.1	511
rna-XM_007313898.1	54
rna-XM_007313998.1	489
rna-XM_007314098.1	138
rna-XM_007314198.1	307
rna-XM_007314321.1	753
rna-XM_007314421.1	187
rna-XM_007314521.1	69
rna-XM_007314621.1	247
rna-XM_007314721.1	838
rna-XM_007314819.1	211
rna-XM_007314914.1	241
rna-XM_007315014.1	110
rna-XM_007315121.1	1146
rna-XM_007315220.1	230
rna-XM_007315318.1	118
rna-XM_007315418.1	688
rna-XM_007315518.1	213
rna-XM_007315618.1	218
rna-XM_007315718.1	350
rna-XM_007315818.1	419
rna-XM_007315918.1	516
rna-XM_007316016.1	1124
rna-XM_007316115.1	65
rna-XM_007316220.1	608
rna-XM_007316320.1	1377
rna-XM_007316420.1	401
rna-XM_007316520.1	73
rna-XM_007316619.1	109
rna-XM_007316719.1	68
rna-XM_007316817.1	200
rna-XM_007316917.1	145
rna-XM_007317011.1	1338
rna-XM_007317111.1	403
rna-XM_007317220.1	144
rna-XM_007317320.1	87
rna-XM_007317419.1	415
rna-XM_007317519.1	260
rna-XM_007317619.1	74
rna-XM_007317718.1	61
rna-XM_007317817.1	770
rna-XM_007317917.1	81
rna-XM_007318017.1	573
rna-XM_007318121.1	297
rna-XM_007318221.1	334
rna-XM_007318321.1	182
rna-XM_007319023.1	604
rna-XM_007318504.1	498
rna-XM_007318601.1	217
rna-XM_007318700.1	157
rna-XM_007318800.1	61
rna-XM_007318899.1	1560
rna-XM_007318997.1	72
rna-XM_007319121.1	236
rna-XM_007319221.1	51
rna-XM_007319320.1	180
rna-XM_007319420.1	398
rna-XM_007319519.1	325
rna-XM_007319619.1	401
rna-XM_007319719.1	641
rna-XM_007319819.1	483
rna-XM_007319921.1	86
rna-XM_007320020.1	205
rna-XM_007320117.1	228
rna-XM_007320216.1	52
rna-XM_007320315.1	313
rna-XM_007320416.1	1479
rna-XM_007320516.1	79
rna-XM_007320621.1	265
rna-XM_007320720.1	787
rna-XM_007320820.1	272
rna-XM_007320920.1	346
rna-XM_007321016.1	894
rna-XM_007321116.1	261
rna-XM_007321222.1	428
rna-XM_007321320.1	220
rna-XM_007321420.1	436
rna-XM_007321520.1	203
rna-XM_007321620.1	368
rna-XM_007321720.1	63
rna-XM_007321822.1	410
rna-XM_007321922.1	146
rna-XM_007322021.1	77
rna-XM_007322121.1	411
rna-XM_007322221.1	378
rna-XM_007322331.1	558
rna-XM_007322424.1	512
rna-XM_007322523.1	98
rna-XM_007322622.1	549
rna-XM_007322722.1	203
rna-XM_007322824.1	51
rna-XM_007322924.1	358
rna-XM_007323024.1	362
rna-XM_007323124.1	941
rna-XM_007323223.1	475
rna-XM_007323322.1	156
rna-XM_007323421.1	196
rna-XM_007323523.1	597
rna-XM_007323623.1	297
rna-XM_007323721.1	401
rna-XM_007323824.1	111
rna-XM_007323921.1	950
rna-XM_007324019.1	542
rna-XM_007324124.1	313
rna-XM_007324221.1	328
rna-XM_007324324.1	116
rna-XM_007324424.1	604
rna-XM_007324524.1	575
rna-XM_007324624.1	200
rna-XM_007324738.1	200
rna-XM_007324838.1	76
