gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00923.26,PF00923.26	GO:0005975	8
GML000002	PF06964.19,PF06964.19,PF22848.3,PF22848.3	GO:0046373,GO:0046556	8
GML000003	PF06964.19,PF06964.19,PF22848.3,PF22848.3	GO:0046373,GO:0046556	8
GML000004		NA	100
GML000005		NA	100
GML000006		NA	100
GML000007		NA	100
GML000008	PF04614.18	GO:0005777	100
GML000009		NA	100
GML000010	PF27892.1	NA	100
GML000011	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000012	PF06026.21	GO:0004751,GO:0009052	8
GML000013	PF07250.18,PF07250.18,PF09118.18	NA	100
GML000014	PF03619.23,PF03619.23	NA	100
GML000015	PF01937.25,PF01937.25,PF01937.25,PF01937.25	NA	100
GML000016	PF09531.16	NA	100
GML000017	PF01876.24	GO:0008033	8
GML000018	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08662.18,PF08662.18,PF08662.18,PF23342.2,PF23342.2,PF23342.2,PF25175.2,PF25175.2,PF25175.2	GO:0005515	100
GML000019		NA	100
GML000020	PF07859.20,PF10340.16	GO:0016787	8
GML000021	PF05739.27	NA	100
GML000022	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000023	PF01476.27	NA	100
GML000024	PF00656.28,PF00656.28,PF31181.1,PF31181.1	GO:0004197,GO:0006508	5
GML000025	PF00656.28,PF00656.28,PF31181.1,PF31181.1	GO:0004197,GO:0006508	5
GML000026	PF01161.27	NA	100
GML000027		NA	100
GML000028	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000029		NA	100
GML000030	PF01266.31	NA	100
GML000031	PF12569.15,PF12569.15,PF31234.1,PF31234.1	NA	100
GML000032	PF20168.5,PF20168.5	NA	100
GML000033	PF01073.26,PF01370.28,PF07993.19	GO:0006694,GO:0016616	8
GML000034	PF00013.36,PF22675.3,PF23469.2	GO:0003723	4
GML000035	PF28440.1,PF28442.1	NA	100
GML000036	PF00097.32,PF00097.32,PF00097.32,PF13920.13,PF13920.13,PF13920.13	GO:0046872	100
GML000037		NA	100
GML000038	PF00248.28,PF00248.28	NA	100
GML000039	PF01851.29,PF01851.29,PF17781.8,PF18051.7	NA	100
