gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003	PF13091.13	NA	100
GML000004	PF00557.30,PF00557.30,PF05195.23,PF05195.23	GO:0030145,GO:0070006	8
GML000005		NA	100
GML000006		NA	100
GML000007	PF00588.25,PF00588.25	GO:0003723,GO:0006396,GO:0008173	4
GML000008	PF01331.26,PF03919.22	GO:0004484,GO:0005524,GO:0006370	8
GML000009	PF00226.37,PF09320.17,PF09320.17	NA	100
GML000010	PF00339.35,PF00339.35,PF02752.28,PF02752.28	NA	100
GML000011	PF02862.23,PF02862.23,PF02862.23	GO:0046872	100
GML000012	PF01253.28	GO:0003743,GO:0006413	8
GML000013	PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000014	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13637.13	GO:0005515	100
GML000015	PF00929.32	NA	100
GML000016	PF00004.36,PF00004.36,PF07728.21,PF07728.21,PF17862.8,PF17862.8	GO:0005524,GO:0016887	8
GML000017	PF03177.21,PF08801.18	NA	100
GML000018		NA	100
GML000019	PF00211.26,PF00481.27,PF00560.40,PF00788.30,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF23010.3	GO:0005515,GO:0007165,GO:0009190,GO:0035556	3
GML000020	PF05182.19	NA	100
GML000021		NA	100
GML000022	PF10375.15	NA	100
GML000023	PF00394.29,PF00394.29,PF07731.21,PF07731.21,PF07732.22,PF07732.22	GO:0005507,GO:0016491	8
GML000024	PF09740.15,PF09740.15,PF20867.4,PF20867.4,PF20867.4,PF20867.4	NA	100
GML000025	PF01522.27	GO:0005975,GO:0016810	8
GML000026		NA	100
GML000027	PF00010.32	GO:0046983	100
GML000028		NA	100
GML000029		NA	100
GML000030	PF10376.15	NA	100
GML000031	PF03105.25,PF03105.25,PF03124.21,PF03124.21,PF03124.21	GO:0016020	100
GML000032		NA	100
GML000033	PF00773.26,PF00773.26,PF00773.26,PF00773.26,PF00773.26,PF17216.10,PF17216.10,PF17849.8,PF17849.8	GO:0003723,GO:0004540	1
GML000034		NA	100
GML000035	PF09949.16,PF09949.16	GO:0008195	8
GML000036	PF00583.32,PF08445.17,PF13508.14,PF13673.14	GO:0016747	8
GML000037	PF04095.23,PF17767.8	NA	100
GML000038	PF01151.24	GO:0009922,GO:0016020	8
GML000039	PF03061.29	NA	100
GML000040	PF00149.34,PF00149.34,PF16891.11,PF16891.11	GO:0016787	8
GML000041	PF02779.30,PF02780.26	NA	100
GML000042	PF00069.32,PF00069.32,PF01163.29,PF01163.29,PF07714.24,PF07714.24	GO:0003824,GO:0004672,GO:0005524,GO:0006468	3
GML000043	PF08585.19	NA	100
GML000044	PF12998.13,PF12998.13,PF12998.13,PF12998.13,PF12998.13	NA	100
GML000045	PF00250.25	GO:0003700,GO:0006355,GO:0043565	3
GML000046	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000047	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
GML000048	PF01248.32	NA	100
GML000049	PF03834.22,PF03834.22,PF14520.13,PF14520.13	NA	100
GML000050	PF02100.24	GO:0008073	100
GML000051	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00072.31,PF00072.31,PF00072.31,PF00072.31,PF07714.24,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0000160,GO:0004672,GO:0005524,GO:0006468	3
GML000052		NA	100
GML000053	PF00320.34	GO:0006355,GO:0043565	4
GML000054	PF00122.26,PF00690.32,PF00702.33,PF08282.19,PF13246.13	NA	100
GML000055	PF10343.15	NA	100
GML000056		NA	100
GML000057	PF03372.30	GO:0003824	8
GML000058	PF00135.35,PF07859.20,PF20434.6	GO:0016787	8
GML000059	PF01253.28,PF17832.8,PF25304.2,PF26291.1,PF26292.1	GO:0003743,GO:0006413	8
GML000060	PF04051.22	NA	100
GML000061	PF00828.26,PF29471.1	NA	100
GML000062	PF00788.30,PF01096.24,PF07500.20,PF08711.17,PF21989.3	GO:0003676,GO:0006351,GO:0007165,GO:0008270	3
GML000063		NA	100
GML000064	PF00249.38,PF00249.38	NA	100
GML000065	PF26087.1,PF26087.1,PF26087.1	NA	100
GML000066	PF01161.27	NA	100
GML000067	PF14694.12	NA	100
GML000068		NA	100
GML000069	PF05439.18	GO:0016020	100
GML000070		NA	100
GML000071		NA	100
GML000072		NA	100
GML000073	PF05368.20	NA	100
GML000074	PF00617.25	GO:0005085,GO:0007264	3
GML000075	PF00293.35,PF00293.35	NA	100
GML000076		NA	100
GML000077	PF00249.38,PF00249.38	NA	100
GML000078	PF03707.22,PF03707.22,PF31008.1	NA	100
GML000079	PF01844.30	GO:0003676,GO:0004519,GO:0008270	4
GML000080	PF01593.31,PF01593.31,PF13450.13	GO:0016491	8
GML000081	PF01055.33,PF01055.33,PF01055.33,PF21365.4,PF21365.4,PF21365.4	GO:0004553,GO:0005975	8
GML000082		NA	100
GML000083	PF00036.39,PF00036.39,PF00036.39,PF00036.39,PF13202.13,PF13202.13,PF13202.13,PF13202.13,PF13405.13,PF13405.13,PF13499.13,PF13499.13,PF13833.13,PF13833.13	GO:0005509	100
GML000084		NA	100
GML000085	PF13347.13	NA	100
GML000086	PF07742.18	NA	100
GML000087	PF01008.24,PF01008.24	NA	100
GML000088	PF00271.38,PF00271.38,PF12513.16,PF12513.16,PF18147.7,PF18147.7,PF22527.3,PF22527.3	NA	100
GML000089	PF00628.36,PF00628.36,PF01426.25,PF01426.25,PF13771.13,PF13771.13,PF13831.13,PF13832.13,PF13832.13	GO:0003682	100
GML000090		NA	100
GML000091	PF26935.1	NA	100
GML000092	PF01636.30,PF01636.30,PF03881.21,PF03881.21	NA	100
GML000093	PF00638.25,PF00638.25	GO:0046907	6
GML000094	PF00168.37,PF00168.37	NA	100
