gene_id	pfam_ids	go_ids	bin_id
gene-DFJ77DRAFT_444313	PF00704.35	GO:0005975	8
gene-DFJ77DRAFT_505572	PF00097.32,PF04757.20,PF13923.13	GO:0046872	100
gene-DFJ77DRAFT_544715		NA	100
gene-DFJ77DRAFT_505574		NA	100
gene-DFJ77DRAFT_80	PF00005.34,PF01061.30,PF19055.7,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0140359	6
gene-DFJ77DRAFT_77	PF00205.29,PF02775.27,PF02776.24	GO:0000287,GO:0003824,GO:0030976	8
gene-DFJ77DRAFT_444328		NA	100
gene-DFJ77DRAFT_444334		NA	100
gene-DFJ77DRAFT_444336	PF00611.29,PF00620.33,PF22699.2	GO:0007165	3
gene-DFJ77DRAFT_444339	PF00085.27,PF13098.14	NA	100
gene-DFJ77DRAFT_176	PF09494.17	GO:0005634,GO:0006260,GO:0006281,GO:0033557	3
gene-DFJ77DRAFT_425488	PF01896.26	GO:0003899,GO:0006269	8
gene-DFJ77DRAFT_444345	PF00651.38	GO:0005515	100
gene-DFJ77DRAFT_436234	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene-DFJ77DRAFT_424958	PF00009.34,PF01926.30,PF11987.14,PF22042.3	GO:0003924,GO:0005525	8
gene-DFJ77DRAFT_424793	PF02463.26,PF06470.19,PF13175.13,PF13304.13,PF13476.13	GO:0005515,GO:0005524,GO:0005694,GO:0006302,GO:0016887,GO:0051276	3
gene-DFJ77DRAFT_444355	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-DFJ77DRAFT_444358	PF20168.5	NA	100
gene-DFJ77DRAFT_t1		NA	100
gene-DFJ77DRAFT_505589	PF00320.34	GO:0006355,GO:0043565	4
gene-DFJ77DRAFT_444362	PF00892.27,PF04142.22	GO:0000139,GO:0015165,GO:0016020,GO:0090481	6
gene-DFJ77DRAFT_505591		NA	100
gene-DFJ77DRAFT_363		NA	100
gene-DFJ77DRAFT_651	PF00169.36,PF00621.26	GO:0005085	100
gene-DFJ77DRAFT_444378	PF03874.22	GO:0006352,GO:0030880	8
gene-DFJ77DRAFT_425229	PF00642.31,PF13639.13,PF14608.13,PF14608.13,PF14608.13,PF18044.8	GO:0046872	100
gene-DFJ77DRAFT_444386	PF02545.20	GO:0047429	8
gene-DFJ77DRAFT_t2		NA	100
gene-DFJ77DRAFT_749	PF03370.19,PF03370.19	GO:0005515	100
gene-DFJ77DRAFT_669	PF00561.27,PF02450.22,PF05990.19,PF12146.16,PF12697.14	GO:0006629,GO:0008374	8
gene-DFJ77DRAFT_444401	PF01853.26,PF11717.15,PF17772.8	GO:0004402,GO:0006355	8
gene-DFJ77DRAFT_505600	PF12569.15,PF13181.13,PF31234.1	GO:0005515	100
gene-DFJ77DRAFT_444408	PF01230.30,PF10283.15,PF11969.14,PF16278.12,PF17913.7	GO:0003824	8
gene-DFJ77DRAFT_444412		NA	100
gene-DFJ77DRAFT_1055	PF00076.29	GO:0003723	4
gene-DFJ77DRAFT_436251	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23098.2	GO:0005515	100
gene-DFJ77DRAFT_505605	PF05383.24,PF21071.4	GO:0000339,GO:0048255	4
gene-DFJ77DRAFT_505621		NA	100
gene-DFJ77DRAFT_436256		NA	100
gene-DFJ77DRAFT_t9		NA	100
gene-DFJ77DRAFT_444428	PF00450.29	GO:0004185,GO:0006508	5
gene-DFJ77DRAFT_1180	PF12799.14,PF13855.13	GO:0005515	100
gene-DFJ77DRAFT_425305	PF05208.20	GO:0000030	8
gene-DFJ77DRAFT_1177	PF00293.35	NA	100
gene-DFJ77DRAFT_444451	PF15503.12	NA	100
gene-DFJ77DRAFT_444452	PF00787.30,PF05739.27	GO:0035091	100
gene-DFJ77DRAFT_444453		NA	100
gene-DFJ77DRAFT_444456	PF01644.24,PF03142.22,PF08407.18,PF13632.13	GO:0004100	8
gene-DFJ77DRAFT_444461		NA	100
gene-DFJ77DRAFT_444462	PF01148.26	NA	100
gene-DFJ77DRAFT_1447		NA	100
gene-DFJ77DRAFT_425286	PF00235.26	GO:0003779	7
gene-DFJ77DRAFT_425399	PF00342.25	GO:0004347,GO:0006094,GO:0006096	8
gene-DFJ77DRAFT_2200	PF03876.23	GO:0006351	8
gene-DFJ77DRAFT_505642	PF21035.4	NA	100
gene-DFJ77DRAFT_444517	PF00097.32,PF02225.28,PF12678.14,PF13639.13,PF13923.13,PF17123.12	GO:0008270,GO:0046872	100
gene-DFJ77DRAFT_444522	PF00383.30,PF08211.19	GO:0004126,GO:0008270	8
gene-DFJ77DRAFT_444523	PF00620.33,PF13716.12	GO:0007165	3
gene-DFJ77DRAFT_1795	PF08718.17	GO:0005737,GO:0120009,GO:0120013	6
gene-DFJ77DRAFT_2033		NA	100
gene-DFJ77DRAFT_2058	PF00536.38,PF07647.25	GO:0005515	100
gene-DFJ77DRAFT_425188	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-DFJ77DRAFT_2733	PF15479.12	NA	100
gene-DFJ77DRAFT_2586	PF09184.17	GO:0019888,GO:0030289	100
gene-DFJ77DRAFT_444548		NA	100
gene-DFJ77DRAFT_482181	PF00795.28,PF02540.24	NA	100
gene-DFJ77DRAFT_425023		NA	100
gene-DFJ77DRAFT_544769	PF12710.14	NA	100
