gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00172.24,PF06985.18	GO:0000981,GO:0006355,GO:0008270	3
GML000002		NA	100
GML000003	PF26639.1	NA	100
GML000004	PF03931.22	GO:0006511	8
GML000005	PF00106.32,PF00106.32,PF13561.13	NA	100
GML000006	PF00899.28,PF10585.15,PF14732.12	NA	100
GML000007	PF10343.15	NA	100
GML000008	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000009		NA	100
GML000010	PF13086.13,PF13086.13	GO:0004386	8
GML000011	PF03876.23,PF17875.8	GO:0006351	8
GML000012	PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF04408.30,PF04408.30,PF07717.23,PF07717.23,PF13401.13,PF13401.13,PF21010.3,PF21010.3	GO:0003676,GO:0005524,GO:0016887	4
GML000013	PF05185.23,PF17285.9,PF17286.8	NA	100
GML000014	PF04241.21,PF04241.21	NA	100
GML000015	PF00248.28	NA	100
GML000016	PF00583.32	GO:0016747	8
GML000017		NA	100
GML000018	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000019		NA	100
GML000020	PF04427.24	GO:0006364,GO:0019843	4
GML000021		NA	100
GML000022		NA	100
GML000023		NA	100
GML000024		NA	100
GML000025		NA	100
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031		NA	100
GML000032		NA	100
GML000033		NA	100
GML000034	PF05460.19,PF05460.19	GO:0003677,GO:0005664,GO:0006260	4
GML000035		NA	100
GML000036		NA	100
GML000037	PF00856.34,PF00856.34	GO:0005515	100
GML000038	PF17903.8,PF21800.5,PF22891.3	NA	100
GML000039	PF00106.32,PF13561.13	NA	100
GML000040	PF06985.18,PF06985.18,PF17389.9,PF17389.9	NA	100
GML000041	PF11917.14,PF11917.14,PF11917.14	NA	100
GML000042	PF25426.2,PF25426.2	NA	100
GML000043	PF07727.20	NA	100
GML000044		NA	100
GML000045		NA	100
GML000046	PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000047		NA	100
GML000048		NA	100
GML000049		NA	100
GML000050	PF03184.26	NA	1
GML000051	PF03184.26,PF03221.23	NA	1
GML000052		NA	100
GML000053	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000054	PF06985.18	NA	100
GML000055	PF00580.28,PF01930.24,PF08696.18,PF13086.13,PF13086.13,PF13087.13,PF13245.13,PF13604.13,PF21123.4	GO:0004386,GO:0005524	8
GML000056	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000057	PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF14531.13,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
GML000058	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000059		NA	100
GML000060	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000061		NA	100
GML000062	PF00505.26	NA	100
GML000063	PF05916.17,PF24997.2	NA	100
GML000064	PF00270.36,PF00271.38,PF23469.2	GO:0003676,GO:0005524	4
GML000065	PF00400.39,PF00400.39,PF08145.18	GO:0005515,GO:0006364	8
GML000066	PF00010.32,PF00010.32	GO:0046983	100
GML000067	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000068		NA	100
GML000069	PF05875.19	GO:0006672,GO:0016020	8
GML000070	PF31053.1	NA	100
GML000071	PF00096.33,PF13912.13,PF23561.2	NA	100
GML000072	PF00248.28	NA	100
GML000073	PF20684.4,PF20684.4	NA	100
GML000074	PF06985.18,PF06985.18	NA	100
GML000075	PF00106.32,PF01370.28,PF13561.13	NA	100
GML000076	PF00566.26,PF23436.2	NA	100
GML000077	PF10263.16,PF22934.2	NA	100
GML000078		NA	100
GML000079		NA	100
GML000080	PF10544.16,PF13455.14	NA	100
