gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-EV420DRAFT_1215778	rna-XM_060466404.1	PF00656.28,PF31181.1	Partial	None
gene-EV420DRAFT_1472291	rna-XM_060469039.1		None	None
gene-EV420DRAFT_1258021	rna-XM_060466868.1	PF04750.20	Partial	None
gene-EV420DRAFT_132	rna-XM_060468712.1	PF12697.14	Partial	None
gene-EV420DRAFT_1472294	rna-XM_060469040.1	PF20152.5	Partial	None
gene-EV420DRAFT_1491723	rna-XM_060470715.1	PF01988.25	Partial	None
gene-EV420DRAFT_1322400	rna-XM_060468716.1	PF04750.20	Partial	None
gene-EV420DRAFT_1258394	rna-XM_060466888.1	PF07728.21,PF07728.21,PF07728.21	Complete	None
gene-EV420DRAFT_1633426	rna-XM_060476180.1	PF00070.34,PF07992.21,PF22366.2	Complete	None
gene-EV420DRAFT_785	rna-XM_060483453.1		None	None
gene-EV420DRAFT_1615832	rna-XM_060475074.1	PF08231.18	Partial	None
gene-EV420DRAFT_926	rna-XM_060484008.1	PF00732.26,PF05199.20	Complete	None
gene-EV420DRAFT_1472301	rna-XM_060469041.1		None	None
gene-EV420DRAFT_1472302	rna-XM_060469042.1	PF00732.26,PF05199.20	Complete	None
gene-EV420DRAFT_1258292	rna-XM_060466880.1	PF09748.15	Partial	None
gene-EV420DRAFT_1491789	rna-XM_060470716.1	PF08592.17	Partial	None
gene-EV420DRAFT_1296849	rna-XM_060468342.1		None	None
gene-EV420DRAFT_1397	rna-XM_060468994.1		None	None
gene-EV420DRAFT_1488	rna-XM_060470588.1		None	None
gene-EV420DRAFT_1257251	rna-XM_060466820.1	PF00069.32,PF07714.24	Partial	None
gene-EV420DRAFT_1487	rna-XM_060470470.1		None	None
gene-EV420DRAFT_1633437	rna-XM_060476181.1	PF03959.20	Partial	None
gene-EV420DRAFT_1756845	rna-XM_060480500.1		None	None
gene-EV420DRAFT_1823	rna-XM_060481116.1		None	None
gene-EV420DRAFT_1722	rna-XM_060479776.1	PF04193.20,PF04193.20	Complete	None
gene-EV420DRAFT_1633441	rna-XM_060476182.1		None	None
gene-EV420DRAFT_1633442	rna-XM_060476183.1	PF00067.28	Partial	None
gene-EV420DRAFT_1633443	rna-XM_060476184.1	PF03467.22	Partial	None
gene-EV420DRAFT_1970	rna-XM_060481176.1	PF00010.32	Partial	None
gene-EV420DRAFT_1942	rna-XM_060481156.1		None	None
gene-EV420DRAFT_1853	rna-XM_060481124.1	PF01243.28,PF10590.15	Complete	None
gene-EV420DRAFT_1491840	rna-XM_060470717.1	PF00891.25	Partial	None
gene-EV420DRAFT_1491845	rna-XM_060470718.1	PF00221.25	Partial	None
gene-EV420DRAFT_2221	rna-XM_060481281.1	PF01494.26,PF04820.21,PF04820.21,PF13450.13	Partial	None
gene-EV420DRAFT_1491854	rna-XM_060470719.1	PF07690.22	Partial	None
gene-EV420DRAFT_1491860	rna-XM_060470720.1	PF07690.22,PF07690.22	Partial	None
gene-EV420DRAFT_1491894	rna-XM_060470721.1		None	None
gene-EV420DRAFT_1633453	rna-XM_060476185.1	PF00067.28	Partial	None
gene-EV420DRAFT_1658099	rna-XM_060478875.1		None	None
gene-EV420DRAFT_1491989	rna-XM_060470722.1		None	None
gene-EV420DRAFT_1472324	rna-XM_060469043.1		None	None
gene-EV420DRAFT_1472325	rna-XM_060469044.1		None	None
gene-EV420DRAFT_1492002	rna-XM_060470723.1	PF01734.28	Partial	None
gene-EV420DRAFT_1615847	rna-XM_060475075.1	PF01384.26	Partial	None
gene-EV420DRAFT_1492008	rna-XM_060470724.1		None	None
gene-EV420DRAFT_1492015	rna-XM_060470725.1	PF00076.29,PF14304.12,PF14327.12	Complete	None
gene-EV420DRAFT_1492019	rna-XM_060470726.1	PF00069.32,PF00400.39,PF00400.39,PF22956.3	Complete	None
gene-EV420DRAFT_1492024	rna-XM_060470727.1		None	None
gene-EV420DRAFT_1492028	rna-XM_060470728.1	PF00649.24	Partial	None
gene-EV420DRAFT_1633465	rna-XM_060476186.1	PF00155.28	Partial	None
gene-EV420DRAFT_1633466	rna-XM_060476187.1	PF07034.18,PF18137.8	Complete	None
gene-EV420DRAFT_1296896	rna-XM_060468343.1	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF21128.6	Complete	None
gene-EV420DRAFT_1257915	rna-XM_060466862.1	PF20153.5	Partial	None
gene-EV420DRAFT_1258247	rna-XM_060466878.1	PF09949.16	Partial	None
gene-EV420DRAFT_4170	rna-XM_060482031.1	PF00291.32	Partial	None
gene-EV420DRAFT_1492068	rna-XM_060470730.1		None	None
gene-EV420DRAFT_1492091	rna-XM_060470731.1		None	None
gene-EV420DRAFT_4424	rna-XM_060482143.1		None	None
gene-EV420DRAFT_1472340	rna-XM_060469045.1		None	None
gene-EV420DRAFT_4500	rna-XM_060482177.1		None	None
gene-EV420DRAFT_1658184	rna-XM_060478876.1		None	None
gene-EV420DRAFT_1633476	rna-XM_060476188.1		None	None
gene-EV420DRAFT_4937	rna-XM_060482364.1	PF18953.8	Partial	None
gene-EV420DRAFT_4860	rna-XM_060482344.1	PF13813.12	Complete	None
gene-EV420DRAFT_1257359	rna-XM_060466826.1	PF13813.12	Complete	None
gene-EV420DRAFT_4844	rna-XM_060482338.1		None	None
gene-EV420DRAFT_1472346	rna-XM_060469046.1		None	None
gene-EV420DRAFT_4960	rna-XM_060482369.1		None	None
gene-EV420DRAFT_t35	gene-EV420DRAFT_t35		None	None
gene-EV420DRAFT_1258355	rna-XM_060466886.1	PF01596.24,PF13578.13	Partial	None
gene-EV420DRAFT_4987	rna-XM_060482387.1	PF01135.26,PF01596.24,PF08241.19,PF13578.13,PF13649.13,PF13847.13	Partial	None
gene-EV420DRAFT_1492199	rna-XM_060470732.1		None	None
gene-EV420DRAFT_5662	rna-XM_060482610.1	PF00734.24,PF25485.2	Partial	None
gene-EV420DRAFT_5915	rna-XM_060482723.1	PF01522.27	Partial	None
gene-EV420DRAFT_1258313	rna-XM_060466881.1	PF01522.27	Partial	None
gene-EV420DRAFT_1492232	rna-XM_060470733.1	PF02133.22	Partial	None
gene-EV420DRAFT_5956	rna-XM_060482743.1		None	None
gene-EV420DRAFT_1492263	rna-XM_060470734.1	PF04082.24	Partial	None
gene-EV420DRAFT_t1	gene-EV420DRAFT_t1		None	None
gene-EV420DRAFT_1492269	rna-XM_060470735.1	PF00069.32,PF07714.24	Partial	None
gene-EV420DRAFT_6289	rna-XM_060482846.1		None	None
gene-EV420DRAFT_6288	rna-XM_060482845.1	PF00270.36,PF00271.38,PF04851.22,PF13959.12	Complete	None
gene-EV420DRAFT_1492276	rna-XM_060470736.1	PF02487.24	Partial	None
gene-EV420DRAFT_1492278	rna-XM_060470737.1	PF04082.24	Partial	None
gene-EV420DRAFT_6586	rna-XM_060482957.1	PF03134.25	Partial	None
gene-EV420DRAFT_1492285	rna-XM_060470738.1		None	None
gene-EV420DRAFT_1633496	rna-XM_060476189.1	PF12752.13	Partial	None
gene-EV420DRAFT_1322514	rna-XM_060468717.1	PF10373.16,PF10374.16	Partial	None
gene-EV420DRAFT_1615866	rna-XM_060475076.1	PF00753.34	Partial	None
gene-EV420DRAFT_1633499	rna-XM_060476190.1		None	None
gene-EV420DRAFT_1492310	rna-XM_060470739.1		None	None
gene-EV420DRAFT_1472364	rna-XM_060469047.1		None	None
gene-EV420DRAFT_1633502	rna-XM_060476191.1		None	None
gene-EV420DRAFT_6939	rna-XM_060483121.1	PF00176.30,PF00271.38,PF04851.22	Complete	None
gene-EV420DRAFT_1492337	rna-XM_060470740.1	PF01412.24	Partial	None
gene-EV420DRAFT_1492339	rna-XM_060470741.1	PF17733.8,PF25871.1	Complete	None
gene-EV420DRAFT_1741881	rna-XM_060480036.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-EV420DRAFT_1256636	rna-XM_060466780.1	PF03937.22	Partial	None
gene-EV420DRAFT_7049	rna-XM_060483165.1		None	None
gene-EV420DRAFT_1658266	rna-XM_060478877.1	PF00501.35,PF01370.28,PF07993.19,PF23562.3	Complete	None
gene-EV420DRAFT_1257026	rna-XM_060466804.1	PF00410.25	Partial	None
gene-EV420DRAFT_1633511	rna-XM_060476192.1		None	None
gene-EV420DRAFT_7534	rna-XM_060483350.1	PF01425.27	Partial	None
gene-EV420DRAFT_1615874	rna-XM_060475077.1	PF01507.26	Partial	None
gene-EV420DRAFT_1492393	rna-XM_060470742.1	PF01370.28,PF02719.22,PF16363.12	Partial	None
gene-EV420DRAFT_1492396	rna-XM_060470743.1	PF01370.28,PF16363.12	Partial	None
gene-EV420DRAFT_7515	rna-XM_060483339.1	PF01121.27	Partial	None
gene-EV420DRAFT_t2	gene-EV420DRAFT_t2		None	None
gene-EV420DRAFT_1253164	rna-XM_060466750.1		None	None
gene-EV420DRAFT_1256537	rna-XM_060466779.1		None	None
gene-EV420DRAFT_7992	rna-XM_060483496.1	PF00069.32,PF07714.24	Partial	None
gene-EV420DRAFT_7766	rna-XM_060483423.1		None	None
gene-EV420DRAFT_1658325	rna-XM_060478878.1	PF05971.19	Partial	None
gene-EV420DRAFT_8026	rna-XM_060483513.1		None	None
gene-EV420DRAFT_8086	rna-XM_060483545.1	PF07690.22	Partial	None
gene-EV420DRAFT_8071	rna-XM_060483541.1		None	None
gene-EV420DRAFT_8194	rna-XM_060483595.1	PF00149.34,PF04152.20	Partial	None
gene-EV420DRAFT_1492458	rna-XM_060470744.1	PF03151.23	Partial	None
gene-EV420DRAFT_8098	rna-XM_060483550.1	PF01960.24	Partial	None
gene-EV420DRAFT_1255054	rna-XM_060466759.1		None	None
gene-EV420DRAFT_1633528	rna-XM_060476193.1	PF00545.26	Partial	None
gene-EV420DRAFT_1248757	rna-XM_060466709.1	PF00545.26	Partial	None
gene-EV420DRAFT_1633530	rna-XM_060476194.1	PF12311.14	Partial	None
gene-EV420DRAFT_1615884	rna-XM_060475078.1	PF09138.18	Partial	None
gene-EV420DRAFT_1258334	rna-XM_060466883.1	PF01185.24	Partial	None
gene-EV420DRAFT_8559	rna-XM_060483739.1		None	None
gene-EV420DRAFT_8609	rna-XM_060483758.1	PF12937.13	Complete	None
gene-EV420DRAFT_1258609	rna-XM_060466902.1	PF30661.1	Partial	None
gene-EV420DRAFT_8520	rna-XM_060483713.1	PF13391.13	Complete	None
gene-EV420DRAFT_8623	rna-XM_060483777.1	PF00230.26	Partial	None
gene-EV420DRAFT_1492511	rna-XM_060470745.1	PF00025.28,PF00503.27	Complete	None
gene-EV420DRAFT_1247483	rna-XM_060466701.1		None	None
gene-EV420DRAFT_8760	rna-XM_060483836.1		None	None
gene-EV420DRAFT_1633539	rna-XM_060476195.1	PF00026.29	Partial	None
gene-EV420DRAFT_1492550	rna-XM_060470746.1	PF00620.33	Partial	None
gene-EV420DRAFT_1472400	rna-XM_060469048.1		None	None
gene-EV420DRAFT_1257741	rna-XM_060466855.1	PF01546.34,PF07687.20	Complete	None
gene-EV420DRAFT_9041	rna-XM_060483939.1	PF12937.13	Partial	None
gene-EV420DRAFT_9039	rna-XM_060483937.1		None	None
gene-EV420DRAFT_9143	rna-XM_060483968.1	PF03099.25,PF09825.16	Complete	None
gene-EV420DRAFT_1633546	rna-XM_060476196.1		None	None
gene-EV420DRAFT_1492625	rna-XM_060470747.1		None	None
gene-EV420DRAFT_1256780	rna-XM_060466789.1	PF05347.22,PF23511.2	Partial	None
gene-EV420DRAFT_1472407	rna-XM_060469049.1	PF04588.19	Partial	None
gene-EV420DRAFT_9244	rna-XM_060484003.1	PF11790.15	Partial	None
gene-EV420DRAFT_1615894	rna-XM_060475079.1	PF01370.28,PF16363.12	Partial	None
gene-EV420DRAFT_1472409	rna-XM_060469050.1		None	None
gene-EV420DRAFT_9410	rna-XM_060484076.1		None	None
gene-EV420DRAFT_9479	rna-XM_060484097.1		None	None
gene-EV420DRAFT_1633556	rna-XM_060476197.1		None	None
gene-EV420DRAFT_1756948	rna-XM_060480501.1	PF08514.18,PF21581.4,PF24571.3	Complete	None
