protein_id	length
rna-gnl|WGS:QPKH|K435DRAFT_mRNA847002	156
rna-gnl|WGS:QPKH|K435DRAFT_mRNA707807	1219
rna-gnl|WGS:QPKH|K435DRAFT_mRNA6309	404
rna-gnl|WGS:QPKH|K435DRAFT_mRNA9742	571
rna-gnl|WGS:QPKH|K435DRAFT_mRNA740621	374
rna-gnl|WGS:QPKH|K435DRAFT_mRNA772057	538
rna-gnl|WGS:QPKH|K435DRAFT_mRNA772120	457
rna-gnl|WGS:QPKH|K435DRAFT_mRNA847633	649
rna-gnl|WGS:QPKH|K435DRAFT_mRNA833229	349
rna-gnl|WGS:QPKH|K435DRAFT_mRNA772340	378
rna-gnl|WGS:QPKH|K435DRAFT_mRNA258822	419
rna-gnl|WGS:QPKH|K435DRAFT_mRNA825425	276
rna-gnl|WGS:QPKH|K435DRAFT_mRNA833524	183
rna-gnl|WGS:QPKH|K435DRAFT_mRNA772595	290
rna-gnl|WGS:QPKH|K435DRAFT_mRNA742387	163
rna-gnl|WGS:QPKH|K435DRAFT_mRNA333548	572
rna-gnl|WGS:QPKH|K435DRAFT_mRNA788884	384
rna-gnl|WGS:QPKH|K435DRAFT_mRNA644370	120
rna-gnl|WGS:QPKH|K435DRAFT_mRNA789047	428
rna-gnl|WGS:QPKH|K435DRAFT_mRNA743062	1059
rna-gnl|WGS:QPKH|K435DRAFT_mRNA960334	626
rna-gnl|WGS:QPKH|K435DRAFT_mRNA848902	161
rna-gnl|WGS:QPKH|K435DRAFT_mRNA825920	353
rna-gnl|WGS:QPKH|K435DRAFT_mRNA773272	78
rna-gnl|WGS:QPKH|K435DRAFT_mRNA849178	261
rna-gnl|WGS:QPKH|K435DRAFT_mRNA773381	568
rna-gnl|WGS:QPKH|K435DRAFT_mRNA645625	64
rna-gnl|WGS:QPKH|K435DRAFT_mRNA744240	1759
rna-gnl|WGS:QPKH|K435DRAFT_mRNA627791	157
rna-gnl|WGS:QPKH|K435DRAFT_mRNA597920	504
rna-gnl|WGS:QPKH|K435DRAFT_mRNA76608	127
rna-gnl|WGS:QPKH|K435DRAFT_mRNA646911	554
rna-gnl|WGS:QPKH|K435DRAFT_mRNA646906	426
rna-gnl|WGS:QPKH|K435DRAFT_mRNA745156	232
rna-gnl|WGS:QPKH|K435DRAFT_mRNA647616	346
rna-gnl|WGS:QPKH|K435DRAFT_mRNA773983	631
rna-gnl|WGS:QPKH|K435DRAFT_mRNA961442	472
rna-gnl|WGS:QPKH|K435DRAFT_mRNA816696	470
rna-gnl|WGS:QPKH|K435DRAFT_mRNA774178	72
rna-gnl|WGS:QPKH|K435DRAFT_mRNA632671	197
rna-gnl|WGS:QPKH|K435DRAFT_mRNA648719	243
rna-gnl|WGS:QPKH|K435DRAFT_mRNA961820	1076
rna-gnl|WGS:QPKH|K435DRAFT_mRNA790913	183
rna-gnl|WGS:QPKH|K435DRAFT_mRNA816968	487
rna-gnl|WGS:QPKH|K435DRAFT_mRNA961959	601
rna-gnl|WGS:QPKH|K435DRAFT_mRNA607401	134
rna-gnl|WGS:QPKH|K435DRAFT_mRNA851209	303
rna-gnl|WGS:QPKH|K435DRAFT_mRNA650145	237
rna-gnl|WGS:QPKH|K435DRAFT_mRNA791373	233
rna-gnl|WGS:QPKH|K435DRAFT_mRNA650414	668
rna-gnl|WGS:QPKH|K435DRAFT_mRNA851580	498
rna-gnl|WGS:QPKH|K435DRAFT_mRNA851689	183
rna-gnl|WGS:QPKH|K435DRAFT_mRNA747720	456
rna-gnl|WGS:QPKH|K435DRAFT_mRNA817262	273
rna-gnl|WGS:QPKH|K435DRAFT_mRNA827154	342
rna-gnl|WGS:QPKH|K435DRAFT_mRNA748192	544
rna-gnl|WGS:QPKH|K435DRAFT_mRNA792002	159
rna-gnl|WGS:QPKH|K435DRAFT_mRNA309553	107
rna-gnl|WGS:QPKH|K435DRAFT_mRNA852366	233
rna-gnl|WGS:QPKH|K435DRAFT_mRNA748678	269
rna-gnl|WGS:QPKH|K435DRAFT_mRNA748850	852
rna-gnl|WGS:QPKH|K435DRAFT_mRNA652988	434
rna-gnl|WGS:QPKH|K435DRAFT_mRNA963011	341
rna-gnl|WGS:QPKH|K435DRAFT_mRNA775568	348
rna-gnl|WGS:QPKH|K435DRAFT_mRNA354718	288
rna-gnl|WGS:QPKH|K435DRAFT_mRNA963232	236
rna-gnl|WGS:QPKH|K435DRAFT_mRNA792791	799
rna-gnl|WGS:QPKH|K435DRAFT_mRNA963329	98
rna-gnl|WGS:QPKH|K435DRAFT_mRNA375595	73
rna-gnl|WGS:QPKH|K435DRAFT_mRNA595095	109
rna-gnl|WGS:QPKH|K435DRAFT_mRNA793101	294
rna-gnl|WGS:QPKH|K435DRAFT_mRNA608345	81
rna-gnl|WGS:QPKH|K435DRAFT_mRNA396484	133
rna-gnl|WGS:QPKH|K435DRAFT_mRNA655388	255
rna-gnl|WGS:QPKH|K435DRAFT_mRNA570039	226
rna-gnl|WGS:QPKH|K435DRAFT_mRNA853996	88
rna-gnl|WGS:QPKH|K435DRAFT_mRNA793580	707
rna-gnl|WGS:QPKH|K435DRAFT_mRNA422468	140
rna-gnl|WGS:QPKH|K435DRAFT_mRNA793742	148
rna-gnl|WGS:QPKH|K435DRAFT_mRNA793824	587
rna-gnl|WGS:QPKH|K435DRAFT_mRNA854479	763
rna-gnl|WGS:QPKH|K435DRAFT_mRNA793988	417
rna-gnl|WGS:QPKH|K435DRAFT_mRNA657011	376
rna-gnl|WGS:QPKH|K435DRAFT_mRNA818328	491
rna-gnl|WGS:QPKH|K435DRAFT_mRNA854854	196
rna-gnl|WGS:QPKH|K435DRAFT_mRNA794327	154
rna-gnl|WGS:QPKH|K435DRAFT_mRNA964186	438
rna-gnl|WGS:QPKH|K435DRAFT_mRNA776771	54
rna-gnl|WGS:QPKH|K435DRAFT_mRNA751561	312
rna-gnl|WGS:QPKH|K435DRAFT_mRNA936878	617
rna-gnl|WGS:QPKH|K435DRAFT_mRNA776883	358
rna-gnl|WGS:QPKH|K435DRAFT_mRNA562679	96
rna-gnl|WGS:QPKH|K435DRAFT_mRNA855604	136
rna-gnl|WGS:QPKH|K435DRAFT_mRNA828139	404
rna-gnl|WGS:QPKH|K435DRAFT_mRNA855788	134
rna-gnl|WGS:QPKH|K435DRAFT_mRNA777078	215
rna-gnl|WGS:QPKH|K435DRAFT_mRNA777124	590
rna-gnl|WGS:QPKH|K435DRAFT_mRNA659766	205
rna-gnl|WGS:QPKH|K435DRAFT_mRNA517581	301
