gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00078.33,PF00078.33	NA	1
GML000002	PF00171.28	GO:0016491	8
GML000003	PF00173.34,PF01070.25,PF01645.24	GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
GML000004	PF20238.5	NA	100
GML000005		NA	100
GML000006	PF27239.2	NA	100
GML000007	PF07281.18	NA	100
GML000008		NA	100
GML000009	PF00743.26,PF00743.26,PF07992.21,PF07992.21,PF13434.13,PF13434.13,PF13450.13,PF13450.13,PF13738.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
GML000010	PF11790.15	NA	100
GML000011	PF00018.35,PF00097.32,PF13445.13,PF13923.13	GO:0005515,GO:0046872	100
GML000012		NA	100
GML000013	PF03834.22	NA	100
GML000014		NA	100
GML000015		NA	100
GML000016	PF00078.33,PF17919.8,PF30863.1,PF30901.1	NA	1
GML000017	PF00046.36	GO:0003677	4
GML000018		NA	100
GML000019	PF00150.25,PF02836.24,PF26410.1	GO:0000272,GO:0004553,GO:0005975	8
GML000020	PF03663.21	NA	100
GML000021	PF00487.31	GO:0006629	8
GML000022	PF00085.27,PF24541.2	NA	100
GML000023	PF01138.28	NA	100
GML000024		NA	100
GML000025		NA	100
GML000026	PF00106.32,PF13561.13	NA	100
GML000027		NA	100
GML000028	PF09286.17,PF09286.17	GO:0008236	8
GML000029	PF01118.31,PF01118.31,PF02774.24,PF02774.24	GO:0008652,GO:0016620,GO:0046983,GO:0051287	8
GML000030	PF02811.27	GO:0003824	8
GML000031		NA	100
GML000032	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000033	PF14378.13,PF14378.13	NA	100
GML000034	PF03659.22	GO:0051118	8
GML000035		NA	100
GML000036		NA	100
GML000037	PF00106.32,PF13561.13,PF13561.13	NA	100
GML000038		NA	100
GML000039		NA	100
GML000040		NA	100
GML000041	PF00390.25,PF00390.25,PF03949.22,PF03949.22	GO:0004470,GO:0016616,GO:0051287	8
GML000042		NA	100
GML000043	PF15979.12,PF17829.8	NA	100
GML000044	PF00544.26	NA	100
GML000045		NA	100
GML000046		NA	100
GML000047		NA	100
GML000048	PF20150.5	NA	100
GML000049		NA	100
GML000050	PF08101.17	NA	100
GML000051	PF01266.31	NA	100
GML000052		NA	100
GML000053	PF12937.13,PF19270.5	GO:0005515	100
GML000054	PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33,PF00153.33	NA	100
GML000055	PF03167.26	NA	100
GML000056	PF07173.18	NA	100
GML000057		NA	100
GML000058	PF13396.12	NA	100
GML000059		NA	100
GML000060		NA	100
GML000061	PF07690.22	GO:0022857,GO:0055085	6
GML000062	PF17784.8,PF17784.8	NA	100
GML000063		NA	100
GML000064	PF12770.13	NA	100
GML000065		NA	100
GML000066		NA	100
GML000067	PF01636.30	NA	100
GML000068		NA	100
GML000069		NA	100
GML000070	PF00271.38	NA	100
GML000071	PF00176.30,PF00270.36,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000072	PF24809.2,PF24809.2,PF24809.2,PF24883.3,PF24883.3,PF24883.3	NA	100
GML000073		NA	100
GML000074		NA	100
GML000075	PF00083.31,PF00083.31,PF00083.31,PF07690.22,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000076	PF02668.23	GO:0016491	8
GML000077		NA	100
GML000078		NA	100
GML000079	PF28351.1	NA	100
GML000080	PF00172.24,PF00172.24,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000081	PF00501.35,PF13193.13	NA	100
GML000082		NA	100
GML000083	PF29556.1,PF29556.1	NA	100
GML000084	PF00561.27,PF12146.16,PF12697.14	NA	100
GML000085	PF10282.16,PF10282.16	NA	100
GML000086	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000087	PF00069.32,PF00560.40,PF06293.21,PF07714.24	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000088	PF13374.13,PF13424.13,PF17111.12	NA	100
GML000089	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000090		NA	100
GML000091	PF03171.27,PF14226.13	NA	100
GML000092	PF00251.27,PF00251.27,PF04041.20,PF04041.20	NA	100
GML000093	PF13813.12	NA	100
GML000094	PF00022.27	NA	100
GML000095	PF01168.27,PF01168.27,PF14031.14,PF14031.14,PF14031.14	NA	100
GML000096	PF12157.14	NA	100
GML000097	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000098		NA	100
GML000099	PF02535.29	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
GML000100	PF13933.13	NA	100
GML000101	PF00043.31,PF00043.31,PF02798.27,PF02798.27,PF13409.13,PF13409.13,PF13410.12,PF13410.12,PF13417.13,PF13417.13	NA	100
GML000102	PF03062.25,PF03062.25	NA	100
GML000103		NA	100
GML000104		NA	100
GML000105	PF01432.27,PF01432.27	GO:0004222,GO:0006508	5
GML000106		NA	100
GML000107		NA	100
GML000108	PF00319.24	GO:0003677,GO:0046983	4
GML000109		NA	100
GML000110		NA	100
GML000111	PF03031.25	NA	100
GML000112		NA	100
GML000113		NA	100
GML000114		NA	100
GML000115	PF01398.27,PF14464.12,PF23594.2	GO:0005515,GO:0008233,GO:0008237	8
GML000116	PF00850.25	NA	100
GML000117	PF00238.25	GO:0003735,GO:0005840,GO:0006412	4
GML000118	PF00206.26,PF10397.15	NA	100
GML000119	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000120	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000121	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000122	PF04991.21	NA	100
GML000123	PF28751.1	NA	100
GML000124		NA	100
GML000125	PF10310.16	NA	100
GML000126	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000127	PF01636.30	NA	100
GML000128	PF00194.27,PF00194.27,PF00194.27	NA	100
GML000129		NA	100
GML000130	PF00875.25,PF00875.25,PF03441.20,PF03441.20	NA	100
GML000131		NA	100
