protein_id	length
GML000001_mRNA1	446
GML000101_mRNA1	400
GML000201_mRNA1	90
GML000301_mRNA1	141
GML000401_mRNA1	105
GML000501_mRNA1	296
GML000601_mRNA1	544
GML000701_mRNA1	220
GML000801_mRNA1	539
GML000901_mRNA1	1014
GML001001_mRNA1	760
GML001101_mRNA1	584
GML001201_mRNA1	600
GML001301_mRNA1	857
GML001401_mRNA1	784
GML001501_mRNA1	121
GML001601_mRNA1	407
GML001701_mRNA1	147
GML001801_mRNA1	243
GML001901_mRNA1	215
GML002001_mRNA1	282
GML002101_mRNA1	424
GML002201_mRNA1	189
GML002301_mRNA1	419
GML002401_mRNA1	457
GML002501_mRNA1	1103
GML002601_mRNA1	682
GML002701_mRNA1	287
GML002801_mRNA1	213
GML002901_mRNA1	722
GML003001_mRNA1	483
GML003101_mRNA1	1019
GML003201_mRNA1	531
GML003301_mRNA1	497
GML003401_mRNA1	497
GML003501_mRNA1	514
GML003601_mRNA1	278
GML003701_mRNA1	1303
GML003801_mRNA1	444
GML003901_mRNA1	265
GML004001_mRNA1	184
GML004101_mRNA1	1803
GML004201_mRNA1	884
GML004301_mRNA1	1168
GML004401_mRNA1	580
GML004501_mRNA1	963
GML004601_mRNA1	560
GML004701_mRNA1	797
GML004801_mRNA1	525
GML004901_mRNA1	213
GML005001_mRNA1	655
