protein_id	length
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1165795	280
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA4674	580
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1209542	241
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA11274	422
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1209724	669
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1069802	359
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1166194	425
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA945139	275
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA29042	204
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1166380	645
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1180896	247
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1210390	267
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA43549	721
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA48183	194
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA944227	232
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1049181	126
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1188093	337
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1113573	70
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1113986	875
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA68869	550
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA72228	807
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA74304	223
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1236687	324
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA82328	198
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA86963	222
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA92365	364
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1117435	539
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA100389	873
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA103610	408
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1118676	989
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA112044	1192
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA115648	596
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1221699	303
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA122894	1092
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA125180	412
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA129779	1046
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA132925	114
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1058973	356
rna-gnl|WGS:VSMA|GE09DRAFT_mRNA1122344	389
