protein_id	length
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA560749	328
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508208	1196
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA437539	356
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA440157	352
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA438606	410
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA534270	718
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA508983	480
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA553037	1228
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA509234	571
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA509378	613
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA509520	82
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA562691	1262
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA553415	201
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA510041	293
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA510187	1066
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA510346	421
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA526401	790
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA436789	389
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA563931	96
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA545283	626
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA68878	168
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA511278	303
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA511405	194
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA511532	175
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA122636	402
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA424976	144
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA129357	99
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA440461	93
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA442978	370
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA512444	164
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA512616	770
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA512754	329
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA512900	404
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA554971	1655
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA513191	159
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA513323	232
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA586059	143
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA513626	645
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA586210	439
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA513940	447
rna-gnl|WGS:VOSX|BDU57DRAFT_mRNA514087	354
