protein_id	length
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA1	432
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA101	1070
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA202	346
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA302	102
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA402	211
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA502	466
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA602	238
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA702	824
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA802	151
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA902	356
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA1002	805
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA1102	146
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA1202	414
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA7823	489
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA7923	228
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8023	528
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8123	248
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8223	72
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8323	1115
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8424	529
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8524	864
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8624	92
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8725	457
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA8825	198
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10323	220
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10423	119
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10523	486
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10623	249
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10723	1225
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10825	106
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA10925	72
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11025	354
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11125	286
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11225	604
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11329	339
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11429	147
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11529	998
rna-gnl|WGS:JAZHXI|VTL71DRAFT_mRNA11629	834
