protein_id	length
rna-XM_007862256.1	705
rna-XM_007862337.1	457
rna-XM_007862417.1	377
rna-XM_007862494.1	404
rna-XM_007862566.1	1120
rna-XM_007861965.1	312
rna-XM_007862709.1	728
rna-XM_007862781.1	529
rna-XM_007862117.1	60
rna-XM_007862072.1	561
rna-XM_007863374.1	272
rna-XM_007863066.1	508
rna-XM_007863139.1	547
rna-XM_007862074.1	423
rna-XM_007861950.1	198
rna-XM_007863361.1	232
rna-XM_007863803.1	850
rna-XM_007863878.1	66
rna-XM_007863948.1	205
rna-XM_007863664.1	452
rna-XM_007863507.1	124
rna-XM_007864170.1	426
rna-XM_007863693.1	1489
rna-XM_007864291.1	173
rna-XM_007864362.1	363
rna-XM_007864436.1	263
rna-XM_007864509.1	1218
rna-XM_007864736.1	867
rna-XM_007865638.1	333
rna-XM_007864742.1	163
rna-XM_007865119.1	620
rna-XM_007865188.1	130
rna-XM_007864747.1	468
rna-XM_007865322.1	247
rna-XM_007864865.1	329
rna-XM_007865448.1	925
rna-XM_007865522.1	98
rna-XM_007865591.1	389
rna-XM_007865862.1	158
rna-XM_007865813.1	575
rna-XM_007866017.1	223
rna-XM_007866543.1	1087
rna-XM_007866181.1	910
rna-XM_007865698.1	521
rna-XM_007866345.1	961
rna-XM_007865730.1	454
rna-XM_007866501.1	243
rna-XM_007866712.1	575
rna-XM_007866803.1	735
rna-XM_007866556.1	82
rna-XM_007866628.1	116
rna-XM_007867041.1	426
rna-XM_007867124.1	455
rna-XM_007867197.1	591
rna-XM_007867408.1	56
rna-XM_007867491.1	215
rna-XM_007867308.1	858
rna-XM_007867645.1	842
rna-XM_007867732.1	271
rna-XM_007867345.1	168
rna-XM_007867891.1	84
rna-XM_007868065.1	152
rna-XM_007868155.1	917
rna-XM_007867894.1	167
rna-XM_007868320.1	253
rna-XM_007868492.1	192
rna-XM_007868601.1	313
rna-XM_007868678.1	403
rna-XM_007868963.1	80
rna-XM_007868832.1	1492
rna-XM_007868910.1	1336
rna-XM_007869098.1	245
rna-XM_007868971.1	272
rna-XM_007869254.1	369
rna-XM_007869050.1	430
rna-XM_007869409.1	312
rna-XM_007869580.1	341
rna-XM_007869525.1	478
rna-XM_007869498.1	118
rna-XM_007869821.1	446
rna-XM_007869551.1	97
rna-XM_007870088.1	206
rna-XM_007870161.1	768
rna-XM_007870245.1	63
rna-XM_007870321.1	263
rna-XM_007870405.1	344
rna-XM_007870585.1	528
rna-XM_007870457.1	77
rna-XM_007870747.1	416
rna-XM_007870823.1	171
rna-XM_007870902.1	132
rna-XM_007871062.1	187
rna-XM_007871147.1	333
rna-XM_007871229.1	108
rna-XM_007871308.1	986
rna-XM_007871452.1	636
rna-XM_007871531.1	559
rna-XM_007871613.1	633
rna-XM_007871702.1	149
rna-XM_007871661.1	106
rna-XM_007871903.1	128
rna-XM_007872049.1	197
rna-XM_007872115.1	491
rna-XM_007872231.1	540
rna-XM_007872316.1	145
rna-XM_007872401.1	589
rna-XM_007872446.1	377
rna-XM_007872608.1	792
rna-XM_007872724.1	235
rna-XM_007872818.1	629
rna-XM_007872904.1	445
rna-XM_007873003.1	546
rna-XM_007873106.1	439
rna-XM_007873203.1	280
rna-XM_007873304.1	645
rna-XM_007873404.1	86
rna-XM_007873504.1	520
rna-XM_007873604.1	126
