gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1	PF00078.33	Partial	None
GML000001	GML000001_mRNA2	PF00078.33	Partial	Unchanged
GML000002	GML000002_mRNA1		None	None
GML000003	GML000003_mRNA1	PF07727.20,PF25597.2	Complete	None
GML000003	GML000003_mRNA2	PF07727.20,PF25597.2	Complete	Unchanged
GML000004	GML000004_mRNA1	PF13976.12,PF14223.15,PF22936.2	Complete	None
GML000004	GML000004_mRNA2	PF14223.15	Partial	Loss
GML000005	GML000005_mRNA1	PF13976.12,PF22936.2	Complete	None
GML000006	GML000006_mRNA1	PF01926.30	Partial	None
GML000007	GML000007_mRNA1		None	None
GML000007	GML000007_mRNA2		None	Unchanged
GML000008	GML000008_mRNA1	PF00083.31,PF00083.31,PF07690.22,PF07690.22	Partial	None
GML000009	GML000009_mRNA1	PF02678.23,PF05726.20	Complete	None
GML000009	GML000009_mRNA2		None	Loss
GML000010	GML000010_mRNA1		None	None
GML000011	GML000011_mRNA1	PF10256.15	Complete	None
GML000012	GML000012_mRNA1	PF24803.2	Partial	None
GML000012	GML000012_mRNA2	PF24803.2	Partial	Unchanged
GML000013	GML000013_mRNA1		None	None
GML000014	GML000014_mRNA1	PF00580.28,PF13361.13	Complete	None
GML000014	GML000014_mRNA2	PF00580.28,PF13361.13	Complete	Unchanged
GML000015	GML000015_mRNA1	PF13409.13,PF13417.13,PF22041.2	Partial	None
GML000016	GML000016_mRNA1	PF00753.34	Partial	None
GML000017	GML000017_mRNA1	PF00753.34	Partial	None
GML000018	GML000018_mRNA1	PF00753.34	Partial	None
GML000019	GML000019_mRNA1	PF00753.34	Partial	None
GML000020	GML000020_mRNA1	PF00753.34	Partial	None
GML000021	GML000021_mRNA1		None	None
GML000022	GML000022_mRNA1		None	None
GML000023	GML000023_mRNA1		None	None
GML000023	GML000023_mRNA2		None	Unchanged
GML000024	GML000024_mRNA1		None	None
GML000025	GML000025_mRNA1		None	None
GML000026	GML000026_mRNA1	PF04082.24	Partial	None
GML000026	GML000026_mRNA2	PF04082.24	Partial	Unchanged
GML000026	GML000026_mRNA3	PF04082.24	Partial	Unchanged
GML000026	GML000026_mRNA4	PF04082.24	Partial	Unchanged
GML000027	GML000027_mRNA1	PF00580.28	Complete	None
GML000027	GML000027_mRNA2	PF00580.28,PF13361.13	Complete	Gain
GML000028	GML000028_mRNA1		None	None
GML000029	GML000029_mRNA1	PF00652.29	Partial	None
GML000030	GML000030_mRNA1	PF00652.29,PF14200.13	Partial	None
GML000031	GML000031_mRNA1		None	None
GML000032	GML000032_mRNA1	PF00652.29	Partial	None
GML000033	GML000033_mRNA1	PF20236.4	Partial	None
GML000034	GML000034_mRNA1		None	None
GML000034	GML000034_mRNA2		None	Unchanged
GML000034	GML000034_mRNA3		None	Unchanged
GML000035	GML000035_mRNA1	PF06101.17	Partial	None
GML000036	GML000036_mRNA1		None	None
GML000037	GML000037_mRNA1		None	None
GML000038	GML000038_mRNA1		None	None
GML000039	GML000039_mRNA1		None	None
GML000040	GML000040_mRNA1		None	None
GML000041	GML000041_mRNA1		None	None
GML000042	GML000042_mRNA1	PF06101.17	Partial	None
GML000042	GML000042_mRNA2	PF06101.17	Partial	Unchanged
GML000043	GML000043_mRNA1		None	None
GML000043	GML000043_mRNA2		None	Unchanged
GML000044	GML000044_mRNA1		None	None
GML000044	GML000044_mRNA2		None	Unchanged
GML000044	GML000044_mRNA3		None	Unchanged
GML000045	GML000045_mRNA1		None	None
GML000045	GML000045_mRNA2		None	Unchanged
GML000046	GML000046_mRNA1		None	None
GML000047	GML000047_mRNA1		None	None
GML000047	GML000047_mRNA2		None	Unchanged
GML000048	GML000048_mRNA1	PF00650.26,PF03765.22	Partial	None
GML000049	GML000049_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23381.2,PF23381.2,PF24883.3	Complete	None
GML000049	GML000049_mRNA2	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23381.2,PF24883.3	Complete	Unchanged
GML000050	GML000050_mRNA1		None	None
GML000051	GML000051_mRNA1		None	None
GML000052	GML000052_mRNA1		None	None
GML000053	GML000053_mRNA1		None	None
GML000053	GML000053_mRNA2		None	Unchanged
GML000053	GML000053_mRNA3		None	Unchanged
GML000054	GML000054_mRNA1		None	None
GML000055	GML000055_mRNA1	PF12719.14,PF20168.5	Complete	None
GML000055	GML000055_mRNA2	PF12719.14,PF20168.5	Complete	Unchanged
GML000056	GML000056_mRNA1	PF12796.14,PF20153.5	Complete	None
GML000057	GML000057_mRNA1		None	None
GML000058	GML000058_mRNA1	PF02661.24	Partial	None
GML000059	GML000059_mRNA1		None	None
GML000060	GML000060_mRNA1	PF00505.26,PF09011.17	Partial	None
GML000061	GML000061_mRNA1	PF08238.19,PF08238.19,PF08238.19	Complete	None
GML000062	GML000062_mRNA1		None	None
GML000062	GML000062_mRNA2		None	Unchanged
GML000063	GML000063_mRNA1		None	None
GML000063	GML000063_mRNA2		None	Unchanged
GML000064	GML000064_mRNA1	PF00580.28,PF13361.13	Complete	None
GML000064	GML000064_mRNA2	PF00580.28,PF13361.13	Complete	Unchanged
GML000064	GML000064_mRNA3	PF00580.28,PF13361.13	Complete	Unchanged
GML000065	GML000065_mRNA1		None	None
GML000065	GML000065_mRNA2		None	Unchanged
GML000066	GML000066_mRNA1		None	None
GML000066	GML000066_mRNA2		None	Unchanged
GML000067	GML000067_mRNA1		None	None
GML000067	GML000067_mRNA2		None	Unchanged
GML000067	GML000067_mRNA3		None	Unchanged
GML000067	GML000067_mRNA4		None	Unchanged
GML000068	GML000068_mRNA1	PF06101.17	Partial	None
GML000069	GML000069_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000070	GML000070_mRNA1	PF12937.13	Partial	None
GML000071	GML000071_mRNA1		None	None
GML000072	GML000072_mRNA1		None	None
GML000073	GML000073_mRNA1		None	None
GML000073	GML000073_mRNA2		None	Unchanged
GML000074	GML000074_mRNA1	PF01237.24	Partial	None
GML000074	GML000074_mRNA2	PF01237.24	Partial	Unchanged
GML000075	GML000075_mRNA1	PF12719.14	Complete	None
GML000076	GML000076_mRNA1	PF00505.26	Partial	None
GML000077	GML000077_mRNA1	PF00172.24	Partial	None
GML000077	GML000077_mRNA2	PF00172.24	Partial	Unchanged
GML000077	GML000077_mRNA3	PF00172.24	Partial	Unchanged
GML000078	GML000078_mRNA1	PF00326.28,PF07859.20,PF12697.14,PF20434.6	Partial	None
GML000079	GML000079_mRNA1	PF01351.26	Partial	None
GML000079	GML000079_mRNA2	PF01351.26	Partial	Unchanged
GML000080	GML000080_mRNA1	PF00652.29,PF14200.13	Partial	None
GML000081	GML000081_mRNA1	PF30466.1	Partial	None
GML000082	GML000082_mRNA1		None	None
GML000083	GML000083_mRNA1	PF00069.32,PF03109.23,PF07714.24	Partial	None
GML000083	GML000083_mRNA2	PF00069.32,PF03109.23,PF07714.24	Partial	Unchanged
GML000084	GML000084_mRNA1		None	None
GML000084	GML000084_mRNA2		None	Unchanged
GML000085	GML000085_mRNA1	PF04003.18	Complete	None
GML000086	GML000086_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000086	GML000086_mRNA2	PF00069.32,PF07714.24	Partial	Unchanged
GML000086	GML000086_mRNA3	PF00069.32,PF07714.24	Partial	Unchanged
GML000086	GML000086_mRNA4	PF00069.32,PF07714.24	Partial	Unchanged
GML000087	GML000087_mRNA1	PF01965.31	Partial	None
GML000088	GML000088_mRNA1	PF03028.22,PF07728.21,PF08393.19,PF12774.14,PF12775.14,PF12777.12,PF12780.14,PF12781.14,PF17852.7,PF18198.8,PF18199.7,PF22597.3	Complete	None
GML000088	GML000088_mRNA2	PF03028.22,PF07728.21,PF08393.19,PF12774.14,PF12775.14,PF12777.12,PF12780.14,PF12781.14,PF17852.7,PF18198.8,PF18199.7,PF22597.3	Complete	Unchanged
