protein_id	length
rna-gnl|WGS:JADGIZ|HK105_200001-T1_mrna	96
rna-gnl|WGS:JADGIZ|HK105_200101-T1_mrna	106
rna-gnl|WGS:JADGIZ|HK105_200201-T1_mrna	788
rna-gnl|WGS:JADGIZ|HK105_200303-T1_mrna	400
rna-gnl|WGS:JADGIZ|HK105_200408-T1_mrna	734
rna-gnl|WGS:JADGIZ|HK105_202798-T1_mrna	201
rna-gnl|WGS:JADGIZ|HK105_202903-T1_mrna	508
rna-gnl|WGS:JADGIZ|HK105_209008-T1_mrna	194
rna-gnl|WGS:JADGIZ|HK105_202960-T1_mrna	259
rna-gnl|WGS:JADGIZ|HK105_203060-T1_mrna	1506
rna-gnl|WGS:JADGIZ|HK105_209115-T1_mrna	470
rna-gnl|WGS:JADGIZ|HK105_203171-T1_mrna	202
rna-gnl|WGS:JADGIZ|HK105_203272-T1_mrna	263
rna-gnl|WGS:JADGIZ|HK105_209216-T1_mrna	160
rna-gnl|WGS:JADGIZ|HK105_203387-T1_mrna	62
rna-gnl|WGS:JADGIZ|HK105_203487-T1_mrna	171
rna-gnl|WGS:JADGIZ|HK105_203532-T1_mrna	396
rna-gnl|WGS:JADGIZ|HK105_203632-T1_mrna	267
rna-gnl|WGS:JADGIZ|HK105_209372-T1_mrna	267
rna-gnl|WGS:JADGIZ|HK105_203773-T1_mrna	695
rna-gnl|WGS:JADGIZ|HK105_203866-T1_mrna	417
rna-gnl|WGS:JADGIZ|HK105_203969-T1_mrna	975
rna-gnl|WGS:JADGIZ|HK105_204048-T1_mrna	318
rna-gnl|WGS:JADGIZ|HK105_204148-T1_mrna	1511
rna-gnl|WGS:JADGIZ|HK105_204235-T1_mrna	58
rna-gnl|WGS:JADGIZ|HK105_204335-T1_mrna	455
rna-gnl|WGS:JADGIZ|HK105_204427-T1_mrna	377
rna-gnl|WGS:JADGIZ|HK105_200477-T1_mrna	229
rna-gnl|WGS:JADGIZ|HK105_200579-T1_mrna	4603
rna-gnl|WGS:JADGIZ|HK105_200682-T1_mrna	480
rna-gnl|WGS:JADGIZ|HK105_200782-T1_mrna	104
rna-gnl|WGS:JADGIZ|HK105_204543-T1_mrna	155
rna-gnl|WGS:JADGIZ|HK105_204637-T1_mrna	53
rna-gnl|WGS:JADGIZ|HK105_204740-T1_mrna	411
rna-gnl|WGS:JADGIZ|HK105_204832-T1_mrna	171
rna-gnl|WGS:JADGIZ|HK105_204920-T1_mrna	149
rna-gnl|WGS:JADGIZ|HK105_205014-T1_mrna	632
rna-gnl|WGS:JADGIZ|HK105_205111-T1_mrna	2248
rna-gnl|WGS:JADGIZ|HK105_205211-T1_mrna	332
rna-gnl|WGS:JADGIZ|HK105_205309-T1_mrna	783
rna-gnl|WGS:JADGIZ|HK105_205408-T1_mrna	261
rna-gnl|WGS:JADGIZ|HK105_205507-T1_mrna	457
rna-gnl|WGS:JADGIZ|HK105_205608-T1_mrna	771
rna-gnl|WGS:JADGIZ|HK105_200912-T1_mrna	108
rna-gnl|WGS:JADGIZ|HK105_201012-T1_mrna	335
rna-gnl|WGS:JADGIZ|HK105_201115-T1_mrna	1389
rna-gnl|WGS:JADGIZ|HK105_205658-T1_mrna	272
rna-gnl|WGS:JADGIZ|HK105_205760-T1_mrna	594
rna-gnl|WGS:JADGIZ|HK105_205862-T1_mrna	505
rna-gnl|WGS:JADGIZ|HK105_205965-T1_mrna	224
rna-gnl|WGS:JADGIZ|HK105_206065-T1_mrna	209
rna-gnl|WGS:JADGIZ|HK105_206165-T1_mrna	717
rna-gnl|WGS:JADGIZ|HK105_206270-T1_mrna	138
rna-gnl|WGS:JADGIZ|HK105_206376-T1_mrna	590
rna-gnl|WGS:JADGIZ|HK105_206483-T1_mrna	421
rna-gnl|WGS:JADGIZ|HK105_201218-T1_mrna	1992
rna-gnl|WGS:JADGIZ|HK105_201320-T1_mrna	268
rna-gnl|WGS:JADGIZ|HK105_201423-T1_mrna	718
rna-gnl|WGS:JADGIZ|HK105_206614-T1_mrna	106
rna-gnl|WGS:JADGIZ|HK105_206714-T1_mrna	412
rna-gnl|WGS:JADGIZ|HK105_206814-T1_mrna	585
rna-gnl|WGS:JADGIZ|HK105_206914-T1_mrna	154
rna-gnl|WGS:JADGIZ|HK105_207015-T1_mrna	315
rna-gnl|WGS:JADGIZ|HK105_207116-T1_mrna	1111
rna-gnl|WGS:JADGIZ|HK105_207216-T1_mrna	102
rna-gnl|WGS:JADGIZ|HK105_201525-T1_mrna	687
rna-gnl|WGS:JADGIZ|HK105_201625-T1_mrna	1133
rna-gnl|WGS:JADGIZ|HK105_201725-T1_mrna	630
rna-gnl|WGS:JADGIZ|HK105_207328-T1_mrna	463
rna-gnl|WGS:JADGIZ|HK105_207435-T1_mrna	644
rna-gnl|WGS:JADGIZ|HK105_207535-T1_mrna	354
rna-gnl|WGS:JADGIZ|HK105_207637-T1_mrna	109
rna-gnl|WGS:JADGIZ|HK105_207737-T1_mrna	841
rna-gnl|WGS:JADGIZ|HK105_201776-T1_mrna	1194
rna-gnl|WGS:JADGIZ|HK105_201877-T1_mrna	702
rna-gnl|WGS:JADGIZ|HK105_201977-T1_mrna	362
rna-gnl|WGS:JADGIZ|HK105_207863-T1_mrna	336
rna-gnl|WGS:JADGIZ|HK105_207966-T1_mrna	320
rna-gnl|WGS:JADGIZ|HK105_208067-T1_mrna	305
rna-gnl|WGS:JADGIZ|HK105_202056-T1_mrna	439
rna-gnl|WGS:JADGIZ|HK105_202156-T1_mrna	214
rna-gnl|WGS:JADGIZ|HK105_202256-T1_mrna	333
rna-gnl|WGS:JADGIZ|HK105_208219-T1_mrna	149
rna-gnl|WGS:JADGIZ|HK105_208319-T1_mrna	779
rna-gnl|WGS:JADGIZ|HK105_208424-T1_mrna	349
rna-gnl|WGS:JADGIZ|HK105_202309-T1_mrna	310
rna-gnl|WGS:JADGIZ|HK105_202410-T1_mrna	427
rna-gnl|WGS:JADGIZ|HK105_202510-T1_mrna	351
rna-gnl|WGS:JADGIZ|HK105_208591-T1_mrna	177
rna-gnl|WGS:JADGIZ|HK105_208694-T1_mrna	385
rna-gnl|WGS:JADGIZ|HK105_208795-T1_mrna	425
rna-gnl|WGS:JADGIZ|HK105_202629-T1_mrna	147
rna-gnl|WGS:JADGIZ|HK105_202729-T1_mrna	230
rna-gnl|WGS:JADGIZ|HK105_208876-T1_mrna	364
