gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BD770DRAFT_44	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA44	PF09340.16	Partial	None
gene-BD770DRAFT_375605	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375605	PF03061.29	Partial	None
gene-BD770DRAFT_468024	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA468024		None	None
gene-BD770DRAFT_311603	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311603	PF01602.27,PF02883.27,PF12717.14	Complete	None
gene-BD770DRAFT_t3	gene-BD770DRAFT_t3		None	None
gene-BD770DRAFT_335130	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA335130		None	None
gene-BD770DRAFT_136	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA136	PF07034.18,PF18137.8,PF19675.5	Complete	None
gene-BD770DRAFT_311871	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311871	PF10343.15	Partial	None
gene-BD770DRAFT_375615	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375615		None	None
gene-BD770DRAFT_375617	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375617		None	None
gene-BD770DRAFT_312227	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA312227	PF00278.29,PF02784.23	Complete	None
gene-BD770DRAFT_312166	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA312166	PF00348.23	Partial	None
gene-BD770DRAFT_375624	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375624		None	None
gene-BD770DRAFT_375627	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375627	PF00076.29,PF13865.12	Complete	None
gene-BD770DRAFT_193	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA193		None	None
gene-BD770DRAFT_311778	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311778		None	None
gene-BD770DRAFT_311499	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311499	PF03006.27	Partial	None
gene-BD770DRAFT_311484	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311484	PF00025.28,PF00071.29,PF08477.20	Partial	None
gene-BD770DRAFT_375637	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375637	PF03330.25	Partial	None
gene-BD770DRAFT_375638	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375638		None	None
gene-BD770DRAFT_375639	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375639		None	None
gene-BD770DRAFT_375641	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375641	PF03637.23	Partial	None
gene-BD770DRAFT_375644	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375644	PF00069.32,PF07647.25,PF07714.24	Complete	None
gene-BD770DRAFT_375647	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375647		None	None
gene-BD770DRAFT_423128	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA423128	PF00443.36	Partial	None
gene-BD770DRAFT_417180	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA417180	PF01172.25,PF09377.17,PF20268.5	Complete	None
gene-BD770DRAFT_417181	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA417181	PF19036.7,PF19037.7,PF19038.7	Complete	None
gene-BD770DRAFT_375653	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375653		None	None
gene-BD770DRAFT_438369	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA438369	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
gene-BD770DRAFT_405520	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA405520	PF00004.36,PF01434.25,PF06480.21,PF17862.8	Complete	None
gene-BD770DRAFT_375656	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375656	PF00472.27	Partial	None
gene-BD770DRAFT_311349	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311349	PF00076.29,PF00076.29,PF00076.29,PF00076.29,PF00658.25,PF13893.13,PF13893.13,PF13893.13	Complete	None
gene-BD770DRAFT_572	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA572		None	None
gene-BD770DRAFT_311432	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311432	PF00069.32,PF03109.23,PF07714.24	Partial	None
gene-BD770DRAFT_503	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA503	PF00069.32,PF07714.24	Partial	None
gene-BD770DRAFT_375668	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375668	PF00170.27,PF07716.21	Partial	None
gene-BD770DRAFT_375678	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375678	PF05224.18	Partial	None
gene-BD770DRAFT_355557	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA355557	PF00249.38,PF01398.27,PF04433.24,PF13921.13,PF14464.12	Complete	None
gene-BD770DRAFT_375681	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375681		None	None
gene-BD770DRAFT_355562	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA355562	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-BD770DRAFT_312079	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA312079		None	None
gene-BD770DRAFT_311805	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311805	PF05670.19	Partial	None
gene-BD770DRAFT_335194	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA335194	PF04707.21	Partial	None
gene-BD770DRAFT_375691	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375691	PF00170.27	Partial	None
gene-BD770DRAFT_375693	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375693	PF07958.17	Partial	None
gene-BD770DRAFT_405537	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA405537		None	None
gene-BD770DRAFT_405540	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA405540		None	None
gene-BD770DRAFT_299882	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA299882		None	None
gene-BD770DRAFT_423150	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA423150	PF00018.35,PF00018.35,PF00621.26,PF07653.24,PF07653.24,PF14604.13,PF14604.13,PF16652.12,PF22697.3	Complete	None
gene-BD770DRAFT_438390	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA438390	PF00501.35,PF13193.13,PF16177.12	Complete	None
gene-BD770DRAFT_432934	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA432934	PF21087.3	Partial	None
gene-BD770DRAFT_375732	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375732	PF12400.14	Partial	None
gene-BD770DRAFT_375735	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA375735	PF07859.20,PF10340.16,PF20434.6	Partial	None
gene-BD770DRAFT_914	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA914		None	None
gene-BD770DRAFT_468066	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA468066	PF00169.36,PF01369.26,PF15410.13	Complete	None
gene-BD770DRAFT_468067	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA468067	PF10280.15	Partial	None
gene-BD770DRAFT_417197	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA417197	PF00004.36,PF05496.19,PF07728.21,PF12002.14,PF16193.12	Complete	None
gene-BD770DRAFT_438398	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA438398		None	None
gene-BD770DRAFT_438399	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA438399		None	None
gene-BD770DRAFT_405552	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA405552		None	None
gene-BD770DRAFT_438401	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA438401	PF22600.3	Partial	None
gene-BD770DRAFT_311965	rna-gnl|WGS:JAIXMQ|BD770DRAFT_mRNA311965	PF00622.37	Complete	None
