protein_id	length
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584636	71
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA503503	113
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA585392	1391
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA585797	155
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA586186	316
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA662369	315
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA573535	393
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA21709	72
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA655335	296
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA486139	108
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA602921	512
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA603128	893
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA603538	61
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA39730	315
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA511571	455
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA45042	123
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA643852	297
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA51650	438
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA536349	221
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA606123	610
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA606479	745
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA606849	832
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA607151	424
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA607438	153
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA578011	128
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA74164	551
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA537411	1085
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA513585	246
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA81852	677
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA609363	698
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA609698	411
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA610046	880
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA610435	516
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA578706	160
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA644538	347
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA611507	522
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA611913	281
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA612363	87
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA111306	150
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA515859	394
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA587220	608
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA662627	478
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA588037	197
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA662822	180
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA128281	508
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA131397	401
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA669318	172
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA713880	390
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA614613	1509
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA614945	1097
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA615254	303
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA669796	536
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA645014	684
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA616331	419
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA616678	722
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA475414	200
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA617496	253
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA517653	159
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA670475	156
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA618614	153
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA580392	467
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA177520	335
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA619767	374
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA689854	82
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA187169	418
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA621038	228
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA193443	201
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA506151	142
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA589752	228
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA202435	158
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA590376	306
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA207673	486
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA663544	234
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA691796	161
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA218032	246
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA221085	367
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA715827	156
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA520434	252
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA671936	105
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA624530	116
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA624960	148
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA625281	652
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA240522	255
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA672435	63
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA626587	203
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA672638	597
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA627298	444
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA544636	408
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA591168	221
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA653443	695
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA591965	722
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA506407	430
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA592653	713
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA593017	62
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA628299	217
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA628593	277
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA522672	171
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA673292	142
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA717191	854
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA565069	549
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA631007	205
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA631337	301
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA631783	649
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA632136	185
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA306424	431
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA593707	327
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA594113	130
rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA316055	635
