protein_id	length
GML000001_mRNA1	751
GML000101_mRNA1	242
GML000201_mRNA1	111
GML000301_mRNA1	225
GML000401_mRNA1	560
GML000501_mRNA1	351
GML000601_mRNA1	782
GML000701_mRNA1	821
GML000801_mRNA1	327
GML000901_mRNA1	463
GML001001_mRNA1	877
GML001102_mRNA1	695
GML001202_mRNA1	193
GML001301_mRNA1	372
GML001401_mRNA1	654
GML001501_mRNA1	568
GML001601_mRNA1	164
GML001701_mRNA1	273
GML001801_mRNA1	442
GML001901_mRNA1	1156
GML002001_mRNA1	97
GML002101_mRNA1	589
GML002201_mRNA1	786
GML002301_mRNA1	800
GML002401_mRNA1	801
GML002501_mRNA1	409
GML002601_mRNA1	405
GML002701_mRNA1	321
GML002801_mRNA1	264
GML002901_mRNA1	627
GML003001_mRNA1	386
GML003101_mRNA1	614
GML003201_mRNA1	471
GML003301_mRNA1	408
GML003401_mRNA1	534
GML003501_mRNA1	557
GML003601_mRNA1	323
GML003701_mRNA1	235
GML003801_mRNA1	244
GML003901_mRNA1	416
GML004001_mRNA1	315
GML004101_mRNA1	366
GML004201_mRNA1	789
GML004301_mRNA1	261
GML004401_mRNA1	439
GML004501_mRNA1	506
GML004601_mRNA1	523
GML004701_mRNA1	490
GML004801_mRNA1	452
GML004901_mRNA1	424
GML005001_mRNA1	420
GML005101_mRNA1	280
GML005201_mRNA1	528
GML005301_mRNA1	110
GML005401_mRNA1	601
GML005501_mRNA1	1282
GML005601_mRNA1	373
GML005701_mRNA1	409
GML005801_mRNA1	307
GML005901_mRNA1	625
GML006001_mRNA1	95
GML006101_mRNA1	780
GML006201_mRNA1	552
GML006301_mRNA1	268
GML006401_mRNA1	298
GML006501_mRNA1	593
GML006601_mRNA1	735
GML006701_mRNA1	405
GML006801_mRNA1	220
GML006901_mRNA1	555
GML007001_mRNA1	359
GML007101_mRNA1	443
GML007201_mRNA1	654
GML007301_mRNA1	550
GML007401_mRNA1	306
GML007501_mRNA1	345
GML007601_mRNA1	139
GML007701_mRNA1	239
GML007801_mRNA1	110
GML007901_mRNA1	811
GML008001_mRNA1	1271
GML008101_mRNA1	503
GML008201_mRNA1	609
GML008301_mRNA1	476
GML008401_mRNA1	250
GML008501_mRNA1	1257
GML008601_mRNA1	316
GML008701_mRNA1	458
GML008801_mRNA1	280
GML008901_mRNA1	1291
GML009001_mRNA1	560
GML009101_mRNA1	274
GML009201_mRNA1	1114
GML009301_mRNA1	185
GML009401_mRNA1	299
GML009501_mRNA1	285
GML009601_mRNA1	544
GML009701_mRNA1	301
GML009801_mRNA1	231
GML009901_mRNA1	470
GML010001_mRNA1	626
GML010101_mRNA1	399
GML010201_mRNA1	546
GML010301_mRNA1	702
GML010401_mRNA1	202
GML010501_mRNA1	547
GML010601_mRNA1	328
GML010701_mRNA1	1181
GML010801_mRNA1	717
GML010901_mRNA1	890
GML011001_mRNA1	1108
GML011101_mRNA1	418
GML011201_mRNA1	433
GML011301_mRNA1	212
GML011401_mRNA1	948
GML011501_mRNA1	655
GML011601_mRNA1	520
GML011701_mRNA1	384
GML011801_mRNA1	112
GML011901_mRNA1	840
GML012001_mRNA1	391
GML012101_mRNA1	160
GML012201_mRNA1	97
GML012301_mRNA1	115
GML012401_mRNA1	568
GML012501_mRNA1	890
GML012601_mRNA1	410
GML012701_mRNA1	589
GML012801_mRNA1	511
GML012901_mRNA1	192
GML013001_mRNA1	236
GML013101_mRNA1	502
GML013201_mRNA1	333
GML013301_mRNA1	127
GML013401_mRNA1	114
GML013501_mRNA1	458
GML013601_mRNA1	730
GML013701_mRNA1	630
GML013801_mRNA1	101
GML013901_mRNA1	135
GML014001_mRNA1	553
GML014101_mRNA1	436
GML014201_mRNA1	511
GML014301_mRNA1	439
GML014401_mRNA1	586
GML014501_mRNA1	242
GML014601_mRNA1	436
GML014701_mRNA1	606
GML014801_mRNA1	365
GML014901_mRNA1	141
GML015001_mRNA1	206
GML015101_mRNA1	126
GML015201_mRNA1	238
GML015301_mRNA1	257
GML015401_mRNA1	943
GML015501_mRNA1	207
GML015601_mRNA1	121
GML015701_mRNA1	896
GML015801_mRNA1	491
GML015901_mRNA1	388
GML016001_mRNA1	590
GML016101_mRNA1	271
GML016201_mRNA1	172
GML016301_mRNA1	436
