protein_id	length
rna-XM_040769502.1	244
rna-XM_040767699.1	164
rna-XM_040769530.1	441
rna-XM_040776755.1	418
rna-XM_040770958.1	752
rna-XM_040771576.1	506
rna-XM_040769588.1	742
rna-XM_040767780.1	1298
rna-XM_040767797.1	630
rna-XM_040767815.1	309
rna-XM_040774661.1	311
rna-XM_040775685.1	257
rna-XM_040777515.1	411
rna-XM_040777113.1	215
rna-XM_040776112.1	744
rna-XM_040767912.1	542
rna-XM_040777124.1	219
rna-XM_040771893.1	191
rna-XM_040767964.1	107
rna-XM_040771943.1	399
rna-XM_040771979.1	315
rna-XM_040771018.1	1206
rna-XM_040769818.1	424
rna-XM_040772058.1	481
rna-XM_040772089.1	238
rna-XM_040769855.1	247
rna-XM_040769863.1	188
rna-XM_040772189.1	122
rna-XM_040772213.1	64
rna-XM_040772245.1	403
rna-XM_040768153.1	1200
rna-XM_040772302.1	242
rna-XM_040769947.1	853
rna-XM_040772347.1	101
rna-XM_040768231.1	510
rna-XM_040768246.1	209
rna-XM_040776320.1	1048
rna-XM_040775790.1	290
rna-XM_040772473.1	87
rna-XM_040772498.1	78
rna-XM_040772522.1	242
rna-XM_040772552.1	194
rna-XM_040768382.1	189
rna-XM_040770100.1	258
rna-XM_040772627.1	79
rna-XM_040775036.1	147
rna-XM_040767419.1	249
rna-XM_040770158.1	403
rna-XM_040775113.1	403
rna-XM_040777253.1	101
rna-XM_040772800.1	247
rna-XM_040776416.1	747
rna-XM_040772855.1	85
rna-XM_040767452.1	516
rna-XM_040772923.1	695
rna-XM_040776909.1	788
rna-XM_040775200.1	127
rna-XM_040772996.1	55
rna-XM_040768671.1	268
rna-XM_040770306.1	401
rna-XM_040771213.1	525
rna-XM_040774351.1	432
rna-XM_040770345.1	531
rna-XM_040775874.1	202
rna-XM_040774457.1	81
rna-XM_040776504.1	504
rna-XM_040770394.1	834
rna-XM_040777317.1	472
rna-XM_040773290.1	450
rna-XM_040776532.1	510
rna-XM_040773333.1	73
rna-XM_040773360.1	647
rna-XM_040773383.1	1954
rna-XM_040773422.1	297
rna-XM_040773455.1	362
rna-XM_040769016.1	480
rna-XM_040776589.1	742
rna-XM_040775379.1	486
rna-XM_040773581.1	93
rna-XM_040773605.1	237
rna-XM_040777373.1	528
rna-XM_040771321.1	321
rna-XM_040770635.1	325
rna-XM_040773708.1	399
rna-XM_040777393.1	260
rna-XM_040769175.1	305
rna-XM_040775474.1	386
rna-XM_040769205.1	449
rna-XM_040773870.1	190
rna-XM_040775951.1	498
rna-XM_040770747.1	482
rna-XM_040770761.1	660
rna-XM_040773997.1	475
rna-XM_040774023.1	76
rna-XM_040771393.1	554
rna-XM_040774418.1	137
rna-XM_040774113.1	221
rna-XM_040769384.1	1109
rna-XM_040774157.1	83
rna-XM_040769414.1	531
rna-XM_040770900.1	2122
rna-XM_040770916.1	196
rna-XM_040769483.1	350
