gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BKA62DRAFT_680368	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680368	PF03171.27,PF14226.13	Complete	None
gene-BKA62DRAFT_680369	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680369	PF00149.34	Partial	None
gene-BKA62DRAFT_180	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA180	PF00856.34,PF05033.23	Complete	None
gene-BKA62DRAFT_4	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA4		None	None
gene-BKA62DRAFT_3	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA3		None	None
gene-BKA62DRAFT_197	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA197	PF01583.27,PF13671.13	Partial	None
gene-BKA62DRAFT_680377	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680377	PF00483.30,PF24894.2,PF25084.2,PF25087.2	Complete	None
gene-BKA62DRAFT_206	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA206		None	None
gene-BKA62DRAFT_666941	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA666941	PF12710.14,PF14681.13	Complete	None
gene-BKA62DRAFT_680378	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680378	PF01494.26,PF01593.31	Partial	None
gene-BKA62DRAFT_290	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA290		None	None
gene-BKA62DRAFT_680381	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680381	PF00753.34,PF23023.2	Partial	None
gene-BKA62DRAFT_298	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA298		None	None
gene-BKA62DRAFT_320	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA320	PF01370.28,PF05368.20,PF07993.19	Partial	None
gene-BKA62DRAFT_666945	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA666945		None	None
gene-BKA62DRAFT_752794	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA752794		None	None
gene-BKA62DRAFT_680402	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680402	PF00128.32,PF00686.26,PF02806.25	Complete	None
gene-BKA62DRAFT_680405	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680405	PF00026.29,PF14543.12	Partial	None
gene-BKA62DRAFT_763995	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA763995	PF02535.29	Partial	None
gene-BKA62DRAFT_763996	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA763996	PF00326.28,PF02897.22	Complete	None
gene-BKA62DRAFT_780570	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA780570	PF00326.28,PF02897.22	Complete	None
gene-BKA62DRAFT_680413	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680413	PF00213.24	Partial	None
gene-BKA62DRAFT_763998	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA763998	PF00931.29,PF05729.19,PF20703.4	Partial	None
gene-BKA62DRAFT_798	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA798		None	None
gene-BKA62DRAFT_824162	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA824162	PF00083.31,PF07690.22	Partial	None
gene-BKA62DRAFT_764001	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA764001	PF00892.27,PF05653.21,PF05653.21	Partial	None
gene-BKA62DRAFT_680428	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680428		None	None
gene-BKA62DRAFT_824165	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA824165	PF00657.29,PF13472.13	Partial	None
gene-BKA62DRAFT_680432	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680432	PF00561.27,PF12697.14	Partial	None
gene-BKA62DRAFT_680438	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680438		None	None
gene-BKA62DRAFT_746634	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA746634	PF00171.28	Partial	None
gene-BKA62DRAFT_746635	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA746635	PF03234.20,PF08564.17,PF08565.17	Complete	None
gene-BKA62DRAFT_1098	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA1098	PF14616.12	Partial	None
gene-BKA62DRAFT_1060	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA1060		None	None
gene-BKA62DRAFT_680445	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680445		None	None
gene-BKA62DRAFT_1109	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA1109	PF20151.5	Partial	None
gene-BKA62DRAFT_764011	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA764011	PF00450.29,PF00450.29	Partial	None
gene-BKA62DRAFT_680461	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680461	PF01424.29,PF01585.29	Complete	None
gene-BKA62DRAFT_764013	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA764013	PF00787.30	Partial	None
gene-BKA62DRAFT_1354	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA1354		None	None
gene-BKA62DRAFT_764015	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA764015	PF00892.27,PF05653.21,PF05653.21	Partial	None
gene-BKA62DRAFT_630032	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA630032	PF01485.28,PF01485.28,PF19422.5,PF21235.5,PF22191.3,PF22605.3,PF26000.2	Complete	None
gene-BKA62DRAFT_680481	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA680481		None	None
gene-BKA62DRAFT_780632	rna-gnl|WGS:JAGTJP|BKA62DRAFT_mRNA780632		None	None
