protein_id	length
rna-XM_062814626.1	264
rna-XM_062815536.1	1675
rna-XM_062813788.1	2522
rna-XM_062815561.1	206
rna-XM_062809950.1	527
rna-XM_062814447.1	513
rna-XM_062815608.1	354
rna-XM_062811636.1	110
rna-XM_062814703.1	390
rna-XM_062815662.1	120
rna-XM_062813192.1	379
rna-XM_062813590.1	580
rna-XM_062817617.1	654
rna-XM_062815035.1	183
rna-XM_062814752.1	910
rna-XM_062814761.1	560
rna-XM_062820244.1	359
rna-XM_062820000.1	1247
rna-XM_062815822.1	555
rna-XM_062815836.1	161
rna-XM_062809088.1	627
rna-XM_062809135.1	196
rna-XM_062819159.1	634
rna-XM_062817723.1	518
rna-XM_062810483.1	439
rna-XM_062817745.1	226
rna-XM_062817756.1	238
rna-XM_062819171.1	142
rna-XM_062810686.1	456
rna-XM_062817795.1	907
rna-XM_062810783.1	552
rna-XM_062810830.1	580
rna-XM_062817833.1	494
rna-XM_062810938.1	954
rna-XM_062810986.1	303
rna-XM_062820031.1	206
rna-XM_062816124.1	816
rna-XM_062819630.1	764
rna-XM_062811154.1	687
rna-XM_062819196.1	430
rna-XM_062819201.1	277
rna-XM_062816214.1	534
rna-XM_062819904.1	1491
rna-XM_062819210.1	550
rna-XM_062816267.1	435
rna-XM_062811511.1	690
rna-XM_062813905.1	601
rna-XM_062811617.1	387
rna-XM_062818056.1	108
rna-XM_062815018.1	165
rna-XM_062811770.1	150
rna-XM_062816390.1	545
rna-XM_062811862.1	3015
rna-XM_062811928.1	171
rna-XM_062815056.1	268
rna-XM_062812031.1	228
rna-XM_062812076.1	490
rna-XM_062814506.1	275
rna-XM_062818906.1	367
rna-XM_062816538.1	292
rna-XM_062814013.1	369
rna-XM_062814024.1	372
rna-XM_062812362.1	364
rna-XM_062818221.1	1380
rna-XM_062812460.1	353
rna-XM_062812507.1	249
rna-XM_062816656.1	1361
rna-XM_062812607.1	223
rna-XM_062812649.1	219
rna-XM_062819776.1	613
rna-XM_062812736.1	327
rna-XM_062812779.1	439
rna-XM_062816769.1	584
rna-XM_062812858.1	389
rna-XM_062816805.1	228
rna-XM_062818345.1	583
rna-XM_062814068.1	202
rna-XM_062814089.1	652
rna-XM_062816867.1	214
rna-XM_062813142.1	212
rna-XM_062816898.1	1131
rna-XM_062813251.1	265
rna-XM_062818415.1	225
rna-XM_062813359.1	244
rna-XM_062813420.1	177
rna-XM_062813473.1	506
rna-XM_062817009.1	177
rna-XM_062813558.1	747
rna-XM_062813616.1	415
rna-XM_062809206.1	171
rna-XM_062817072.1	552
rna-XM_062809314.1	1982
rna-XM_062809362.1	229
rna-XM_062809411.1	517
rna-XM_062818526.1	193
rna-XM_062815352.1	653
rna-XM_062809579.1	280
rna-XM_062809623.1	331
rna-XM_062815380.1	333
rna-XM_062809721.1	387
rna-XM_062815401.1	258
rna-XM_062815411.1	128
rna-XM_062815421.1	596
rna-XM_062809947.1	568
rna-XM_062814582.1	539
rna-XM_062810019.1	539
rna-XM_062817345.1	293
rna-XM_062817364.1	679
rna-XM_062810165.1	195
rna-XM_062819541.1	852
rna-XM_062817417.1	249
rna-XM_062817433.1	584
rna-XM_062817451.1	207
rna-XM_062817461.1	524
