protein_id	length
GML000001_mRNA1	540
GML000101_mRNA1	134
GML000201_mRNA1	162
GML000301_mRNA1	448
GML000401_mRNA1	381
GML000501_mRNA1	45
GML000601_mRNA1	1004
GML000701_mRNA1	400
GML000801_mRNA1	573
GML000901_mRNA1	443
GML001001_mRNA1	724
GML001101_mRNA1	302
GML001201_mRNA1	535
GML001301_mRNA1	629
GML001401_mRNA1	381
GML001501_mRNA1	415
GML001601_mRNA1	346
GML001701_mRNA1	246
GML001801_mRNA1	202
GML001901_mRNA1	468
GML002001_mRNA1	220
GML002101_mRNA1	953
GML002201_mRNA1	676
GML002301_mRNA1	497
GML002401_mRNA1	317
GML002501_mRNA1	123
GML002601_mRNA1	646
GML002701_mRNA1	1202
GML002801_mRNA1	254
GML002901_mRNA1	443
GML003001_mRNA1	660
GML003101_mRNA1	531
GML003201_mRNA1	120
GML003301_mRNA1	311
GML003401_mRNA1	170
GML003501_mRNA1	1204
GML003601_mRNA1	943
GML003701_mRNA1	1207
GML003801_mRNA1	710
GML003901_mRNA1	434
GML004001_mRNA1	794
GML004101_mRNA1	400
GML004201_mRNA1	375
GML004300_mRNA1	670
GML004401_mRNA1	1053
GML004501_mRNA1	1019
GML004601_mRNA1	250
GML004701_mRNA1	951
GML004801_mRNA1	467
GML004901_mRNA1	331
GML005001_mRNA1	332
GML005101_mRNA1	434
GML005201_mRNA1	640
GML005301_mRNA1	557
GML005401_mRNA1	445
GML005501_mRNA1	482
GML005601_mRNA1	488
GML005701_mRNA1	585
GML005801_mRNA1	267
GML005901_mRNA1	423
