protein_id	length
GML000001_mRNA1	516
GML000101_mRNA1	753
GML000201_mRNA1	776
GML000301_mRNA1	430
GML000401_mRNA1	686
GML000501_mRNA1	364
GML000601_mRNA1	585
GML000701_mRNA1	712
GML000801_mRNA1	522
GML000901_mRNA1	184
GML001001_mRNA1	281
GML001101_mRNA1	540
GML001201_mRNA1	126
GML001301_mRNA1	419
GML001401_mRNA1	311
GML001501_mRNA1	1273
GML001601_mRNA1	247
GML001701_mRNA1	307
GML001801_mRNA1	142
GML001901_mRNA1	556
GML002001_mRNA1	190
GML002101_mRNA1	638
GML002201_mRNA1	451
GML002301_mRNA1	250
GML002401_mRNA1	485
GML002501_mRNA1	1191
GML002601_mRNA1	191
GML002701_mRNA1	843
GML002801_mRNA1	166
GML002901_mRNA1	533
GML003001_mRNA1	136
GML003101_mRNA1	2375
GML003201_mRNA1	276
GML003301_mRNA1	645
GML003401_mRNA1	272
GML003501_mRNA1	576
GML003601_mRNA1	317
GML003701_mRNA1	369
GML003801_mRNA1	304
GML003901_mRNA1	539
GML004001_mRNA1	278
GML004101_mRNA1	514
GML004201_mRNA1	246
GML004301_mRNA1	374
GML004401_mRNA1	911
GML004501_mRNA1	706
GML004601_mRNA1	69
GML004701_mRNA1	457
GML004801_mRNA1	796
GML004901_mRNA1	410
GML005001_mRNA1	273
GML005101_mRNA1	739
GML005201_mRNA1	203
GML005301_mRNA1	826
GML005401_mRNA1	563
GML005501_mRNA1	138
GML005601_mRNA1	1148
GML005701_mRNA1	249
GML005801_mRNA1	648
GML005901_mRNA1	310
GML006001_mRNA1	791
GML006101_mRNA1	116
GML006201_mRNA1	670
GML006301_mRNA1	135
GML006401_mRNA1	619
GML006501_mRNA1	546
GML006601_mRNA1	630
GML006701_mRNA1	482
GML006801_mRNA1	73
GML006901_mRNA1	315
GML007001_mRNA1	553
GML007101_mRNA1	204
GML007201_mRNA1	766
GML007301_mRNA1	365
GML007401_mRNA1	310
GML007501_mRNA1	125
GML007601_mRNA1	322
GML007701_mRNA1	383
GML007801_mRNA1	624
GML007901_mRNA1	790
GML008001_mRNA1	225
GML008101_mRNA1	593
GML008201_mRNA1	959
GML008301_mRNA1	284
GML008401_mRNA1	1980
GML008501_mRNA1	295
GML008601_mRNA1	415
GML008701_mRNA1	367
GML008801_mRNA1	184
GML008901_mRNA1	356
GML009001_mRNA1	363
GML009101_mRNA1	423
GML009201_mRNA1	383
GML009301_mRNA1	381
GML009401_mRNA1	84
GML009501_mRNA1	840
GML009601_mRNA1	852
GML009701_mRNA1	529
GML009801_mRNA1	135
GML009901_mRNA1	1038
GML010001_mRNA1	370
GML010101_mRNA1	699
GML010201_mRNA1	368
GML010301_mRNA1	323
GML010401_mRNA1	476
GML010501_mRNA1	534
GML010601_mRNA1	338
GML010701_mRNA1	453
GML010801_mRNA1	457
GML010901_mRNA1	656
GML011001_mRNA1	613
GML011101_mRNA1	539
GML011201_mRNA1	165
GML011301_mRNA1	1021
GML011401_mRNA1	146
GML011501_mRNA1	239
GML011601_mRNA1	379
GML011701_mRNA1	705
GML011801_mRNA1	528
GML011901_mRNA1	363
GML012001_mRNA1	1081
GML012101_mRNA1	548
GML012201_mRNA1	892
GML012301_mRNA1	423
GML012401_mRNA1	262
GML012501_mRNA1	444
GML012601_mRNA1	225
GML012701_mRNA1	800
GML012801_mRNA1	266
GML012901_mRNA1	291
GML013001_mRNA1	595
GML013101_mRNA1	140
GML013201_mRNA1	607
GML013301_mRNA1	481
GML013401_mRNA1	179
GML013501_mRNA1	1110
GML013601_mRNA1	514
GML013701_mRNA1	225
GML013801_mRNA1	386
GML013901_mRNA1	163
GML014001_mRNA1	462
GML014101_mRNA1	312
GML014201_mRNA1	2242
GML014301_mRNA1	72
GML014401_mRNA1	201
GML014501_mRNA1	319
GML014601_mRNA1	223
GML014701_mRNA1	89
