protein_id	length
GML000001_mRNA1	311
GML000101_mRNA1	202
GML000201_mRNA1	90
GML000301_mRNA1	482
GML000401_mRNA1	507
GML000501_mRNA1	586
GML000601_mRNA1	263
GML000701_mRNA1	443
GML000801_mRNA1	926
GML000901_mRNA1	549
GML001001_mRNA1	514
GML001101_mRNA1	336
GML001201_mRNA1	345
GML001301_mRNA1	581
GML001401_mRNA1	297
GML001501_mRNA1	654
GML001601_mRNA1	323
GML001701_mRNA1	1300
GML001801_mRNA1	204
GML001901_mRNA1	219
GML002001_mRNA1	65
GML002101_mRNA1	1009
GML002201_mRNA1	109
GML002301_mRNA1	439
GML002401_mRNA1	203
GML002501_mRNA1	621
GML002601_mRNA1	240
GML002701_mRNA1	134
GML002801_mRNA1	671
GML002901_mRNA1	227
GML003001_mRNA1	226
GML003101_mRNA1	1320
GML003201_mRNA1	276
GML003301_mRNA1	632
GML003401_mRNA1	122
GML003501_mRNA1	141
GML003601_mRNA1	518
GML003701_mRNA1	324
GML003801_mRNA1	389
GML003901_mRNA1	566
GML004001_mRNA1	342
GML004100_mRNA1	689
GML004201_mRNA1	86
GML004301_mRNA1	943
GML004401_mRNA1	806
GML004501_mRNA1	666
GML004601_mRNA1	577
GML004701_mRNA1	260
GML004801_mRNA1	162
GML004901_mRNA1	639
GML005001_mRNA1	1286
GML005101_mRNA1	453
GML005201_mRNA1	619
GML005301_mRNA1	763
GML005401_mRNA1	756
GML005501_mRNA1	302
GML005601_mRNA1	2168
GML005701_mRNA1	507
GML005801_mRNA1	753
GML005901_mRNA1	193
GML006001_mRNA1	671
GML006101_mRNA1	157
GML006201_mRNA1	238
GML006301_mRNA1	871
GML006401_mRNA1	190
GML006501_mRNA1	347
GML006601_mRNA1	414
GML006701_mRNA1	282
GML006801_mRNA1	72
GML006901_mRNA1	568
GML007001_mRNA1	3190
GML007101_mRNA1	136
GML007201_mRNA1	233
GML007301_mRNA1	155
GML007401_mRNA1	139
GML007501_mRNA1	372
GML007601_mRNA1	2078
GML007701_mRNA1	119
GML007801_mRNA1	300
GML007901_mRNA1	583
GML008001_mRNA1	548
GML008101_mRNA1	321
GML008201_mRNA1	499
GML008301_mRNA1	619
GML008401_mRNA1	1496
GML008501_mRNA1	1107
GML008601_mRNA1	477
GML008701_mRNA1	601
GML008801_mRNA1	739
GML008901_mRNA1	790
GML009001_mRNA1	89
GML009101_mRNA1	164
GML009201_mRNA1	875
GML009301_mRNA1	1478
GML009401_mRNA1	72
GML009501_mRNA1	1468
GML009601_mRNA1	118
GML009701_mRNA1	581
GML009801_mRNA1	298
GML009901_mRNA1	483
GML010001_mRNA1	224
GML010101_mRNA1	111
GML010201_mRNA1	533
GML010301_mRNA1	199
GML010401_mRNA1	143
GML010501_mRNA1	509
