gene_id	pfam_ids	go_ids	bin_id
gene-F4778DRAFT_775381		NA	100
gene-F4778DRAFT_78		NA	100
gene-F4778DRAFT_788840	PF00579.32	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-F4778DRAFT_96	PF01423.29	NA	100
gene-F4778DRAFT_775385	PF12585.14	NA	100
gene-F4778DRAFT_711613	PF01406.26	NA	100
gene-F4778DRAFT_167	PF08704.17,PF08704.17	NA	100
gene-F4778DRAFT_186	PF06985.18,PF26639.1	NA	100
gene-F4778DRAFT_169	PF00023.37,PF12796.14,PF13606.13	GO:0005515	100
gene-F4778DRAFT_223	PF03403.20	NA	100
gene-F4778DRAFT_711626	PF02127.21	GO:0004177,GO:0006508,GO:0008270	5
gene-F4778DRAFT_788844	PF12224.14	NA	100
gene-F4778DRAFT_711631	PF20684.4	NA	100
gene-F4778DRAFT_711633	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-F4778DRAFT_788846		NA	100
gene-F4778DRAFT_788847		NA	100
gene-F4778DRAFT_775397		NA	100
gene-F4778DRAFT_711643		NA	100
gene-F4778DRAFT_711645	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-F4778DRAFT_711648		NA	100
gene-F4778DRAFT_711652		NA	100
gene-F4778DRAFT_589	PF00704.35	GO:0005975	8
gene-F4778DRAFT_767637	PF00069.32,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
gene-F4778DRAFT_711677		NA	100
gene-F4778DRAFT_553	PF03105.25,PF03124.21	GO:0016020	100
gene-F4778DRAFT_698		NA	100
gene-F4778DRAFT_711679		NA	100
gene-F4778DRAFT_711680	PF03517.20	NA	100
gene-F4778DRAFT_719	PF09362.16	NA	100
gene-F4778DRAFT_711686		NA	100
gene-F4778DRAFT_711690	PF22562.3	NA	100
gene-F4778DRAFT_785	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-F4778DRAFT_787	PF00246.30,PF02244.22	GO:0004181,GO:0006508,GO:0008270	5
gene-F4778DRAFT_788852	PF10017.16	NA	100
gene-F4778DRAFT_775416	PF06985.18,PF26639.1	NA	100
gene-F4778DRAFT_788854	PF00106.32,PF00106.32,PF08659.17,PF13561.13	NA	100
gene-F4778DRAFT_952	PF19271.5	NA	100
gene-F4778DRAFT_767647	PF00179.32	NA	100
gene-F4778DRAFT_1035	PF23867.2,PF23868.2	NA	100
gene-F4778DRAFT_775421		NA	100
gene-F4778DRAFT_775422		NA	100
gene-F4778DRAFT_775423	PF02969.24,PF07571.20	GO:0006367	8
gene-F4778DRAFT_711726	PF01127.28	NA	100
gene-F4778DRAFT_1244		NA	100
gene-F4778DRAFT_711731		NA	100
gene-F4778DRAFT_1227	PF14498.13,PF21307.3,PF22124.3	NA	100
gene-F4778DRAFT_711734	PF06140.19	GO:0016020	100
gene-F4778DRAFT_775429		NA	100
gene-F4778DRAFT_711736	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-F4778DRAFT_775431		NA	100
gene-F4778DRAFT_775432		NA	100
gene-F4778DRAFT_711743	PF28293.1,PF28293.1	NA	100
gene-F4778DRAFT_711748	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-F4778DRAFT_767654	PF08240.18	NA	100
gene-F4778DRAFT_1637	PF00749.28,PF03950.24,PF20974.3	GO:0000166,GO:0004812,GO:0005524,GO:0005737,GO:0006418,GO:0043039	8
gene-F4778DRAFT_1630	PF00687.27	NA	100
gene-F4778DRAFT_1612	PF06148.18,PF08700.18	NA	100
gene-F4778DRAFT_1911	PF10297.15	GO:0005634,GO:0006355	100
gene-F4778DRAFT_788864	PF02668.23	GO:0016491	8
gene-F4778DRAFT_2179	PF13598.13,PF13600.12	NA	100
gene-F4778DRAFT_1954	PF30930.1	NA	100
gene-F4778DRAFT_2225	PF13506.14,PF13506.14	GO:0016757	8
gene-F4778DRAFT_711763	PF01974.24	GO:0000213,GO:0006388	1
gene-F4778DRAFT_2287	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-F4778DRAFT_2327		NA	100
gene-F4778DRAFT_775445	PF00457.25	NA	100
gene-F4778DRAFT_775446		NA	100
gene-F4778DRAFT_711775	PF06966.18	NA	100
gene-F4778DRAFT_767665	PF00096.33,PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-F4778DRAFT_767666	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-F4778DRAFT_2398	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-F4778DRAFT_788876		NA	100
gene-F4778DRAFT_788878	PF21762.4	NA	100
gene-F4778DRAFT_711787		NA	100
gene-F4778DRAFT_711788	PF06985.18,PF26640.1	NA	100
gene-F4778DRAFT_2430	PF00928.27,PF01217.27	NA	100
gene-F4778DRAFT_767670	PF08618.16,PF08618.16	GO:0003714	100
gene-F4778DRAFT_2523	PF00657.29,PF13472.13	GO:0016788	8
gene-F4778DRAFT_775458	PF00583.32,PF13508.14,PF13673.14	GO:0016747	8
gene-F4778DRAFT_775460		NA	100
gene-F4778DRAFT_711801		NA	100
gene-F4778DRAFT_775462		NA	100
gene-F4778DRAFT_711803		NA	100
gene-F4778DRAFT_711805		NA	100
gene-F4778DRAFT_2907	PF07958.17	NA	100
gene-F4778DRAFT_2682	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-F4778DRAFT_3911	PF00248.28	NA	100
gene-F4778DRAFT_775468		NA	100
gene-F4778DRAFT_4206		NA	100
gene-F4778DRAFT_711834	PF00743.26,PF13434.13,PF13450.13	GO:0004499,GO:0050660,GO:0050661	2
gene-F4778DRAFT_711858	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-F4778DRAFT_711860		NA	100
gene-F4778DRAFT_711861	PF01636.30	NA	100
gene-F4778DRAFT_788901	PF00291.32,PF00581.26	NA	100
gene-F4778DRAFT_711864	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-F4778DRAFT_4419		NA	100
gene-F4778DRAFT_4426	PF09830.15,PF19327.5	GO:0003877	8
gene-F4778DRAFT_711869	PF01494.26,PF01494.26	GO:0071949	100
gene-F4778DRAFT_775478		NA	100
gene-F4778DRAFT_711870		NA	100
gene-F4778DRAFT_711872	PF26061.1	NA	100
gene-F4778DRAFT_767681	PF00107.33,PF08240.18	NA	100
gene-F4778DRAFT_4440	PF01565.29	GO:0050660	100
