gene_id	pfam_ids	go_ids	bin_id
gene-VTN31DRAFT_1	PF07690.22	GO:0022857,GO:0055085	6
gene-VTN31DRAFT_2	PF00534.27,PF13692.13,PF21269.4,PF27036.1	GO:0016757	8
gene-VTN31DRAFT_3	PF01717.25	GO:0003871,GO:0008270	8
gene-VTN31DRAFT_4	PF00120.30	GO:0004356	8
gene-VTN31DRAFT_5	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-VTN31DRAFT_6	PF09830.15,PF19327.5	GO:0003877	8
gene-VTN31DRAFT_7	PF01274.29,PF20656.3,PF20659.3	NA	100
gene-VTN31DRAFT_8	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene-VTN31DRAFT_9		NA	100
gene-VTN31DRAFT_10	PF07960.17	NA	100
gene-VTN31DRAFT_11	PF03650.20	GO:0005743,GO:0006850	6
gene-VTN31DRAFT_12	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-VTN31DRAFT_13	PF00303.25	NA	100
gene-VTN31DRAFT_14		NA	100
gene-VTN31DRAFT_t23		NA	100
gene-VTN31DRAFT_15	PF00025.28,PF00071.29,PF04670.19,PF08477.20,PF09439.17	GO:0003924,GO:0005525	8
gene-VTN31DRAFT_16		NA	100
gene-VTN31DRAFT_17	PF00005.34,PF00005.34,PF00385.31,PF24984.2,PF24987.2	GO:0005524,GO:0016887	8
gene-VTN31DRAFT_18	PF00463.28,PF13714.13	GO:0004451,GO:0019752	8
gene-VTN31DRAFT_19	PF00285.27	GO:0046912	8
gene-VTN31DRAFT_20	PF04055.28,PF06968.19	GO:0003824,GO:0051536	8
gene-VTN31DRAFT_21	PF00202.28,PF00202.28,PF13500.13	GO:0030170	100
gene-VTN31DRAFT_22	PF00155.28	GO:0009058,GO:0030170	8
gene-VTN31DRAFT_23	PF03972.20,PF19305.5	NA	100
gene-VTN31DRAFT_24	PF00145.24	GO:0008168	8
gene-VTN31DRAFT_25	PF00156.34,PF13522.13,PF13537.12	NA	100
gene-VTN31DRAFT_26	PF00730.32	GO:0006284	3
gene-VTN31DRAFT_27	PF00171.28	GO:0016491	8
gene-VTN31DRAFT_28		NA	100
gene-VTN31DRAFT_29		NA	100
gene-VTN31DRAFT_30		NA	100
gene-VTN31DRAFT_31		NA	100
gene-VTN31DRAFT_32	PF05873.18	GO:0015078,GO:0015986	6
gene-VTN31DRAFT_33	PF20684.4	NA	100
gene-VTN31DRAFT_34	PF01849.24,PF19026.8	NA	100
gene-VTN31DRAFT_35	PF00467.36,PF01929.24	GO:0003735,GO:0005840,GO:0006412	4
gene-VTN31DRAFT_36	PF03878.21	GO:0005789,GO:0006888	6
gene-VTN31DRAFT_37	PF00448.29,PF02881.25,PF03308.23,PF04086.21	GO:0003924,GO:0005047,GO:0005525,GO:0005785,GO:0006614,GO:0006886	6
gene-VTN31DRAFT_38	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-VTN31DRAFT_39		NA	100
gene-VTN31DRAFT_40	PF00561.27,PF12697.14	NA	100
gene-VTN31DRAFT_41	PF20684.4	NA	100
gene-VTN31DRAFT_42	PF01266.31	NA	100
gene-VTN31DRAFT_43	PF00076.29,PF14570.13	GO:0003723	4
gene-VTN31DRAFT_44	PF00329.26	GO:0008137	6
gene-VTN31DRAFT_45	PF30690.1	NA	100
gene-VTN31DRAFT_46	PF09073.16	NA	100
gene-VTN31DRAFT_47	PF01619.25	NA	100
gene-VTN31DRAFT_48		NA	100
gene-VTN31DRAFT_49	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-VTN31DRAFT_50		NA	100
gene-VTN31DRAFT_51		NA	100
gene-VTN31DRAFT_52	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-VTN31DRAFT_53	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-VTN31DRAFT_54		NA	100
gene-VTN31DRAFT_55		NA	100
gene-VTN31DRAFT_56	PF03702.21	GO:0005524,GO:0006040,GO:0009254,GO:0016773	8
gene-VTN31DRAFT_57	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-VTN31DRAFT_58	PF01209.25,PF08241.19,PF08242.19,PF13649.13,PF13847.13	GO:0008757	8
gene-VTN31DRAFT_59	PF01380.28	GO:0097367,GO:1901135	8
gene-VTN31DRAFT_60		NA	100
gene-VTN31DRAFT_61	PF01467.33	GO:0003824,GO:0009058	8
gene-VTN31DRAFT_62	PF00632.31,PF25579.2	GO:0004842	5
gene-VTN31DRAFT_63		NA	100
gene-VTN31DRAFT_64	PF09402.17,PF12949.14	NA	100
gene-VTN31DRAFT_65		NA	100
gene-VTN31DRAFT_66		NA	100
gene-VTN31DRAFT_67		NA	100
gene-VTN31DRAFT_68	PF11790.15	NA	100
gene-VTN31DRAFT_69		NA	100
gene-VTN31DRAFT_70		NA	100
gene-VTN31DRAFT_71	PF00646.39,PF12937.13	GO:0005515	100
gene-VTN31DRAFT_72		NA	100
gene-VTN31DRAFT_73	PF00646.39,PF12937.13	GO:0005515	100
gene-VTN31DRAFT_74	PF07808.19	NA	100
gene-VTN31DRAFT_t1		NA	100
gene-VTN31DRAFT_75	PF02207.26,PF18995.6,PF22960.3,PF30856.1	GO:0008270	100
gene-VTN31DRAFT_76		NA	100
gene-VTN31DRAFT_77	PF09282.16	NA	100
gene-VTN31DRAFT_78		NA	100
gene-VTN31DRAFT_79	PF14608.13,PF14608.13,PF14608.13,PF14608.13,PF22683.3	NA	100
gene-VTN31DRAFT_80	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VTN31DRAFT_81	PF00370.28,PF02782.23	GO:0005975,GO:0016301	3
gene-VTN31DRAFT_82	PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
gene-VTN31DRAFT_83	PF00722.29	GO:0004553,GO:0005975	8
gene-VTN31DRAFT_84		NA	100
gene-VTN31DRAFT_85	PF00211.26,PF00481.27,PF08509.17,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF23010.3	GO:0000287,GO:0004016,GO:0005515,GO:0006171,GO:0009190,GO:0035556	3
gene-VTN31DRAFT_86		NA	100
gene-VTN31DRAFT_87	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF25175.2	GO:0005515	100
gene-VTN31DRAFT_88	PF03372.30	GO:0003824	8
gene-VTN31DRAFT_89	PF01266.31,PF01946.24	NA	100
gene-VTN31DRAFT_90	PF01636.30	NA	100
gene-VTN31DRAFT_91	PF02541.23,PF23566.2	NA	100
gene-VTN31DRAFT_92		NA	100
gene-VTN31DRAFT_93		NA	100
gene-VTN31DRAFT_94		NA	100
gene-VTN31DRAFT_95		NA	100
gene-VTN31DRAFT_96	PF02689.21,PF21530.4	GO:0004386,GO:0005524	8
gene-VTN31DRAFT_97	PF00891.25,PF08100.19	GO:0008171,GO:0046983	8
gene-VTN31DRAFT_98	PF08241.19,PF08242.19,PF13489.13,PF13649.13	GO:0008757	8
gene-VTN31DRAFT_99	PF08549.16,PF20497.4,PF20497.4	GO:0006338	100
gene-VTN31DRAFT_100	PF07690.22	GO:0022857,GO:0055085	6
gene-VTN31DRAFT_101	PF13805.12	NA	100
gene-VTN31DRAFT_102	PF00227.32	GO:0005839,GO:0030163	8
