gene_id	pfam_ids	go_ids	bin_id
gene-BX666DRAFT_1873172		NA	100
gene-BX666DRAFT_1882885	PF13091.13	NA	100
gene-BX666DRAFT_1358	PF00557.30,PF05195.23	GO:0030145,GO:0070006	8
gene-BX666DRAFT_2016546	PF00588.25,PF25050.1	GO:0003723,GO:0006396,GO:0008173	4
gene-BX666DRAFT_1823921	PF01331.26,PF01331.26,PF03919.22	GO:0004484,GO:0005524,GO:0006370	8
gene-BX666DRAFT_t8		NA	100
gene-BX666DRAFT_1882931		NA	100
gene-BX666DRAFT_1882937	PF00226.37,PF09320.17	NA	100
gene-BX666DRAFT_2016549	PF00339.35,PF02752.28	NA	100
gene-BX666DRAFT_2090		NA	100
gene-BX666DRAFT_1848115	PF02862.23	GO:0046872	100
gene-BX666DRAFT_2021832	PF01253.28	GO:0003743,GO:0006413	8
gene-BX666DRAFT_1848144	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-BX666DRAFT_1836794	PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13637.13	GO:0005515	100
gene-BX666DRAFT_3396	PF04193.20,PF04193.20	NA	100
gene-BX666DRAFT_1846649	PF00929.32	NA	100
gene-BX666DRAFT_1883032	PF00004.36,PF07728.21,PF17862.8	GO:0005524,GO:0016887	8
gene-BX666DRAFT_1883048	PF01428.24,PF01428.24,PF25403.2	GO:0008270	100
gene-BX666DRAFT_2021838	PF03177.21,PF08801.18	NA	100
gene-BX666DRAFT_1883080		NA	100
gene-BX666DRAFT_1883108	PF00211.26,PF00481.27,PF00560.40,PF00788.30,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF23010.3	GO:0005515,GO:0007165,GO:0009190,GO:0035556	3
gene-BX666DRAFT_1883127	PF05182.19	NA	100
gene-BX666DRAFT_1834533	PF10375.15	NA	100
gene-BX666DRAFT_3985		NA	100
gene-BX666DRAFT_1846894	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-BX666DRAFT_1883161	PF09740.15,PF20867.4	NA	100
gene-BX666DRAFT_1883179	PF01522.27	GO:0005975,GO:0016810	8
gene-BX666DRAFT_1883182		NA	100
gene-BX666DRAFT_2108124	PF00010.32	GO:0046983	100
gene-BX666DRAFT_2021848		NA	100
gene-BX666DRAFT_1883206	PF13516.13	GO:0005515	100
gene-BX666DRAFT_2021850	PF10376.15	NA	100
gene-BX666DRAFT_1848173	PF03124.21	GO:0016020	100
gene-BX666DRAFT_5439	PF03105.25	NA	100
gene-BX666DRAFT_5854		NA	100
gene-BX666DRAFT_1883263	PF00773.26,PF17216.10,PF17849.8	GO:0003723,GO:0004540	1
gene-BX666DRAFT_6301		NA	100
gene-BX666DRAFT_1846751	PF09949.16	GO:0008195	8
gene-BX666DRAFT_1847301	PF00583.32,PF08445.17,PF13508.14,PF13673.14	GO:0016747	8
gene-BX666DRAFT_2016559	PF04095.23,PF17767.8	NA	100
gene-BX666DRAFT_2021857	PF01151.24	GO:0009922,GO:0016020	8
gene-BX666DRAFT_1848014	PF03061.29	NA	100
gene-BX666DRAFT_7679		NA	100
gene-BX666DRAFT_6822		NA	100
gene-BX666DRAFT_1846877	PF00149.34,PF16891.11	GO:0016787	8
gene-BX666DRAFT_1847509	PF02779.30,PF02780.26	NA	100
gene-BX666DRAFT_6825	PF00069.32,PF01163.29,PF07714.24	GO:0003824,GO:0004672,GO:0005524,GO:0006468	3
gene-BX666DRAFT_2126664	PF12998.13	NA	100
gene-BX666DRAFT_1846788	PF00250.25	GO:0003700,GO:0006355,GO:0043565	3
gene-BX666DRAFT_8773		NA	100
gene-BX666DRAFT_8821	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BX666DRAFT_1883413		NA	100
gene-BX666DRAFT_1883415		NA	100
gene-BX666DRAFT_2016568	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
gene-BX666DRAFT_1883433	PF01248.32	NA	100
gene-BX666DRAFT_1883435	PF03834.22,PF14520.13	NA	100
gene-BX666DRAFT_8977	PF02100.24	GO:0008073	100
gene-BX666DRAFT_2021869	PF00069.32,PF00069.32,PF00072.31,PF07714.24	GO:0000160,GO:0004672,GO:0005524,GO:0006468	3
gene-BX666DRAFT_1844377		NA	100
gene-BX666DRAFT_1883481	PF00320.34	GO:0006355,GO:0043565	4
gene-BX666DRAFT_1883482		NA	100
gene-BX666DRAFT_1883488	PF00122.26,PF00690.32	NA	100
gene-BX666DRAFT_9844	PF10343.15	NA	100
gene-BX666DRAFT_1873216		NA	100
gene-BX666DRAFT_1846665	PF03372.30	GO:0003824	8
gene-BX666DRAFT_1883517	PF00135.35,PF07859.20,PF12697.14,PF20434.6	GO:0016787	8
gene-BX666DRAFT_1883530	PF01253.28,PF17832.8,PF25304.2,PF26291.1,PF26292.1	GO:0003743,GO:0006413	8
gene-BX666DRAFT_2016574	PF04051.22	NA	100
gene-BX666DRAFT_1873220	PF00828.26,PF29471.1	NA	100
gene-BX666DRAFT_1847795	PF01096.24,PF07500.20,PF08711.17	GO:0003676,GO:0006351,GO:0008270	4
gene-BX666DRAFT_1846822	PF00169.36,PF00788.30,PF21989.3	GO:0007165	3
gene-BX666DRAFT_2108154		NA	100
gene-BX666DRAFT_1883589	PF26087.1,PF26087.1	NA	100
gene-BX666DRAFT_11396	PF01161.27	NA	100
gene-BX666DRAFT_2108157	PF14694.12	NA	100
gene-BX666DRAFT_1883612		NA	100
gene-BX666DRAFT_2021887	PF05439.18	GO:0016020	100
gene-BX666DRAFT_2021888		NA	100
gene-BX666DRAFT_1883632		NA	100
gene-BX666DRAFT_12714		NA	100
gene-BX666DRAFT_2021891	PF00617.25	GO:0005085,GO:0007264	3
gene-BX666DRAFT_1883646	PF00293.35	NA	100
gene-BX666DRAFT_1883651		NA	100
gene-BX666DRAFT_1883655	PF00249.38	NA	100
gene-BX666DRAFT_2021895	PF03707.22,PF03707.22,PF31008.1	NA	100
gene-BX666DRAFT_1883675	PF01844.30	GO:0003676,GO:0004519,GO:0008270	4
gene-BX666DRAFT_2021897	PF01593.31,PF13450.13	GO:0016491	8
gene-BX666DRAFT_1883694	PF01055.33,PF21365.4	GO:0004553,GO:0005975	8
gene-BX666DRAFT_2021899		NA	100
gene-BX666DRAFT_1819759		NA	100
gene-BX666DRAFT_13484		NA	100
gene-BX666DRAFT_2021902	PF13347.13	NA	100
gene-BX666DRAFT_2016580	PF07742.18	NA	100
gene-BX666DRAFT_2145845	PF01008.24	NA	100
