protein_id	length
GML000001_mRNA1	646
GML000101_mRNA1	214
GML000201_mRNA1	180
GML000301_mRNA1	418
GML000401_mRNA1	425
GML000501_mRNA1	786
GML000601_mRNA1	777
GML000701_mRNA1	1120
GML000801_mRNA1	282
GML000901_mRNA1	94
GML001001_mRNA1	318
GML001101_mRNA1	61
GML001201_mRNA1	202
GML001301_mRNA1	73
GML001401_mRNA1	644
GML001501_mRNA1	373
GML001601_mRNA1	175
GML001701_mRNA1	280
GML001801_mRNA1	361
GML001900_mRNA1	643
GML002001_mRNA1	139
GML002101_mRNA1	288
GML002201_mRNA1	161
GML002301_mRNA1	517
GML002401_mRNA1	337
GML002501_mRNA1	359
GML002601_mRNA1	150
GML002701_mRNA1	275
GML002801_mRNA1	1222
GML002901_mRNA1	403
GML003001_mRNA1	594
GML003101_mRNA1	1006
GML003201_mRNA1	472
GML003301_mRNA1	133
GML003401_mRNA1	507
GML003501_mRNA1	759
GML003601_mRNA1	318
GML003701_mRNA1	447
GML003801_mRNA1	395
GML003901_mRNA1	569
GML004001_mRNA1	777
GML004101_mRNA1	157
GML004201_mRNA1	271
GML004301_mRNA1	1316
GML004401_mRNA1	345
GML004501_mRNA1	1993
GML004601_mRNA1	568
GML004701_mRNA1	158
GML004801_mRNA1	458
GML004901_mRNA1	126
GML005001_mRNA1	229
GML005101_mRNA1	240
GML005201_mRNA1	228
GML005301_mRNA1	221
GML005401_mRNA1	178
GML005501_mRNA1	765
GML005601_mRNA1	267
GML005701_mRNA1	172
GML005801_mRNA1	1363
GML005901_mRNA1	502
GML006001_mRNA1	152
GML006101_mRNA1	324
GML006201_mRNA1	591
GML006301_mRNA1	267
GML006401_mRNA1	585
GML006501_mRNA1	939
GML006601_mRNA1	90
GML006701_mRNA1	120
GML006801_mRNA1	416
GML006901_mRNA1	138
GML007001_mRNA1	134
GML007101_mRNA1	910
GML007201_mRNA1	307
GML007301_mRNA1	369
GML007401_mRNA1	239
GML007501_mRNA1	1278
GML007601_mRNA1	698
GML007701_mRNA1	295
GML007801_mRNA1	406
GML007901_mRNA1	230
GML008001_mRNA1	297
GML008101_mRNA1	832
GML008201_mRNA1	816
GML008301_mRNA1	97
GML008401_mRNA1	220
GML008501_mRNA1	127
GML008601_mRNA1	291
GML008701_mRNA1	114
GML008801_mRNA1	53
GML008901_mRNA1	567
GML009001_mRNA1	115
