gene_id	pfam_ids	go_ids	bin_id
gene-BCV70DRAFT_155338	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCV70DRAFT_196675	PF08450.19	NA	100
gene-BCV70DRAFT_50	PF04145.21	GO:0005375,GO:0016020,GO:0035434	6
gene-BCV70DRAFT_196678		NA	100
gene-BCV70DRAFT_196680		NA	100
gene-BCV70DRAFT_209105	PF22847.4	NA	100
gene-BCV70DRAFT_145	PF00005.34,PF00005.34,PF12698.14	GO:0005524,GO:0016020,GO:0016887,GO:0140359	6
gene-BCV70DRAFT_203419	PF22847.4	NA	100
gene-BCV70DRAFT_196684	PF00743.26,PF07992.21,PF13434.13,PF13450.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene-BCV70DRAFT_196686	PF00432.28	GO:0003824	8
gene-BCV70DRAFT_196688	PF00488.28,PF01624.26,PF05188.24,PF05190.24,PF05192.24	GO:0005524,GO:0006298,GO:0030983	3
gene-BCV70DRAFT_154314	PF05648.20	GO:0005778,GO:0016559	100
gene-BCV70DRAFT_271	PF14832.12	NA	100
gene-BCV70DRAFT_251		NA	100
gene-BCV70DRAFT_196692	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23769.2,PF23869.2,PF23869.2	GO:0005515	100
gene-BCV70DRAFT_196693	PF00106.32,PF13561.13	NA	100
gene-BCV70DRAFT_336		NA	100
gene-BCV70DRAFT_234298	PF01192.28	GO:0003677,GO:0003899,GO:0006351	4
gene-BCV70DRAFT_155736	PF08551.17	GO:0006890,GO:0016020	6
gene-BCV70DRAFT_196699	PF01728.26,PF07780.18,PF11861.14	GO:0005634,GO:0006364,GO:0008168,GO:0032259	8
gene-BCV70DRAFT_196700	PF00076.29,PF08662.18	GO:0003723	4
gene-BCV70DRAFT_214019		NA	100
gene-BCV70DRAFT_196701	PF12333.15	NA	100
gene-BCV70DRAFT_196702	PF08238.19,PF08238.19,PF08238.19	NA	100
gene-BCV70DRAFT_196703	PF12706.14	NA	100
gene-BCV70DRAFT_196704	PF13516.13	GO:0005515	100
gene-BCV70DRAFT_196706	PF00009.34,PF00679.31,PF03144.32,PF03764.25,PF14492.13,PF22042.3	GO:0003924,GO:0005525	8
gene-BCV70DRAFT_607	PF00562.34,PF04560.26,PF04561.20,PF04563.21,PF04565.22,PF04566.19,PF04567.23	GO:0003677,GO:0003899,GO:0006351	4
gene-BCV70DRAFT_196708	PF10197.15,PF12542.14	NA	100
gene-BCV70DRAFT_203434		NA	100
gene-BCV70DRAFT_595		NA	100
gene-BCV70DRAFT_647		NA	100
gene-BCV70DRAFT_196713	PF04034.19,PF04068.21	NA	100
gene-BCV70DRAFT_196714	PF00463.28,PF13714.13	GO:0004451,GO:0019752	8
gene-BCV70DRAFT_700		NA	100
gene-BCV70DRAFT_701	PF01474.23	GO:0003849,GO:0009073	8
gene-BCV70DRAFT_712	PF00096.33	NA	100
gene-BCV70DRAFT_196717		NA	100
gene-BCV70DRAFT_196719		NA	100
gene-BCV70DRAFT_196720	PF00152.26	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
