protein_id	length
GML000001_mRNA1	401
GML000101_mRNA1	72
GML000201_mRNA1	646
GML000301_mRNA1	892
GML000401_mRNA1	703
GML000501_mRNA1	907
GML000601_mRNA1	159
GML000701_mRNA1	192
GML000801_mRNA1	126
GML000901_mRNA1	226
GML001001_mRNA1	1209
GML001101_mRNA1	760
GML001201_mRNA1	207
GML001301_mRNA1	1113
GML001401_mRNA1	292
GML001501_mRNA1	528
GML001601_mRNA1	831
GML001701_mRNA1	950
GML001801_mRNA1	248
GML001901_mRNA1	344
GML002001_mRNA1	1997
GML002101_mRNA1	533
GML002201_mRNA1	841
GML002301_mRNA1	577
GML002401_mRNA1	646
GML002501_mRNA1	551
GML002601_mRNA1	156
GML002702_mRNA1	162
GML002801_mRNA1	1313
GML002901_mRNA1	1299
GML003001_mRNA1	646
GML003101_mRNA1	241
GML003201_mRNA1	128
GML003301_mRNA1	545
GML003401_mRNA1	177
GML003501_mRNA1	2604
GML003601_mRNA1	97
GML003701_mRNA1	849
GML003801_mRNA1	688
GML003901_mRNA1	1247
GML004001_mRNA1	136
GML004101_mRNA1	302
GML004201_mRNA1	154
GML004301_mRNA1	278
GML004401_mRNA1	777
GML004501_mRNA1	426
GML004601_mRNA1	1306
GML004701_mRNA1	789
GML004801_mRNA1	1348
GML004901_mRNA1	645
GML005001_mRNA1	205
GML005101_mRNA1	2097
GML005201_mRNA1	220
GML005301_mRNA1	363
GML005401_mRNA1	521
GML005501_mRNA1	969
GML005601_mRNA1	706
GML005701_mRNA1	1007
GML005801_mRNA1	559
GML005901_mRNA1	1449
GML006001_mRNA1	528
GML006101_mRNA1	285
GML006201_mRNA1	237
GML006301_mRNA1	1128
GML006401_mRNA1	1856
GML006501_mRNA1	2198
