gene_id	pfam_ids	go_ids	bin_id
GML000001	PF05368.20,PF13460.13	NA	100
GML000002	PF16499.12,PF17801.8	GO:0004553,GO:0005975	8
GML000003	PF20684.4	NA	100
GML000004	PF00135.35,PF20434.6	NA	100
GML000005	PF02875.27,PF02875.27,PF27239.2,PF27239.2	GO:0009058,GO:0016881	8
GML000006		NA	100
GML000007		NA	100
GML000008	PF00296.27	GO:0016705	8
GML000009		NA	100
GML000010		NA	100
GML000011		NA	100
GML000012		NA	100
GML000013	PF05637.19,PF05637.19	GO:0016020,GO:0016757	8
GML000014	PF06964.19,PF22848.3	GO:0046373,GO:0046556	8
GML000015	PF20684.4,PF20684.4	NA	100
GML000016	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000017	PF06283.18,PF06283.18	NA	100
GML000018	PF00024.33	NA	100
GML000019	PF01565.29,PF01565.29	GO:0050660	100
GML000020		NA	100
GML000021	PF28504.1	NA	100
GML000022		NA	100
GML000023	PF01565.29	GO:0050660	100
GML000024	PF00857.27	NA	100
GML000025		NA	100
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
GML000030	PF02383.24	GO:0016791	8
GML000031		NA	100
GML000032	PF09731.15,PF09731.15	NA	100
GML000033	PF20684.4	NA	100
GML000034	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
GML000035	PF01301.26,PF01301.26,PF10435.16,PF10435.16,PF13363.12,PF13363.12,PF13364.13,PF13364.13,PF13364.13,PF13364.13	NA	100
GML000036	PF00082.28,PF09286.17	GO:0006508,GO:0008236	5
GML000037	PF08450.19	NA	100
GML000038		NA	100
GML000039		NA	100
GML000040	PF00928.27	NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044		NA	100
GML000045	PF07524.20,PF07524.20,PF10406.15,PF10406.15	NA	100
GML000046		NA	100
GML000047		NA	100
GML000048	PF12824.14	NA	100
GML000049	PF01546.34,PF01546.34,PF01546.34,PF07687.20,PF07687.20,PF07687.20	GO:0016787	8
GML000050	PF01501.27,PF01501.27	GO:0016757	8
GML000051	PF00875.25,PF03441.20	NA	100
GML000052	PF27504.1,PF27504.1	NA	100
GML000053	PF06985.18,PF26639.1	NA	100
GML000054	PF00067.28,PF00111.33,PF00970.31	GO:0004497,GO:0005506,GO:0016705,GO:0020037,GO:0051536	2
GML000055	PF00083.31,PF00083.31,PF06609.19,PF06609.19,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000056	PF01988.25,PF01988.25	GO:0005384,GO:0030026	6
GML000057	PF00149.34,PF14008.12,PF16656.12	GO:0003993,GO:0016787,GO:0046872	8
GML000058		NA	100
GML000059	PF30466.1	NA	100
GML000060	PF10294.16	NA	100
GML000061	PF13489.13,PF13847.13	NA	100
GML000062		NA	100
GML000063		NA	100
GML000064		NA	100
GML000065	PF13664.12	NA	100
GML000066		NA	100
GML000067		NA	100
