gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BJ165DRAFT_1604900	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1604900	PF08302.17,PF08303.18,PF09511.16	Complete	None
gene-BJ165DRAFT_67	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA67	PF01399.34	Partial	None
gene-BJ165DRAFT_1417762	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417762	PF00734.24,PF00734.24	Complete	None
gene-BJ165DRAFT_1334292	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1334292		None	None
gene-BJ165DRAFT_1604902	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1604902		None	None
gene-BJ165DRAFT_1334964	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1334964	PF00331.27	Partial	None
gene-BJ165DRAFT_1588372	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1588372		None	None
gene-BJ165DRAFT_1417772	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417772		None	None
gene-BJ165DRAFT_1335673	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1335673	PF20151.5	Partial	None
gene-BJ165DRAFT_1397345	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1397345		None	None
gene-BJ165DRAFT_1535939	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1535939		None	None
gene-BJ165DRAFT_1417791	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417791		None	None
gene-BJ165DRAFT_391	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA391		None	None
gene-BJ165DRAFT_421	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA421		None	None
gene-BJ165DRAFT_445	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA445		None	None
gene-BJ165DRAFT_1335227	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1335227	PF02128.22	Partial	None
gene-BJ165DRAFT_1520408	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520408	PF20151.5	Partial	None
gene-BJ165DRAFT_1520409	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520409		None	None
gene-BJ165DRAFT_1520410	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520410		None	None
gene-BJ165DRAFT_1520411	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520411		None	None
gene-BJ165DRAFT_1378472	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1378472	PF00150.25,PF00734.24	Partial	None
gene-BJ165DRAFT_1417878	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417878	PF00025.28,PF00503.27	Complete	None
gene-BJ165DRAFT_955	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA955		None	None
gene-BJ165DRAFT_1520414	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520414	PF05719.17	Partial	None
gene-BJ165DRAFT_1041	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1041		None	None
gene-BJ165DRAFT_1417909	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417909		None	None
gene-BJ165DRAFT_1378480	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1378480		None	None
gene-BJ165DRAFT_1417911	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1417911	PF00467.36,PF01929.24	Partial	None
gene-BJ165DRAFT_1520419	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520419		None	None
gene-BJ165DRAFT_1520420	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520420		None	None
gene-BJ165DRAFT_1397360	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1397360		None	None
gene-BJ165DRAFT_1334392	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1334392	PF02798.27,PF13409.13,PF13417.13	Partial	None
gene-BJ165DRAFT_1333826	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1333826	PF03178.22,PF10433.16,PF23726.2	Complete	None
gene-BJ165DRAFT_1730	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1730	PF01425.27	Partial	None
gene-BJ165DRAFT_1322173	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1322173		None	None
gene-BJ165DRAFT_1666	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1666	PF00270.36,PF00271.38,PF16124.11	Complete	None
gene-BJ165DRAFT_1604929	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1604929	PF02133.22	Partial	None
gene-BJ165DRAFT_t13	gene-BJ165DRAFT_t13		None	None
gene-BJ165DRAFT_1520429	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520429	PF05859.18	Partial	None
gene-BJ165DRAFT_1883	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1883		None	None
gene-BJ165DRAFT_1397369	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1397369		None	None
gene-BJ165DRAFT_1520432	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1520432		None	None
gene-BJ165DRAFT_1963	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1963		None	None
gene-BJ165DRAFT_1397371	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1397371		None	None
gene-BJ165DRAFT_1411514	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1411514	PF04982.20	Partial	None
gene-BJ165DRAFT_1418014	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1418014		None	None
gene-BJ165DRAFT_1604935	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1604935		None	None
gene-BJ165DRAFT_1319512	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1319512	PF00067.28	Partial	None
gene-BJ165DRAFT_1418028	rna-gnl|WGS:JADNRZ|BJ165DRAFT_mRNA1418028	PF00067.28	Partial	None
