protein_id	length
rna-XM_066906601.1	241
rna-XM_066902086.1	485
rna-XM_066902149.1	282
rna-XM_066902218.1	429
rna-XM_066902281.1	416
rna-XM_066901740.1	613
rna-XM_066905879.1	115
rna-XM_066906531.1	774
rna-XM_066906590.1	270
rna-XM_066905895.1	439
rna-XM_066906534.1	1204
rna-XM_066905905.1	298
rna-XM_066900765.1	1095
rna-XM_066902859.1	82
rna-XM_066902925.1	130
rna-XM_066902993.1	304
rna-XM_066900812.1	250
rna-XM_066903116.1	75
rna-XM_066901346.1	422
rna-XM_066903236.1	262
rna-XM_066906494.1	219
rna-XM_066900902.1	349
rna-XM_066903417.1	453
rna-XM_066903479.1	487
rna-XM_066903550.1	323
rna-XM_066901408.1	333
rna-XM_066903683.1	218
rna-XM_066903755.1	88
rna-XM_066901909.1	261
rna-XM_066906425.1	497
rna-XM_066903950.1	319
rna-XM_066904015.1	450
rna-XM_066901029.1	261
rna-XM_066901433.1	326
rna-XM_066904202.1	286
rna-XM_066901439.1	522
rna-XM_066904341.1	258
rna-XM_066904408.1	549
rna-XM_066906065.1	1322
rna-XM_066901943.1	218
rna-XM_066904592.1	453
rna-XM_066904655.1	547
rna-XM_066901153.1	106
rna-XM_066904772.1	181
rna-XM_066906093.1	364
rna-XM_066904901.1	526
rna-XM_066901812.1	495
rna-XM_066901532.1	411
rna-XM_066906683.1	2412
rna-XM_066901553.1	1342
rna-XM_066905203.1	1055
rna-XM_066905267.1	366
rna-XM_066905330.1	437
rna-XM_066901576.1	97
rna-XM_066905454.1	523
rna-XM_066901724.1	463
rna-XM_066906579.1	521
rna-XM_066905637.1	1157
rna-XM_066905700.1	252
rna-XM_066905762.1	212
rna-XM_066905823.1	440
