gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-P171DRAFT_425688	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA425688		None	None
gene-P171DRAFT_400477	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA400477	PF01636.30	Partial	None
gene-P171DRAFT_37	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA37		None	None
gene-P171DRAFT_437942	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437942	PF03443.21	Partial	None
gene-P171DRAFT_450165	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA450165	PF00067.28	Partial	None
gene-P171DRAFT_515235	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA515235	PF20684.4	Partial	None
gene-P171DRAFT_459317	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA459317		None	None
gene-P171DRAFT_425694	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA425694	PF06609.19,PF07690.22	Partial	None
gene-P171DRAFT_437946	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437946		None	None
gene-P171DRAFT_467812	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA467812		None	None
gene-P171DRAFT_346726	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA346726	PF01699.30,PF01699.30	Partial	None
gene-P171DRAFT_467813	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA467813		None	None
gene-P171DRAFT_459319	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA459319	PF00083.31,PF07690.22	Partial	None
gene-P171DRAFT_425699	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA425699	PF03061.29	Partial	None
gene-P171DRAFT_425700	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA425700	PF02410.23	Partial	None
gene-P171DRAFT_346610	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA346610	PF04981.20,PF21192.4,PF21193.4,PF29994.1	Complete	None
gene-P171DRAFT_276	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA276		None	None
gene-P171DRAFT_425702	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA425702	PF03198.21,PF07983.19	Complete	None
gene-P171DRAFT_212	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA212	PF20566.4	Partial	None
gene-P171DRAFT_375159	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA375159	PF11707.14,PF16201.11,PF26140.1	Complete	None
gene-P171DRAFT_400508	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA400508	PF06609.19,PF07690.22	Partial	None
gene-P171DRAFT_467820	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA467820	PF27751.1	Complete	None
gene-P171DRAFT_478233	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA478233		None	None
gene-P171DRAFT_515249	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA515249		None	None
gene-P171DRAFT_437958	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437958		None	None
gene-P171DRAFT_437959	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437959		None	None
gene-P171DRAFT_346489	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA346489		None	None
gene-P171DRAFT_437960	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437960		None	None
gene-P171DRAFT_467821	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA467821	PF14328.12	Partial	None
gene-P171DRAFT_418	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA418		None	None
gene-P171DRAFT_417	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA417		None	None
gene-P171DRAFT_414	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA414		None	None
gene-P171DRAFT_478240	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA478240		None	None
gene-P171DRAFT_437968	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA437968		None	None
gene-P171DRAFT_375173	rna-gnl|WGS:JAAEJB|P171DRAFT_mRNA375173	PF23190.2,PF23317.2	Partial	None
