protein_id	length
GML000001_mRNA1	245
GML000101_mRNA1	217
GML000201_mRNA1	619
GML000301_mRNA1	438
GML000401_mRNA1	410
GML000501_mRNA1	286
GML000601_mRNA1	186
GML000701_mRNA1	299
GML000801_mRNA1	1056
GML000901_mRNA1	360
GML001001_mRNA1	622
GML001101_mRNA1	2080
GML001201_mRNA1	555
GML001301_mRNA1	206
GML001401_mRNA1	170
GML001501_mRNA1	235
GML001601_mRNA1	330
GML001701_mRNA1	100
GML001801_mRNA1	88
GML001901_mRNA1	1023
GML002001_mRNA1	3875
GML002101_mRNA1	152
GML002201_mRNA1	472
GML002301_mRNA1	210
GML002401_mRNA1	742
GML002501_mRNA1	737
GML002601_mRNA1	448
GML002701_mRNA1	477
GML002801_mRNA1	84
GML002901_mRNA1	529
GML003001_mRNA1	642
GML003101_mRNA1	371
GML003201_mRNA1	388
GML003301_mRNA1	142
GML003401_mRNA1	388
GML003501_mRNA1	163
GML003601_mRNA1	314
GML003701_mRNA1	337
GML003801_mRNA1	131
GML003901_mRNA1	96
GML004001_mRNA1	647
GML004101_mRNA1	122
GML004201_mRNA1	365
GML004301_mRNA1	66
GML004401_mRNA1	475
GML004501_mRNA1	462
GML004601_mRNA1	311
GML004701_mRNA1	86
GML004801_mRNA1	2288
GML004901_mRNA1	924
GML005001_mRNA1	282
GML005101_mRNA1	282
GML005201_mRNA1	599
GML005301_mRNA1	530
GML005401_mRNA1	740
GML005501_mRNA1	61
GML005601_mRNA1	945
GML005701_mRNA1	564
GML005801_mRNA1	445
GML005901_mRNA1	576
GML006001_mRNA1	826
GML006101_mRNA1	392
GML006201_mRNA1	420
GML006301_mRNA1	369
GML006401_mRNA1	208
GML006501_mRNA1	981
GML006601_mRNA1	931
GML006701_mRNA1	435
GML006801_mRNA1	211
GML006901_mRNA1	484
GML007001_mRNA1	250
GML007101_mRNA1	472
GML007201_mRNA1	686
GML007301_mRNA1	1272
GML007401_mRNA1	716
GML007501_mRNA1	233
GML007601_mRNA1	323
GML007701_mRNA1	475
GML007801_mRNA1	558
GML007901_mRNA1	1416
GML008001_mRNA1	564
GML008101_mRNA1	288
GML008201_mRNA1	577
GML008301_mRNA1	50
GML008401_mRNA1	660
GML008501_mRNA1	1713
GML008601_mRNA1	753
GML008701_mRNA1	139
GML008801_mRNA1	830
GML008901_mRNA1	305
GML009001_mRNA1	415
GML009101_mRNA1	874
GML009201_mRNA1	627
GML009301_mRNA1	277
GML009401_mRNA1	828
GML009501_mRNA1	120
GML009601_mRNA1	265
GML009701_mRNA1	270
GML009801_mRNA1	307
GML009901_mRNA1	637
GML010001_mRNA1	95
GML010101_mRNA1	1785
GML010201_mRNA1	309
GML010301_mRNA1	748
GML010401_mRNA1	272
GML010501_mRNA1	415
GML010601_mRNA1	161
GML010701_mRNA1	535
GML010801_mRNA1	337
GML010901_mRNA1	152
GML011001_mRNA1	448
GML011101_mRNA1	726
GML011201_mRNA1	609
