protein_id	length
rna-XM_076638231.1	407
rna-XM_076636755.1	297
rna-XM_076638315.1	150
rna-XM_076637631.1	393
rna-XM_076638414.1	427
rna-XM_076638457.1	680
rna-XM_076638498.1	371
rna-XM_076645265.1	159
rna-XM_076642955.1	184
rna-XM_076644039.1	1030
rna-XM_076638671.1	177
rna-XM_076638714.1	332
rna-XM_076643003.1	508
rna-XM_076638802.1	576
rna-XM_076638853.1	184
rna-XM_076638909.1	319
rna-XM_076638961.1	337
rna-XM_076638031.1	492
rna-XM_076637092.1	310
rna-XM_076636665.1	411
rna-XM_076644110.1	655
rna-XM_076639173.1	585
rna-XM_076643124.1	458
rna-XM_076644440.1	609
rna-XM_076636824.1	727
rna-XM_076636866.1	782
rna-XM_076644451.1	916
rna-XM_076637317.1	366
rna-XM_076639526.1	226
rna-XM_076639572.1	825
rna-XM_076636953.1	498
rna-XM_076639673.1	175
rna-XM_076639723.1	162
rna-XM_076639772.1	625
rna-XM_076639825.1	335
rna-XM_076639882.1	531
rna-XM_076643274.1	765
rna-XM_076639987.1	299
rna-XM_076644535.1	392
rna-XM_076640084.1	391
rna-XM_076637376.1	560
rna-XM_076638081.1	247
rna-XM_076637386.1	461
rna-XM_076640257.1	549
rna-XM_076644959.1	568
rna-XM_076640355.1	580
rna-XM_076644993.1	175
rna-XM_076640468.1	623
rna-XM_076643425.1	304
rna-XM_076637885.1	562
rna-XM_076640607.1	468
rna-XM_076640654.1	184
rna-XM_076640704.1	107
rna-XM_076640744.1	1069
rna-XM_076643502.1	574
rna-XM_076643510.1	628
rna-XM_076644170.1	592
rna-XM_076640913.1	798
rna-XM_076635816.1	2045
rna-XM_076641004.1	252
rna-XM_076641054.1	335
rna-XM_076643582.1	71
rna-XM_076641141.1	128
rna-XM_076641194.1	367
rna-XM_076635946.1	1258
rna-XM_076641282.1	91
rna-XM_076637066.1	72
rna-XM_076641382.1	603
rna-XM_076637501.1	227
rna-XM_076643679.1	290
rna-XM_076637511.1	258
rna-XM_076641555.1	1833
rna-XM_076644208.1	888
rna-XM_076644782.1	280
rna-XM_076644793.1	102
rna-XM_076641733.1	367
rna-XM_076641779.1	513
rna-XM_076637536.1	132
rna-XM_076642849.1	639
rna-XM_076637773.1	142
rna-XM_076644833.1	279
rna-XM_076643828.1	79
rna-XM_076637780.1	187
rna-XM_076642104.1	448
rna-XM_076636435.1	622
rna-XM_076642183.1	1120
rna-XM_076636519.1	285
rna-XM_076642294.1	726
rna-XM_076636549.1	257
rna-XM_076642396.1	70
rna-XM_076638211.1	1353
rna-XM_076642480.1	1146
rna-XM_076644904.1	420
rna-XM_076642572.1	372
rna-XM_076642614.1	773
rna-XM_076643999.1	169
