protein_id	length
GML000001_mRNA1	1440
GML000101_mRNA1	228
GML000201_mRNA1	279
GML000301_mRNA1	844
GML000401_mRNA1	268
GML000501_mRNA1	319
GML000601_mRNA1	136
GML000701_mRNA1	346
GML000801_mRNA1	236
GML000901_mRNA1	791
GML001001_mRNA1	318
GML001101_mRNA1	602
GML001201_mRNA1	385
GML001301_mRNA1	395
GML001401_mRNA1	829
GML001501_mRNA1	493
GML001601_mRNA1	508
GML001701_mRNA1	681
GML001801_mRNA1	109
GML001901_mRNA1	201
GML002001_mRNA1	586
GML002101_mRNA1	264
GML002201_mRNA1	497
GML002301_mRNA1	698
GML002401_mRNA1	280
GML002501_mRNA1	228
GML002601_mRNA1	669
GML002701_mRNA1	432
GML002801_mRNA1	252
GML002901_mRNA1	103
GML003001_mRNA1	239
GML003101_mRNA1	725
GML003201_mRNA1	1190
GML003301_mRNA1	247
GML003401_mRNA1	242
GML003501_mRNA1	514
GML003601_mRNA1	225
GML003701_mRNA1	388
GML003801_mRNA1	376
GML003901_mRNA1	559
GML004001_mRNA1	513
GML004101_mRNA1	612
GML004201_mRNA1	265
GML004301_mRNA1	408
GML004401_mRNA1	305
GML004501_mRNA1	255
GML004601_mRNA1	1264
GML004701_mRNA1	1054
GML004801_mRNA1	442
GML004901_mRNA1	1165
GML005001_mRNA1	271
GML005101_mRNA1	606
GML005201_mRNA1	287
GML005301_mRNA1	95
GML005401_mRNA1	126
GML005501_mRNA1	787
GML005601_mRNA1	120
GML005701_mRNA1	273
GML005801_mRNA1	418
GML005901_mRNA1	134
GML006001_mRNA1	749
GML006101_mRNA1	428
GML006201_mRNA1	1013
GML006301_mRNA1	86
GML006401_mRNA1	255
GML006501_mRNA1	458
GML006601_mRNA1	68
GML006701_mRNA1	717
GML006801_mRNA1	331
GML006901_mRNA1	461
GML007001_mRNA1	1112
GML007101_mRNA1	392
GML007201_mRNA1	546
GML007301_mRNA1	494
GML007401_mRNA1	883
GML007501_mRNA1	592
GML007601_mRNA1	479
GML007701_mRNA1	696
GML007801_mRNA1	362
GML007900_mRNA1	1223
GML008001_mRNA1	188
GML008101_mRNA1	199
GML008201_mRNA1	379
GML008301_mRNA1	1073
GML008401_mRNA1	287
GML008501_mRNA1	78
GML008601_mRNA1	584
GML008701_mRNA1	715
GML008801_mRNA1	310
GML008901_mRNA1	160
GML009001_mRNA1	181
GML009101_mRNA1	247
GML009201_mRNA1	208
GML009301_mRNA1	406
GML009401_mRNA1	141
GML009501_mRNA1	558
GML009601_mRNA1	311
GML009701_mRNA1	297
GML009801_mRNA1	229
GML009901_mRNA1	840
GML010001_mRNA1	341
GML010101_mRNA1	266
GML010201_mRNA1	164
GML010301_mRNA1	340
GML010402_mRNA1	600
GML010501_mRNA1	716
GML010601_mRNA1	250
GML010701_mRNA1	218
GML010801_mRNA1	571
GML010901_mRNA1	398
GML011001_mRNA1	329
GML011101_mRNA1	370
GML011201_mRNA1	573
GML011301_mRNA1	883
GML011401_mRNA1	154
GML011501_mRNA1	303
GML011601_mRNA1	406
GML011701_mRNA1	999
GML011801_mRNA1	577
GML011901_mRNA1	430
GML012001_mRNA1	728
GML012101_mRNA1	461
GML012201_mRNA1	428
GML012301_mRNA1	235
GML012401_mRNA1	372
GML012501_mRNA1	303
GML012601_mRNA1	501
GML012701_mRNA1	229
GML012801_mRNA1	294
GML012901_mRNA1	830
GML013000_mRNA1	432
GML013101_mRNA1	203
GML013201_mRNA1	1195
GML013301_mRNA1	413
GML013401_mRNA1	175
GML013501_mRNA1	820
GML013601_mRNA1	404
GML013701_mRNA1	343
GML013801_mRNA1	1293
GML013901_mRNA1	778
GML014001_mRNA1	312
GML014101_mRNA1	587
GML014201_mRNA1	438
GML014301_mRNA1	558
GML014401_mRNA1	389
GML014501_mRNA1	800
GML014601_mRNA1	883
GML014701_mRNA1	349
GML014801_mRNA1	227
GML014901_mRNA1	466
