gene_id	pfam_ids	go_ids	bin_id
gene-GGR56DRAFT_611492		NA	100
gene-GGR56DRAFT_611494	PF02146.24	GO:0070403	100
gene-GGR56DRAFT_668520		NA	100
gene-GGR56DRAFT_81		NA	100
gene-GGR56DRAFT_611503		NA	100
gene-GGR56DRAFT_668521	PF00248.28	NA	100
gene-GGR56DRAFT_668522	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-GGR56DRAFT_611508	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-GGR56DRAFT_611510	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-GGR56DRAFT_611518	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-GGR56DRAFT_662334	PF01116.27	GO:0005975,GO:0008270,GO:0016832	8
gene-GGR56DRAFT_679243		NA	100
gene-GGR56DRAFT_611525	PF01073.26,PF01370.28,PF04321.24,PF16363.12	GO:0006694,GO:0016616	8
gene-GGR56DRAFT_679247	PF00106.32,PF00106.32,PF08659.17,PF13561.13	NA	100
gene-GGR56DRAFT_679251	PF09206.19	GO:0031221,GO:0046556	8
gene-GGR56DRAFT_668531		NA	100
gene-GGR56DRAFT_611542	PF00891.25,PF08100.19	GO:0008171,GO:0046983	8
gene-GGR56DRAFT_668533	PF11991.14	GO:0009820,GO:0016765	8
gene-GGR56DRAFT_662340	PF00891.25	GO:0008171	8
gene-GGR56DRAFT_330	PF13641.13	NA	100
gene-GGR56DRAFT_611552	PF02668.23	GO:0016491	8
gene-GGR56DRAFT_611556	PF07690.22	GO:0022857,GO:0055085	6
gene-GGR56DRAFT_358		NA	100
gene-GGR56DRAFT_365		NA	100
gene-GGR56DRAFT_379		NA	100
gene-GGR56DRAFT_668539		NA	100
gene-GGR56DRAFT_679267	PF09995.16	GO:0016491	8
gene-GGR56DRAFT_544	PF12505.15	NA	100
gene-GGR56DRAFT_421	PF00173.34	NA	100
gene-GGR56DRAFT_668542	PF02991.23,PF04110.20	GO:0000045,GO:0005737	100
gene-GGR56DRAFT_668543	PF26534.1	NA	100
gene-GGR56DRAFT_662349	PF00400.39	GO:0005515	100
gene-GGR56DRAFT_593	PF06985.18	NA	100
gene-GGR56DRAFT_661		NA	100
gene-GGR56DRAFT_611589	PF01239.29,PF01239.29,PF01239.29,PF01239.29	GO:0008318,GO:0018342	8
gene-GGR56DRAFT_662351		NA	100
gene-GGR56DRAFT_711		NA	100
gene-GGR56DRAFT_668549		NA	100
gene-GGR56DRAFT_668550		NA	100
gene-GGR56DRAFT_952	PF07896.18	NA	100
gene-GGR56DRAFT_954	PF03815.25,PF08642.17	NA	100
gene-GGR56DRAFT_611603		NA	100
gene-GGR56DRAFT_997	PF00107.33,PF13602.13,PF16884.11	NA	100
gene-GGR56DRAFT_662354	PF00780.29,PF10366.16,PF10367.16	NA	100
gene-GGR56DRAFT_1031	PF08539.17	NA	100
gene-GGR56DRAFT_611622	PF05935.18,PF14269.13	GO:0004062	8
gene-GGR56DRAFT_679320	PF01803.22	NA	100
gene-GGR56DRAFT_662358	PF00939.26,PF03105.25,PF03105.25,PF03600.23	GO:0016020,GO:0022857,GO:0055085	6
gene-GGR56DRAFT_1546	PF00174.26,PF03404.23	GO:0016491,GO:0030151	8
gene-GGR56DRAFT_1530	PF15891.12	NA	100
gene-GGR56DRAFT_679322		NA	100
gene-GGR56DRAFT_1669	PF11911.14	NA	100
