gene_id	pfam_ids	go_ids	bin_id
gene-VKT23_000001	PF18803.7	NA	100
gene-VKT23_000002		NA	100
gene-VKT23_000003		NA	100
gene-VKT23_000004		NA	100
gene-VKT23_000005	PF01565.29	GO:0050660	100
gene-VKT23_000006		NA	100
gene-VKT23_000007		NA	100
gene-VKT23_000008		NA	100
gene-VKT23_000009		NA	100
gene-VKT23_000010		NA	100
gene-VKT23_000011		NA	100
gene-VKT23_000012		NA	100
gene-VKT23_000013		NA	100
gene-VKT23_000014		NA	100
gene-VKT23_000015	PF01185.24	GO:0005199,GO:0009277	7
gene-VKT23_000016		NA	100
gene-VKT23_000017	PF24855.2	NA	100
gene-VKT23_000018		NA	100
gene-VKT23_000019	PF12340.14,PF12359.14,PF20255.4	NA	100
gene-VKT23_000020	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VKT23_000021		NA	100
gene-VKT23_000022		NA	100
gene-VKT23_000023		NA	100
gene-VKT23_000024		NA	100
gene-VKT23_000025	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VKT23_000026	PF20152.5	NA	100
gene-VKT23_000027	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-VKT23_000028		NA	100
gene-VKT23_000029	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VKT23_000030	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VKT23_000031		NA	100
gene-VKT23_000032		NA	100
gene-VKT23_000033	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-VKT23_000034		NA	100
gene-VKT23_000035		NA	100
gene-VKT23_000036		NA	100
gene-VKT23_000037	PF01185.24	GO:0005199,GO:0009277	7
gene-VKT23_000039	PF20236.4	NA	100
gene-VKT23_000040	PF00153.33,PF00153.33	NA	100
gene-VKT23_000041	PF11443.14,PF25043.1	NA	100
gene-VKT23_000042	PF01073.26,PF01370.28,PF07993.19,PF13460.13,PF16363.12	GO:0006694,GO:0016616	8
gene-VKT23_000043	PF01073.26,PF01370.28,PF07993.19,PF13460.13,PF16363.12	GO:0006694,GO:0016616	8
gene-VKT23_000044	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-VKT23_000045	PF00348.23	GO:0004659,GO:0008299	8
gene-VKT23_000046	PF00350.30,PF01031.26,PF01031.26,PF02212.24	GO:0003924,GO:0005525	8
gene-VKT23_000047		NA	100
gene-VKT23_000048	PF00505.26	NA	100
gene-VKT23_000049		NA	100
gene-VKT23_000050	PF00150.25	GO:0000272,GO:0004553	8
gene-VKT23_000051	PF01285.25	GO:0003700,GO:0006355	3
gene-VKT23_000052		NA	100
gene-VKT23_000053	PF04734.19,PF17048.12	NA	100
gene-VKT23_000055	PF01756.25,PF14749.12,PF22924.2	GO:0003997,GO:0005777,GO:0006635	8
gene-VKT23_000056	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-VKT23_000057		NA	100
gene-VKT23_000058		NA	100
gene-VKT23_000059		NA	100
gene-VKT23_000060		NA	100
gene-VKT23_000061	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-VKT23_000062		NA	100
gene-VKT23_000063		NA	100
gene-VKT23_000064	PF00240.30	GO:0005515	100
gene-VKT23_000065		NA	100
gene-VKT23_000066		NA	100
gene-VKT23_000067	PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF06422.19,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
gene-VKT23_000068	PF00005.34,PF01061.30,PF14510.12	GO:0005524,GO:0016020,GO:0016887,GO:0140359	6
gene-VKT23_000069	PF00328.28	NA	100
gene-VKT23_000070	PF26792.1,PF26792.1	NA	100
gene-VKT23_000071		NA	100
gene-VKT23_000072		NA	100
gene-VKT23_000073		NA	100
gene-VKT23_000074	PF00656.28,PF31181.1	GO:0004197,GO:0006508	5
gene-VKT23_000075		NA	100
gene-VKT23_000076		NA	100
gene-VKT23_000077		NA	100
gene-VKT23_000078		NA	100
gene-VKT23_000079		NA	100
gene-VKT23_000080		NA	100
gene-VKT23_000081		NA	100
gene-VKT23_000082	PF18759.8	NA	100
gene-VKT23_000083	PF18759.8	NA	100
gene-VKT23_000084		NA	100
gene-VKT23_000085	PF18758.8	NA	100
gene-VKT23_000086		NA	100
gene-VKT23_000087		NA	100
gene-VKT23_000088		NA	100
gene-VKT23_000089		NA	100
gene-VKT23_000090	PF20149.5	NA	100
gene-VKT23_000091		NA	100
gene-VKT23_000092		NA	100
gene-VKT23_000093		NA	100
gene-VKT23_000094		NA	100
gene-VKT23_000095	PF24764.2	NA	100
gene-VKT23_000096		NA	100
gene-VKT23_000097	PF00328.28	NA	100
gene-VKT23_000098		NA	100
gene-VKT23_000099		NA	100
gene-VKT23_000100	PF00656.28,PF31181.1	GO:0004197,GO:0006508	5
gene-VKT23_000101		NA	100
gene-VKT23_000102		NA	100
gene-VKT23_000103		NA	100
gene-VKT23_000104	PF13414.13	NA	100
gene-VKT23_000105	PF12074.14,PF23271.2,PF23271.2,PF23271.2,PF24916.2,PF24984.2,PF24987.2,PF24987.2,PF24993.2,PF26715.1	NA	100
gene-VKT23_000106	PF04303.19,PF04303.19	NA	100
gene-VKT23_000107	PF10282.16	NA	100
gene-VKT23_000108	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-VKT23_000109		NA	100
gene-VKT23_000110	PF01619.25,PF01619.25	NA	100
gene-VKT23_000111	PF02515.23	GO:0003824	8
gene-VKT23_000112	PF03443.21	NA	100
gene-VKT23_000113	PF03443.21	NA	100
gene-VKT23_000114	PF00201.25	GO:0008194	8
gene-VKT23_000115		NA	100
gene-VKT23_000116	PF01658.23,PF07994.19	GO:0004512,GO:0006021,GO:0008654	8
gene-VKT23_000117	PF03031.25	NA	100
gene-VKT23_000118	PF00657.29,PF00734.24	GO:0005576,GO:0005975,GO:0016788,GO:0030248	8
gene-VKT23_000119	PF03443.21	NA	100
gene-VKT23_000120	PF00657.29,PF00734.24	GO:0005576,GO:0005975,GO:0016788,GO:0030248	8
gene-VKT23_000121	PF00199.25,PF06628.18,PF18011.8	GO:0004096,GO:0020037	8
gene-VKT23_000122	PF04140.20,PF04191.19	GO:0004671,GO:0006481,GO:0016020	8
gene-VKT23_000123		NA	100
gene-VKT23_000124		NA	100
gene-VKT23_000125	PF07350.20	NA	100
