gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005	PF20149.5,PF20149.5	NA	100
GML000006	PF18759.8	NA	100
GML000007		NA	100
GML000008		NA	100
GML000009		NA	100
GML000010		NA	100
GML000011	PF00176.30,PF00176.30,PF00176.30,PF00176.30,PF00271.38,PF00271.38,PF00271.38,PF00271.38	GO:0005524	100
GML000012		NA	100
GML000013		NA	100
GML000014		NA	100
GML000015		NA	100
GML000016		NA	100
GML000017		NA	100
GML000018		NA	100
GML000019		NA	100
GML000020		NA	100
GML000021		NA	100
GML000022		NA	100
GML000023		NA	100
GML000024		NA	100
GML000025	PF00271.38,PF00271.38,PF00271.38	NA	100
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031		NA	100
GML000032	PF00620.33,PF00620.33,PF00620.33	GO:0007165	3
GML000033	PF00005.34,PF00005.34,PF12848.14	GO:0005524,GO:0016887	8
GML000034	PF00096.33,PF00096.33	NA	100
GML000035		NA	100
GML000036	PF00687.27	NA	100
GML000037	PF01735.24	GO:0004620,GO:0009395	8
GML000038		NA	100
GML000039		NA	100
GML000040	PF00646.39,PF00646.39,PF12937.13,PF12937.13	GO:0005515	100
GML000041		NA	100
GML000042		NA	100
GML000043	PF01425.27,PF26053.2	NA	100
GML000044	PF19189.7	GO:0005739	100
GML000045	PF00300.28,PF00300.28,PF00397.33,PF00397.33,PF00397.33,PF00620.33,PF00620.33,PF00620.33,PF00784.23,PF00784.23,PF00784.23	GO:0005515,GO:0005856,GO:0007165	3
GML000046	PF00300.28,PF00300.28	NA	100
GML000047	PF00149.34	GO:0016787	8
GML000048	PF12937.13	GO:0005515	100
GML000049	PF03190.22,PF03190.22,PF13899.13,PF13899.13	NA	100
GML000050	PF00081.28,PF02777.24	GO:0004784,GO:0006801,GO:0046872	8
GML000051		NA	100
GML000052		NA	100
GML000053		NA	100
GML000054		NA	100
GML000055	PF01253.28,PF01253.28,PF21023.3	GO:0003743,GO:0006413	8
GML000056	PF01735.24	GO:0004620,GO:0009395	8
GML000057		NA	100
GML000058		NA	100
GML000059		NA	100
GML000060	PF07173.18	NA	100
GML000061		NA	100
GML000062	PF00651.38	GO:0005515	100
GML000063		NA	100
GML000064	PF12937.13,PF12937.13	GO:0005515	100
GML000065	PF07173.18	NA	100
GML000066	PF03928.21,PF03928.21	NA	100
GML000067		NA	100
GML000068		NA	100
GML000069	PF00782.26,PF00782.26	GO:0016311	8
GML000070	PF07173.18,PF07173.18	NA	100
GML000071	PF07173.18	NA	100
GML000072	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
GML000073	PF00063.28,PF00063.28,PF00173.34,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	GO:0003774,GO:0005524,GO:0016459	100
GML000074		NA	100
GML000075	PF00293.35,PF00293.35	NA	100
GML000076		NA	100
GML000077	PF00860.27	GO:0016020,GO:0022857,GO:0055085	6
GML000078	PF07173.18,PF07173.18	NA	100
GML000079		NA	100
GML000080	PF00328.28,PF00328.28,PF00328.28	NA	100
GML000081		NA	100
GML000082		NA	100
GML000083		NA	100
GML000084		NA	100
GML000085	PF00850.25	NA	100
GML000086	PF00637.27,PF23411.2,PF23411.2,PF23556.2	NA	100
GML000087	PF00533.34,PF16892.11,PF16893.12	GO:0046983	100
GML000088	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000089	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14	GO:0005515	100
GML000090	PF00646.39,PF00646.39,PF12937.13,PF12937.13	GO:0005515	100
GML000091	PF01764.32	GO:0006629	8
GML000092		NA	100
GML000093		NA	100
GML000094		NA	100
GML000095	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000096		NA	100
GML000097	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000098		NA	100
GML000099		NA	100
GML000100		NA	100
GML000101		NA	100
GML000102	PF01248.32	NA	100
GML000103		NA	100
GML000104		NA	100
GML000105		NA	100
GML000106	PF10315.15,PF10315.15	NA	100
GML000107	PF19343.6,PF19343.6,PF19343.6,PF19343.6	NA	100
GML000108		NA	100
GML000109		NA	100
GML000110	PF00651.38	GO:0005515	100
GML000111	PF00561.27,PF12697.14	NA	100
GML000112	PF00249.38,PF00249.38,PF13921.13,PF13921.13	NA	100
GML000113		NA	100
GML000114		NA	100
GML000115		NA	100
GML000116		NA	100
GML000117	PF05699.20,PF05699.20,PF27041.1	GO:0046983	100
GML000118	PF00078.33,PF17917.8,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17919.8	NA	1
GML000119		NA	100
GML000120	PF28437.1	NA	100
GML000121		NA	100
GML000122		NA	100
GML000123		NA	100
GML000124		NA	100
GML000125		NA	100
GML000126		NA	100
GML000127	PF17921.8,PF17921.8	NA	1
GML000128		NA	100
GML000129	PF24764.2,PF24764.2	NA	100
GML000130		NA	100
GML000131		NA	100
GML000132		NA	100
GML000133		NA	100
GML000134		NA	100
GML000135		NA	100
GML000136		NA	100
GML000137		NA	100
GML000138		NA	100
GML000139		NA	100
GML000140		NA	100
GML000141	PF18759.8	NA	100
GML000142		NA	100
GML000143		NA	100
GML000144	PF18802.7,PF18803.7	NA	100
GML000145		NA	100
GML000146		NA	100
GML000147		NA	100
GML000148		NA	100
GML000149		NA	100
GML000150		NA	100
GML000151		NA	100
GML000152		NA	100
GML000153	PF00078.33,PF00078.33,PF17917.8,PF17919.8	NA	1
GML000154	PF17917.8,PF17919.8	NA	1
GML000155	PF17921.8,PF24626.2	NA	1
GML000156	PF00078.33,PF00078.33,PF17917.8,PF17917.8,PF17919.8,PF17919.8	NA	1
GML000157		NA	100
GML000158	PF00098.29,PF30901.1	GO:0003676,GO:0008270	4
GML000159		NA	100
GML000160		NA	100
GML000161	PF18758.8,PF18758.8,PF18758.8	NA	100
GML000162		NA	100
GML000163		NA	100
GML000164		NA	100
GML000165	PF01693.24	NA	100
GML000166		NA	100
