gene_id	pfam_ids	go_ids	bin_id
gene-DL93DRAFT_2092387		NA	100
gene-DL93DRAFT_9		NA	100
gene-DL93DRAFT_2069598	PF04427.24	GO:0006364,GO:0019843	4
gene-DL93DRAFT_49		NA	100
gene-DL93DRAFT_2103870	PF00072.31	GO:0000160	3
gene-DL93DRAFT_234	PF20236.4	NA	100
gene-DL93DRAFT_2161818	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-DL93DRAFT_207	PF07859.20,PF10340.16	GO:0016787	8
gene-DL93DRAFT_89		NA	100
gene-DL93DRAFT_2161821		NA	100
gene-DL93DRAFT_91	PF12937.13	GO:0005515	100
gene-DL93DRAFT_2151020	PF09811.15	NA	100
gene-DL93DRAFT_2069604	PF00347.29	GO:0003735,GO:0005840,GO:0006412,GO:0019843	4
gene-DL93DRAFT_509	PF00400.39	GO:0005515	100
gene-DL93DRAFT_2069608		NA	100
gene-DL93DRAFT_2092401		NA	100
gene-DL93DRAFT_587	PF00153.33,PF00153.33,PF00153.33,PF13202.13,PF13405.13	GO:0005509	100
gene-DL93DRAFT_2123495	PF03129.26,PF13393.12	NA	100
gene-DL93DRAFT_2123496	PF02475.24,PF25133.2	NA	100
gene-DL93DRAFT_2151027		NA	100
gene-DL93DRAFT_2123497	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-DL93DRAFT_2049617		NA	100
gene-DL93DRAFT_2069623		NA	100
gene-DL93DRAFT_2151029		NA	100
gene-DL93DRAFT_2127684	PF00590.26,PF13241.13,PF14823.12,PF14824.12	GO:0008168	8
gene-DL93DRAFT_2069626		NA	100
gene-DL93DRAFT_2127687	PF00171.28	GO:0016491	8
gene-DL93DRAFT_2069632	PF00085.27,PF13098.14	NA	100
gene-DL93DRAFT_2049071	PF00096.33,PF00096.33,PF00096.33,PF00096.33	NA	100
gene-DL93DRAFT_2127696	PF00734.24,PF00840.28	GO:0004553,GO:0005576,GO:0005975,GO:0030248	8
gene-DL93DRAFT_2044581		NA	100
gene-DL93DRAFT_2049184	PF00450.29	GO:0004185,GO:0006508	5
gene-DL93DRAFT_2092415	PF00248.28	NA	100
gene-DL93DRAFT_3222	PF00719.25	GO:0000287,GO:0004427,GO:0005737,GO:0006796	8
gene-DL93DRAFT_2161842	PF00070.34,PF07992.21,PF22366.2	GO:0016491	8
gene-DL93DRAFT_2049505	PF01494.26,PF07976.20	GO:0071949	100
gene-DL93DRAFT_2069657		NA	100
gene-DL93DRAFT_2049036	PF00734.24,PF00840.28	GO:0004553,GO:0005576,GO:0005975,GO:0030248	8
gene-DL93DRAFT_2069663		NA	100
gene-DL93DRAFT_2092420	PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
gene-DL93DRAFT_2222616	PF01546.34,PF07687.20	GO:0016787	8
gene-DL93DRAFT_2146980	PF00327.26,PF08079.18	NA	100
gene-DL93DRAFT_2103936	PF00346.25	GO:0016651,GO:0048038,GO:0051287	8
gene-DL93DRAFT_2069668		NA	100
gene-DL93DRAFT_2049179	PF04189.19	GO:0030488,GO:0031515	8
gene-DL93DRAFT_2069671	PF00168.37	NA	100
gene-DL93DRAFT_2174964	PF00270.36,PF00271.38,PF04408.30,PF07717.23,PF21010.3,PF24385.2,PF26026.1	GO:0003676,GO:0005524	4
gene-DL93DRAFT_2161852	PF00450.29	GO:0004185,GO:0006508	5
gene-DL93DRAFT_4406	PF00450.29	GO:0004185,GO:0006508	5
gene-DL93DRAFT_2045784	PF00650.26,PF03765.22	NA	100
gene-DL93DRAFT_6695		NA	100
gene-DL93DRAFT_2092426		NA	100
gene-DL93DRAFT_2069682	PF00587.31	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-DL93DRAFT_2069684	PF00069.32,PF00400.39,PF00400.39,PF07714.24,PF22956.3	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
gene-DL93DRAFT_2069687		NA	100
gene-DL93DRAFT_2027985		NA	100
gene-DL93DRAFT_2069689	PF00384.28,PF09326.17,PF10588.15,PF22117.3,PF22151.3	GO:0016491,GO:0016651,GO:0051536	8
gene-DL93DRAFT_2069690		NA	100
gene-DL93DRAFT_2049531	PF12706.14	NA	100
gene-DL93DRAFT_4212	PF04408.30,PF07717.23,PF21010.3	NA	100
gene-DL93DRAFT_2069691		NA	100
gene-DL93DRAFT_2069693		NA	100
gene-DL93DRAFT_2069694	PF25540.2	NA	100
gene-DL93DRAFT_7123	PF25540.2	NA	100
gene-DL93DRAFT_2048932	PF00566.26,PF23436.2	NA	100
gene-DL93DRAFT_2069698	PF00400.39,PF00400.39,PF12265.15	GO:0005515	100
gene-DL93DRAFT_2161868		NA	100
gene-DL93DRAFT_2069702		NA	100
gene-DL93DRAFT_2069703	PF00621.26	GO:0005085	100
gene-DL93DRAFT_9529		NA	100
gene-DL93DRAFT_14897		NA	100
gene-DL93DRAFT_14933		NA	100
gene-DL93DRAFT_2033599		NA	100
gene-DL93DRAFT_2123523	PF00557.30	NA	100
gene-DL93DRAFT_2123524	PF00179.32	NA	100
gene-DL93DRAFT_2069721	PF00576.28	NA	100
gene-DL93DRAFT_2069724	PF00439.31	GO:0005515	100
gene-DL93DRAFT_2069726		NA	100
gene-DL93DRAFT_2069728	PF01433.27,PF25316.2,PF25577.2	GO:0008237,GO:0008270	8
gene-DL93DRAFT_8248		NA	100
gene-DL93DRAFT_2069731	PF09768.16	GO:0004222	8
gene-DL93DRAFT_2104003	PF00282.26	GO:0016830,GO:0019752,GO:0030170	8
gene-DL93DRAFT_2092442		NA	100
gene-DL93DRAFT_2069734		NA	100
gene-DL93DRAFT_2069736		NA	100
gene-DL93DRAFT_2069742		NA	100
gene-DL93DRAFT_2092445		NA	100
gene-DL93DRAFT_2028364		NA	100
gene-DL93DRAFT_2161879	PF00022.27	NA	100
gene-DL93DRAFT_t1		NA	100
gene-DL93DRAFT_2092448		NA	100
gene-DL93DRAFT_2049313	PF03936.22,PF19086.6	GO:0000287,GO:0010333,GO:0016829	2
gene-DL93DRAFT_2049048	PF03936.22,PF19086.6	GO:0000287,GO:0010333,GO:0016829	2
gene-DL93DRAFT_2175156	PF02668.23	GO:0016491	8
gene-DL93DRAFT_2069754		NA	100
gene-DL93DRAFT_2092453	PF03061.29	NA	100
gene-DL93DRAFT_2222655		NA	100
gene-DL93DRAFT_2049241	PF00004.36,PF01426.25,PF13191.13,PF17872.8,PF22606.3	GO:0003682,GO:0005524,GO:0016887	8
gene-DL93DRAFT_2030708	PF04124.19	GO:0017119	100
gene-DL93DRAFT_2049482		NA	100
gene-DL93DRAFT_2048913	PF02284.22	GO:0005743,GO:0006123	8
gene-DL93DRAFT_2104028	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF21128.6	GO:0003677,GO:0005524,GO:0016887	4
gene-DL93DRAFT_2104031	PF00809.29,PF01288.26,PF02152.24,PF02152.24	GO:0003848,GO:0004150,GO:0006760,GO:0009396,GO:0042558	8
gene-DL93DRAFT_15609	PF00150.25,PF02836.24,PF26410.1	GO:0000272,GO:0004553,GO:0005975	8
gene-DL93DRAFT_2069771	PF04622.19	NA	100
gene-DL93DRAFT_2151081	PF09429.16,PF12622.13	GO:0006396	8
gene-DL93DRAFT_2161895	PF01281.26,PF03948.20	NA	100
gene-DL93DRAFT_18366		NA	100
gene-DL93DRAFT_2049491	PF01425.27	NA	100
gene-DL93DRAFT_2123539	PF00097.32,PF13445.13,PF13639.13,PF13923.13	GO:0046872	100
gene-DL93DRAFT_2049515	PF00583.32	GO:0016747	8
