gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
g1	g1.t1		None	None
g2	g2.t1		None	None
g3	g3.t1		None	None
g4	g4.t1		None	None
g5	g5.t1		None	None
g6	g6.t1	PF00075.31	Partial	None
g7	g7.t1		None	None
g8	g8.t1		None	None
g9	g9.t1		None	None
g10	g10.t1		None	None
g11	g11.t1		None	None
g12	g12.t1	PF00536.38,PF30784.1	Partial	None
g13	g13.t1	PF00075.31,PF00078.33	Complete	None
g14	g14.t1		None	None
g15	g15.t1		None	None
g16	g16.t1		None	None
g17	g17.t1		None	None
g18	g18.t1		None	None
g19	g19.t1		None	None
g20	g20.t1		None	None
g21	g21.t1	PF03372.30	Partial	None
g22	g22.t1		None	None
g23	g23.t1		None	None
g24	g24.t1		None	None
g25	g25.t1		None	None
g26	g26.t1		None	None
g27	g27.t1		None	None
g28	g28.t1		None	None
g29	g29.t1		None	None
g30	g30.t1	PF00075.31	Complete	None
g31	g31.t1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF07569.17,PF09453.16,PF24105.2	Complete	None
g32	g32.t1		None	None
g33	g33.t1		None	None
g34	g34.t1	PF00075.31	Partial	None
g35	g35.t1	PF00078.33	Complete	None
g36	g36.t1		None	None
g37	g37.t1	PF00075.31	Complete	None
g38	g38.t1		None	None
g39	g39.t1		None	None
g40	g40.t1		None	None
g41	g41.t1		None	None
g42	g42.t1	PF00075.31	Complete	None
g43	g43.t1		None	None
g44	g44.t1		None	None
g45	g45.t1		None	None
g46	g46.t1		None	None
g47	g47.t1		None	None
g48	g48.t1	PF00078.33	Partial	None
g49	g49.t1		None	None
g50	g50.t1		None	None
g51	g51.t1	PF00023.37,PF04383.20,PF13606.13	Complete	None
g52	g52.t1	PF01264.27	Partial	None
g53	g53.t1	PF00505.26,PF09011.17,PF14887.12	Partial	None
g54	g54.t1		None	None
g55	g55.t1		None	None
g56	g56.t1	PF01817.27	Partial	None
g57	g57.t1	PF13945.12	Partial	None
g58	g58.t1		None	None
g59	g59.t1	PF00856.34,PF17907.8	Partial	None
g60	g60.t1		None	None
g61	g61.t1		None	None
g62	g62.t1	PF04937.21,PF05699.20	Complete	None
g63	g63.t1	PF03221.23	Partial	None
g64	g64.t1	PF03184.26	Partial	None
g65	g65.t1	PF10551.16,PF21056.4	Partial	None
g66	g66.t1		None	None
g67	g67.t1	PF00258.31	Partial	None
g68	g68.t1	PF10377.15	Complete	None
g69	g69.t1		None	None
g70	g70.t1	PF22968.3	Complete	None
g71	g71.t1	PF02582.20	Partial	None
g72	g72.t1		None	None
g73	g73.t1	PF04082.24	Partial	None
g74	g74.t1	PF07716.21	Complete	None
g75	g75.t1	PF22968.3	Partial	None
g76	g76.t1	PF00069.32,PF07714.24	Partial	None
g77	g77.t1		None	None
g78	g78.t1		None	None
g79	g79.t1	PF20147.6	Partial	None
g80	g80.t1		None	None
g81	g81.t1	PF00248.28	Partial	None
g82	g82.t1		None	None
g83	g83.t1	PF00248.28	Partial	None
g84	g84.t1		None	None
g85	g85.t1		None	None
g86	g86.t1	PF20147.6	Partial	None
g87	g87.t1	PF20147.6	Partial	None
g88	g88.t1		None	None
g89	g89.t1		None	None
g90	g90.t1		None	None
g91	g91.t1	PF26638.1	Partial	None
g92	g92.t1	PF25482.2	Partial	None
g93	g93.t1	PF26638.1	Partial	None
g94	g94.t1		None	None
g95	g95.t1	PF00075.31	Partial	None
g96	g96.t1		None	None
g97	g97.t1		None	None
g98	g98.t1		None	None
g99	g99.t1	PF26638.1	Partial	None
g100	g100.t1		None	None
g101	g101.t1	PF00133.29	Partial	None
g102	g102.t1		None	None
g103	g103.t1	PF00856.34,PF12895.14,PF13414.13,PF13431.13,PF13432.13,PF13432.13	Complete	None
g104	g104.t1		None	None
g105	g105.t1		None	None
g106	g106.t1		None	None
g107	g107.t1		None	None
g108	g108.t1		None	None
g109	g109.t1	PF03288.23,PF19263.6	Complete	None
g110	g110.t1		None	None
g111	g111.t1		None	None
g112	g112.t1	PF04665.19	Partial	None
g113	g113.t1	PF13650.12	Complete	None
g114	g114.t1	PF00385.31,PF00665.33	Complete	None
g115	g115.t1		None	None
g116	g116.t1	PF27039.1	Complete	None
g117	g117.t1		None	None
g118	g118.t1		None	None
g119	g119.t1		None	None
g120	g120.t1		None	None
g121	g121.t1		None	None
g122	g122.t1		None	None
g123	g123.t1		None	None
g124	g124.t1		None	None
g125	g125.t1	PF14516.13	Partial	None
g126	g126.t1	PF20147.6	Partial	None
g127	g127.t1		None	None
g128	g128.t1		None	None
g129	g129.t1	PF13650.12	Partial	None
g130	g130.t1		None	None
g131	g131.t1		None	None
g132	g132.t1	PF00075.31,PF00078.33	Complete	None
g133	g133.t1		None	None
g134	g134.t1	PF05699.20	Partial	None
g135	g135.t1		None	None
g136	g136.t1		None	None
g137	g137.t1	PF00632.31	Partial	None
g138	g138.t1		None	None
g139	g139.t1		None	None
g140	g140.t1		None	None
g141	g141.t1		None	None
g142	g142.t1	PF00078.33	Complete	None
g143	g143.t1	PF04665.19	Partial	None
g144	g144.t1		None	None
g145	g145.t1	PF00385.31	Complete	None
g146	g146.t1		None	None
g147	g147.t1	PF19263.6	Partial	None
g148	g148.t1		None	None
g149	g149.t1		None	None
g150	g150.t1	PF00078.33	Complete	None
g151	g151.t1	PF00075.31	Partial	None
g152	g152.t1	PF13650.12	Complete	None
g153	g153.t1	PF00665.33	Partial	None
g154	g154.t1		None	None
g155	g155.t1		None	None
g156	g156.t1		None	None
g157	g157.t1		None	None
g158	g158.t1		None	None
g159	g159.t1	PF13202.13,PF13202.13,PF13202.13,PF13499.13,PF13833.13	Complete	None
g160	g160.t1	PF13358.13	Partial	None
g161	g161.t1	PF03184.26,PF03221.23	Partial	None
g162	g162.t1	PF10252.15	Partial	None
