gene_id	pfam_ids	go_ids	bin_id
gene-BJ508DRAFT_196256	PF24883.3	NA	100
gene-BJ508DRAFT_21	PF24883.3	NA	100
gene-BJ508DRAFT_40	PF24883.3,PF25053.1	NA	100
gene-BJ508DRAFT_41	PF00096.33	NA	100
gene-BJ508DRAFT_202298	PF09284.17,PF14683.13,PF14686.13	GO:0005975,GO:0016837,GO:0030246	8
gene-BJ508DRAFT_101		NA	100
gene-BJ508DRAFT_125		NA	100
gene-BJ508DRAFT_105		NA	100
gene-BJ508DRAFT_320006		NA	100
gene-BJ508DRAFT_170		NA	100
gene-BJ508DRAFT_409859		NA	100
gene-BJ508DRAFT_409860		NA	100
gene-BJ508DRAFT_320009		NA	100
gene-BJ508DRAFT_320010		NA	100
gene-BJ508DRAFT_371413		NA	100
gene-BJ508DRAFT_409861	PF24883.3,PF25053.1	NA	100
gene-BJ508DRAFT_409862	PF24883.3,PF25053.1	NA	100
gene-BJ508DRAFT_219199	PF24883.3,PF25053.1	NA	100
gene-BJ508DRAFT_226		NA	100
gene-BJ508DRAFT_320016		NA	100
gene-BJ508DRAFT_371418	PF01266.31,PF13450.13	NA	100
gene-BJ508DRAFT_356714	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-BJ508DRAFT_316469		NA	100
gene-BJ508DRAFT_300275		NA	100
gene-BJ508DRAFT_268	PF03856.19	NA	100
gene-BJ508DRAFT_300278		NA	100
gene-BJ508DRAFT_356717		NA	100
gene-BJ508DRAFT_300280		NA	100
gene-BJ508DRAFT_300282		NA	100
gene-BJ508DRAFT_320026		NA	100
gene-BJ508DRAFT_320027		NA	100
gene-BJ508DRAFT_320028		NA	100
gene-BJ508DRAFT_202336	PF18759.8	NA	100
gene-BJ508DRAFT_371423		NA	100
gene-BJ508DRAFT_356719		NA	100
gene-BJ508DRAFT_300288	PF01124.24	GO:0016020	100
gene-BJ508DRAFT_320032		NA	100
gene-BJ508DRAFT_409870		NA	100
gene-BJ508DRAFT_371428	PF00743.26,PF00743.26	GO:0004499,GO:0050660,GO:0050661	2
gene-BJ508DRAFT_337195		NA	100
gene-BJ508DRAFT_409871	PF13532.13	NA	100
gene-BJ508DRAFT_371431		NA	100
gene-BJ508DRAFT_391		NA	100
gene-BJ508DRAFT_371432		NA	100
gene-BJ508DRAFT_300298		NA	100
gene-BJ508DRAFT_414		NA	100
gene-BJ508DRAFT_300299		NA	100
gene-BJ508DRAFT_428		NA	100
gene-BJ508DRAFT_300301		NA	100
gene-BJ508DRAFT_356732		NA	100
gene-BJ508DRAFT_337206		NA	100
gene-BJ508DRAFT_371436		NA	100
gene-BJ508DRAFT_300306		NA	100
gene-BJ508DRAFT_409875	PF00171.28	GO:0016491	8
gene-BJ508DRAFT_371438	PF00291.32	NA	100
gene-BJ508DRAFT_356736		NA	100
gene-BJ508DRAFT_200378	PF14388.12	NA	100
gene-BJ508DRAFT_320051		NA	100
gene-BJ508DRAFT_320052		NA	100
gene-BJ508DRAFT_409876	PF00557.30,PF05195.23	GO:0030145,GO:0070006	8
gene-BJ508DRAFT_198726	PF12223.14	NA	100
gene-BJ508DRAFT_588		NA	100
gene-BJ508DRAFT_591	PF03126.24	GO:0003677	4
gene-BJ508DRAFT_196802	PF18922.6	NA	100
gene-BJ508DRAFT_409884	PF05208.20	GO:0000030	8
gene-BJ508DRAFT_409885	PF00118.30	GO:0005524	100
gene-BJ508DRAFT_409886		NA	100
gene-BJ508DRAFT_300322		NA	100
gene-BJ508DRAFT_320062		NA	100
gene-BJ508DRAFT_337230		NA	100
gene-BJ508DRAFT_409888	PF03810.26,PF25018.2	GO:0006886,GO:0031267	6
gene-BJ508DRAFT_665		NA	100
gene-BJ508DRAFT_642	PF00153.33,PF00153.33,PF00153.33,PF13202.13,PF13202.13,PF13202.13,PF13405.13,PF13499.13,PF13499.13	GO:0005509	100
gene-BJ508DRAFT_671		NA	100
gene-BJ508DRAFT_185731	PF14618.12	NA	100
gene-BJ508DRAFT_320067	PF19259.5	NA	100
gene-BJ508DRAFT_300332		NA	100
gene-BJ508DRAFT_320070		NA	100
gene-BJ508DRAFT_300334		NA	100
gene-BJ508DRAFT_337232		NA	100
gene-BJ508DRAFT_751	PF00018.35,PF03114.24,PF07653.24,PF14604.13	GO:0005515,GO:0005737	100
gene-BJ508DRAFT_409893	PF00155.28,PF00266.26,PF01041.24,PF01212.28	GO:0006520,GO:0009058,GO:0016829,GO:0030170	8
gene-BJ508DRAFT_300338		NA	100
gene-BJ508DRAFT_409894		NA	100
gene-BJ508DRAFT_320076		NA	100
gene-BJ508DRAFT_409895	PF00240.30,PF01428.24,PF11976.15	GO:0005515,GO:0008270	100
gene-BJ508DRAFT_851		NA	100
gene-BJ508DRAFT_834		NA	100
gene-BJ508DRAFT_219260	PF00107.33,PF08240.18	NA	100
gene-BJ508DRAFT_337243		NA	100
gene-BJ508DRAFT_409897		NA	100
gene-BJ508DRAFT_202548	PF12708.13,PF12708.13	NA	100
gene-BJ508DRAFT_409899		NA	100
gene-BJ508DRAFT_908		NA	100
gene-BJ508DRAFT_300347	PF01694.29	GO:0004252,GO:0016020	8
gene-BJ508DRAFT_371464		NA	100
gene-BJ508DRAFT_371465		NA	100
gene-BJ508DRAFT_409902	PF00107.33,PF08240.18	NA	100
gene-BJ508DRAFT_356761	PF10744.15	GO:0003712,GO:0006357,GO:0016592	100
gene-BJ508DRAFT_371468		NA	100
gene-BJ508DRAFT_409906	PF10287.17,PF10290.15	NA	100
gene-BJ508DRAFT_300355		NA	100
gene-BJ508DRAFT_1062	PF05686.19	NA	100
gene-BJ508DRAFT_1061		NA	100
gene-BJ508DRAFT_300357		NA	100
gene-BJ508DRAFT_1103		NA	100
gene-BJ508DRAFT_201660	PF06738.19,PF12821.14	GO:0022857,GO:0055085	6
gene-BJ508DRAFT_320097	PF01283.25	GO:0003735,GO:0005840,GO:0006412	4
gene-BJ508DRAFT_202535	PF00732.26,PF00734.24,PF00890.31,PF05199.20,PF13450.13,PF16010.11	GO:0005576,GO:0005975,GO:0016614,GO:0030248,GO:0050660	8
gene-BJ508DRAFT_409909	PF06244.19	NA	100
gene-BJ508DRAFT_320102	PF00069.32,PF07714.24,PF08587.18,PF16579.12,PF16579.12	GO:0004672,GO:0004674,GO:0005524,GO:0006468	3
gene-BJ508DRAFT_409911	PF01105.30	NA	100
gene-BJ508DRAFT_409912	PF00307.37	GO:0005515	100
gene-BJ508DRAFT_202284	PF01284.29	GO:0016020	100
gene-BJ508DRAFT_409913	PF07955.18	GO:0005739,GO:0016491	8
gene-BJ508DRAFT_409914	PF03367.20,PF03367.20,PF22794.2,PF22794.2	GO:0008270	100
gene-BJ508DRAFT_202541	PF01817.27	GO:0004106,GO:0046417	8
gene-BJ508DRAFT_409916	PF05460.19	GO:0003677,GO:0005664,GO:0006260	4
gene-BJ508DRAFT_300374	PF05185.23,PF17285.9,PF17286.8	NA	100
gene-BJ508DRAFT_409918	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-BJ508DRAFT_371487		NA	100
gene-BJ508DRAFT_1335	PF00076.29,PF13865.12	GO:0003723	4
gene-BJ508DRAFT_409921	PF04969.23	NA	100
gene-BJ508DRAFT_300379		NA	100
gene-BJ508DRAFT_1391		NA	100
gene-BJ508DRAFT_409924	PF00333.27,PF03719.22	GO:0003723,GO:0003735,GO:0005840,GO:0006412	4
gene-BJ508DRAFT_320118	PF02417.21,PF02417.21	GO:0015109,GO:0015703	6
gene-BJ508DRAFT_232623	PF01119.26,PF13589.13	GO:0005524,GO:0006298,GO:0030983	3
gene-BJ508DRAFT_409927	PF00018.35,PF00063.28,PF06017.20	GO:0003774,GO:0005515,GO:0005524,GO:0016459	100
gene-BJ508DRAFT_300385		NA	100
gene-BJ508DRAFT_371494	PF01095.26	GO:0030599,GO:0042545	8
gene-BJ508DRAFT_371495		NA	100
gene-BJ508DRAFT_409929	PF12451.14,PF17122.11,PF23266.2,PF23341.2,PF23356.2,PF23356.2	NA	100
gene-BJ508DRAFT_356794		NA	100
gene-BJ508DRAFT_409930	PF09949.16	GO:0008195	8
gene-BJ508DRAFT_316498	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BJ508DRAFT_320128		NA	100
gene-BJ508DRAFT_409933	PF01602.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
gene-BJ508DRAFT_371499		NA	100
