protein_id	length
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA580676	103
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA3236	170
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA5640	427
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA539145	641
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA481317	266
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA567151	106
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA627725	885
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA479426	677
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA19466	99
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA643146	176
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA643287	153
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA26548	162
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA596128	574
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA540909	514
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA34313	538
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA615984	222
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA568060	185
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA568141	54
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA568202	580
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA482186	411
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA168802	245
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA582516	1048
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA176371	601
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA482269	102
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA482272	303
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA582853	202
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA568942	241
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA543163	324
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA191244	209
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA482187	1766
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA569285	523
rna-gnl|WGS:NSJI|BS50DRAFT_mRNA543870	592
