protein_id	length
rna-XM_069389285.1	88
rna-XM_069389398.1	475
rna-XM_069392158.1	152
rna-XM_069393266.1	569
rna-XM_069394374.1	224
rna-XM_069395485.1	1393
rna-XM_069396594.1	502
rna-XM_069397704.1	845
rna-XM_069394527.1	500
rna-XM_069394638.1	777
rna-XM_069394749.1	566
rna-XM_069394860.1	203
rna-XM_069394971.1	316
rna-XM_069395082.1	936
rna-XM_069395193.1	397
rna-XM_069397657.1	263
rna-XM_069397769.1	569
rna-XM_069397880.1	302
rna-XM_069397991.1	596
rna-XM_069398102.1	943
rna-XM_069399092.1	151
rna-XM_069399203.1	851
rna-XM_069399314.1	263
rna-XM_069399425.1	728
rna-XM_069399536.1	125
rna-XM_069399647.1	1441
rna-XM_069400038.1	224
rna-XM_069400149.1	386
rna-XM_069400260.1	329
rna-XM_069400371.1	451
rna-XM_069400482.1	158
rna-XM_069400593.1	540
rna-XM_069400759.1	727
rna-XM_069400870.1	428
rna-XM_069400981.1	416
rna-XM_069389372.1	233
rna-XM_069389483.1	262
rna-XM_069389613.1	798
rna-XM_069389724.1	446
rna-XM_069389835.1	355
rna-XM_069389946.1	985
rna-XM_069390057.1	672
rna-XM_069390168.1	480
rna-XM_069390298.1	79
rna-XM_069390410.1	574
rna-XM_069390521.1	645
rna-XM_069390632.1	722
rna-XM_069390743.1	418
rna-XM_069390869.1	187
rna-XM_069390980.1	430
rna-XM_069391091.1	284
rna-XM_069391202.1	183
rna-XM_069398958.1	649
rna-XM_069400064.1	338
rna-XM_069389443.1	354
rna-XM_069390664.1	429
rna-XM_069391288.1	97
rna-XM_069391399.1	161
rna-XM_069391510.1	230
rna-XM_069391631.1	251
rna-XM_069391742.1	468
rna-XM_069391853.1	952
rna-XM_069391964.1	1420
rna-XM_069392075.1	522
rna-XM_069392187.1	375
rna-XM_069392298.1	249
rna-XM_069392409.1	440
rna-XM_069392520.1	638
rna-XM_069392631.1	375
rna-XM_069392742.1	128
rna-XM_069392853.1	172
rna-XM_069392964.1	341
rna-XM_069393075.1	166
rna-XM_069393186.1	597
rna-XM_069393298.1	150
rna-XM_069393409.1	467
rna-XM_069393520.1	764
rna-XM_069393631.1	479
rna-XM_069393742.1	410
rna-XM_069393854.1	159
rna-XM_069393965.1	151
rna-XM_069394076.1	1993
rna-XM_069394187.1	1235
rna-XM_069394298.1	374
rna-XM_069394410.1	599
rna-XM_069395293.1	574
rna-XM_069395404.1	337
rna-XM_069395516.1	379
rna-XM_069395627.1	202
rna-XM_069395738.1	235
rna-XM_069395849.1	833
rna-XM_069395960.1	155
rna-XM_069396071.1	342
rna-XM_069396182.1	810
rna-XM_069396293.1	434
rna-XM_069396405.1	554
rna-XM_069396516.1	1165
rna-XM_069396628.1	179
rna-XM_069396739.1	817
rna-XM_069396850.1	393
rna-XM_069396961.1	504
rna-XM_069397072.1	335
rna-XM_069397183.1	162
rna-XM_069397294.1	107
rna-XM_069397405.1	378
rna-XM_069397516.1	267
rna-XM_069398254.1	394
rna-XM_069398365.1	883
rna-XM_069398476.1	659
rna-XM_069398587.1	521
rna-XM_069398698.1	1296
rna-XM_069398810.1	556
rna-XM_069398920.1	403
rna-XM_069399031.1	153
rna-XM_069399795.1	305
rna-XM_069399906.1	422
rna-XM_069400630.1	243
rna-XM_069391231.1	712
