gene_id	pfam_ids	go_ids	bin_id
gene-B0T26DRAFT_669357	PF06985.18,PF24883.3	NA	100
gene-B0T26DRAFT_744993		NA	100
gene-B0T26DRAFT_758090		NA	100
gene-B0T26DRAFT_669359		NA	100
gene-B0T26DRAFT_758104		NA	100
gene-B0T26DRAFT_744997		NA	100
gene-B0T26DRAFT_633447	PF03055.22	GO:0016702	8
gene-B0T26DRAFT_682233	PF00135.35,PF07859.20,PF20434.6	GO:0016787	8
gene-B0T26DRAFT_866306	PF24024.2	NA	100
gene-B0T26DRAFT_682248	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T26DRAFT_682250	PF30690.1	NA	100
gene-B0T26DRAFT_294	PF02668.23	GO:0016491	8
gene-B0T26DRAFT_633909	PF27566.1	NA	100
gene-B0T26DRAFT_631797		NA	100
gene-B0T26DRAFT_631126	PF01425.27	NA	100
gene-B0T26DRAFT_632676	PF00067.28,PF00070.34,PF07992.21,PF14759.13	GO:0004497,GO:0005506,GO:0016491,GO:0016705,GO:0020037	2
gene-B0T26DRAFT_634702	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0T26DRAFT_736050		NA	100
gene-B0T26DRAFT_758143		NA	100
gene-B0T26DRAFT_745012	PF02214.29	GO:0051260	100
gene-B0T26DRAFT_622077	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-B0T26DRAFT_745015	PF00465.26,PF25137.1	GO:0016491,GO:0046872	8
gene-B0T26DRAFT_633412		NA	100
gene-B0T26DRAFT_631027	PF01494.26,PF21274.4	GO:0071949	100
gene-B0T26DRAFT_736054		NA	100
gene-B0T26DRAFT_749		NA	100
gene-B0T26DRAFT_669380		NA	100
gene-B0T26DRAFT_736056	PF08240.18	NA	100
gene-B0T26DRAFT_736057		NA	100
gene-B0T26DRAFT_635289	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-B0T26DRAFT_632159	PF01476.27,PF01476.27	NA	100
gene-B0T26DRAFT_669384		NA	100
gene-B0T26DRAFT_669385	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T26DRAFT_758192		NA	100
gene-B0T26DRAFT_758194		NA	100
gene-B0T26DRAFT_669387	PF24476.2	NA	100
gene-B0T26DRAFT_635600	PF00561.27,PF08386.17	NA	100
gene-B0T26DRAFT_869	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0T26DRAFT_745027	PF02746.22,PF13378.13	NA	100
gene-B0T26DRAFT_635392	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-B0T26DRAFT_1108		NA	100
gene-B0T26DRAFT_745031	PF26534.1	NA	100
gene-B0T26DRAFT_632562		NA	100
gene-B0T26DRAFT_1143		NA	100
gene-B0T26DRAFT_745034		NA	100
gene-B0T26DRAFT_669397	PF24968.1	NA	100
gene-B0T26DRAFT_866335		NA	100
gene-B0T26DRAFT_t38		NA	100
gene-B0T26DRAFT_736067	PF09351.16	NA	100
gene-B0T26DRAFT_745038		NA	100
gene-B0T26DRAFT_745039		NA	100
gene-B0T26DRAFT_745040	PF14273.12	NA	100
gene-B0T26DRAFT_745041		NA	100
gene-B0T26DRAFT_669402		NA	100
gene-B0T26DRAFT_758231		NA	100
gene-B0T26DRAFT_682391	PF00096.33,PF22939.3,PF24809.2,PF24883.3	NA	100
gene-B0T26DRAFT_682392	PF00176.30,PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-B0T26DRAFT_745046	PF03407.23	NA	100
gene-B0T26DRAFT_841330	PF00106.32,PF00109.33,PF00501.35,PF00550.32,PF00550.32,PF00668.26,PF00698.27,PF01370.28,PF02801.29,PF07993.19,PF08241.19,PF08242.19,PF08659.17,PF13489.13,PF13649.13,PF13847.13,PF14765.13,PF21089.4,PF22621.3	GO:0003824,GO:0008757	8
gene-B0T26DRAFT_682407		NA	100
gene-B0T26DRAFT_758274	PF12697.14	NA	100
gene-B0T26DRAFT_682414		NA	100
gene-B0T26DRAFT_632953	PF20684.4	NA	100
gene-B0T26DRAFT_1312	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-B0T26DRAFT_631066	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-B0T26DRAFT_635733	PF00107.33,PF08240.18	NA	100
gene-B0T26DRAFT_736075	PF22903.4	NA	100
gene-B0T26DRAFT_669415	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-B0T26DRAFT_632951	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-B0T26DRAFT_t37		NA	100
gene-B0T26DRAFT_745057		NA	100
gene-B0T26DRAFT_745058	PF14441.13	NA	100
gene-B0T26DRAFT_736079	PF00076.29,PF00076.29,PF00076.29,PF16842.12	GO:0003723	4
gene-B0T26DRAFT_1413		NA	100
gene-B0T26DRAFT_745060		NA	100
gene-B0T26DRAFT_669422		NA	100
gene-B0T26DRAFT_669423		NA	100
gene-B0T26DRAFT_745063		NA	100
gene-B0T26DRAFT_669424	PF00270.36,PF00271.38,PF07717.23,PF13401.13,PF21010.3,PF28719.1	GO:0003676,GO:0005524,GO:0016887	4
gene-B0T26DRAFT_682448	PF10274.16,PF12074.14,PF13513.13,PF23271.2,PF23271.2,PF24916.2,PF24984.2,PF24987.2,PF24993.2,PF25786.1,PF25801.2,PF26715.1,PF26715.1	NA	100
gene-B0T26DRAFT_1476	PF01280.27,PF25476.2	NA	100
gene-B0T26DRAFT_736082	PF00464.26	NA	100
gene-B0T26DRAFT_669428	PF00857.27,PF13532.13,PF24470.2	NA	100
