protein_id	length
rna-XM_025517304.1	363
rna-XM_025512650.1	591
rna-XM_025512688.1	547
rna-XM_025512365.1	457
rna-XM_025516787.1	1086
rna-XM_025516793.1	876
rna-XM_025510260.1	1001
rna-XM_025512855.1	118
rna-XM_025511629.1	1217
rna-XM_025512914.1	683
rna-XM_025515841.1	1538
rna-XM_025512984.1	107
rna-XM_025510960.1	1369
rna-XM_025511067.1	905
rna-XM_025512405.1	297
rna-XM_025513131.1	517
rna-XM_025511576.1	121
rna-XM_025516877.1	415
rna-XM_025511549.1	297
rna-XM_025513267.1	1293
rna-XM_025512420.1	2891
rna-XM_025513331.1	361
rna-XM_025513369.1	507
rna-XM_025517293.1	209
rna-XM_025513439.1	123
rna-XM_025517428.1	169
rna-XM_025512443.1	622
rna-XM_025513527.1	759
rna-XM_025511767.1	722
rna-XM_025511774.1	79
rna-XM_025513630.1	137
rna-XM_025515624.1	615
rna-XM_025513691.1	434
rna-XM_025510001.1	439
rna-XM_025513758.1	89
rna-XM_025513785.1	150
rna-XM_025510096.1	113
rna-XM_025513844.1	494
rna-XM_025513880.1	755
rna-XM_025517015.1	141
rna-XM_025516683.1	331
rna-XM_025510308.1	1071
rna-XM_025515659.1	1148
rna-XM_025514047.1	174
rna-XM_025511502.1	108
rna-XM_025514120.1	287
rna-XM_025514147.1	286
rna-XM_025510504.1	374
rna-XM_025510536.1	731
rna-XM_025512519.1	86
rna-XM_025511924.1	626
rna-XM_025516255.1	1357
rna-XM_025511942.1	639
rna-XM_025511488.1	60
rna-XM_025512293.1	2557
rna-XM_025512298.1	317
rna-XM_025517118.1	1116
rna-XM_025510910.1	1356
rna-XM_025510996.1	118
rna-XM_025511019.1	183
rna-XM_025516367.1	1329
rna-XM_025511127.1	233
rna-XM_025517149.1	665
rna-XM_025514642.1	577
rna-XM_025514664.1	52
rna-XM_025512034.1	171
rna-XM_025516448.1	104
rna-XM_025511379.1	324
rna-XM_025515298.1	160
rna-XM_025516480.1	87
rna-XM_025514847.1	52
rna-XM_025515414.1	678
rna-XM_025516520.1	449
rna-XM_025517380.1	148
rna-XM_025515455.1	440
rna-XM_025514976.1	273
rna-XM_025517550.1	168
rna-XM_025515035.1	426
rna-XM_025510040.1	240
