protein_id	length
rna-XM_023776766.1	96
rna-XM_023775639.1	469
rna-XM_023775739.1	307
rna-XM_023775388.1	421
rna-XM_023775490.1	650
rna-XM_023776561.1	255
rna-XM_023774998.1	218
rna-XM_023774676.1	534
rna-XM_023774778.1	676
rna-XM_023774879.1	354
rna-XM_023773636.1	822
rna-XM_023773743.1	435
rna-XM_023773845.1	730
rna-XM_023774467.1	837
rna-XM_023774568.1	583
rna-XM_023774668.1	152
rna-XM_023775191.1	512
rna-XM_023775292.1	412
rna-XM_023773271.1	259
rna-XM_023773372.1	239
rna-XM_023773473.1	520
rna-XM_023773573.1	601
rna-XM_023767752.1	452
rna-XM_023767852.1	419
rna-XM_023767954.1	293
rna-XM_023768054.1	219
rna-XM_023768157.1	517
rna-XM_023768257.1	228
rna-XM_023768359.1	495
rna-XM_023769030.1	75
rna-XM_023769136.1	564
rna-XM_023769237.1	290
rna-XM_023769338.1	530
rna-XM_023769438.1	525
rna-XM_023769538.1	263
rna-XM_023773909.1	755
rna-XM_023774010.1	360
rna-XM_023774110.1	480
rna-XM_023772870.1	459
rna-XM_023772971.1	372
rna-XM_023773071.1	1293
rna-XM_023773171.1	148
rna-XM_023769702.1	724
rna-XM_023769803.1	1069
rna-XM_023769904.1	509
rna-XM_023770007.1	625
rna-XM_023770107.1	415
rna-XM_023770207.1	451
rna-XM_023768499.1	115
rna-XM_023768599.1	362
rna-XM_023768699.1	290
rna-XM_023768799.1	93
rna-XM_023768902.1	612
rna-XM_023769002.1	223
rna-XM_023771979.1	306
rna-XM_023772081.1	359
rna-XM_023772183.1	424
rna-XM_023772284.1	398
rna-XM_023770300.1	512
rna-XM_023770400.1	166
rna-XM_023770500.1	757
rna-XM_023770600.1	246
rna-XM_023770701.1	159
rna-XM_023770803.1	551
rna-XM_023770904.1	140
rna-XM_023771004.1	227
rna-XM_023771107.1	375
rna-XM_023771208.1	147
rna-XM_023771310.1	670
rna-XM_023765223.1	562
rna-XM_023765326.1	52
rna-XM_023765428.1	481
rna-XM_023765530.1	540
rna-XM_023765633.1	442
rna-XM_023765734.1	291
rna-XM_023765836.1	607
rna-XM_023765937.1	485
rna-XM_023766037.1	704
rna-XM_023766138.1	287
rna-XM_023766238.1	267
rna-XM_023766338.1	806
rna-XM_023766438.1	337
rna-XM_023766538.1	190
rna-XM_023766638.1	370
rna-XM_023766740.1	112
rna-XM_023771357.1	1467
rna-XM_023771459.1	548
rna-XM_023771559.1	307
rna-XM_023771663.1	316
rna-XM_023771764.1	288
rna-XM_023771865.1	571
rna-XM_023775978.1	662
rna-XM_023772374.1	353
rna-XM_023772475.1	531
rna-XM_023772575.1	199
rna-XM_023772676.1	370
rna-XM_023772777.1	193
rna-XM_023775845.1	2512
rna-XM_023776087.1	556
rna-XM_023776187.1	565
rna-XM_023766910.1	332
rna-XM_023767011.1	725
rna-XM_023767112.1	429
rna-XM_023767212.1	648
rna-XM_023767312.1	113
rna-XM_023767412.1	211
rna-XM_023767512.1	405
rna-XM_023767613.1	288
rna-XM_023776254.1	682
rna-XM_023776352.1	97
rna-XM_023776724.1	201
rna-XM_023776669.1	255
rna-XM_023776497.1	245
rna-XM_023774228.1	1560
rna-XM_023774329.1	2227
