protein_id	length
GML000001_mRNA1	359
GML000101_mRNA1	486
GML000201_mRNA1	676
GML000301_mRNA1	1706
GML000401_mRNA1	544
GML000501_mRNA1	674
GML000601_mRNA1	298
GML000701_mRNA1	395
GML000801_mRNA1	81
GML000901_mRNA1	1141
GML001001_mRNA1	652
GML001101_mRNA1	800
GML001201_mRNA1	397
GML001301_mRNA1	938
GML001401_mRNA1	358
GML001501_mRNA1	1054
GML001601_mRNA1	423
GML001701_mRNA1	143
GML001801_mRNA1	577
GML001901_mRNA1	181
GML002001_mRNA1	936
GML002101_mRNA1	265
GML002201_mRNA1	190
GML002301_mRNA1	123
GML002401_mRNA1	627
GML002501_mRNA1	1379
GML002601_mRNA1	413
GML002701_mRNA1	233
GML002801_mRNA1	1528
GML002901_mRNA1	163
GML003001_mRNA1	376
GML003101_mRNA1	645
GML003201_mRNA1	383
GML003301_mRNA1	1799
GML003401_mRNA1	648
GML003501_mRNA1	224
GML003601_mRNA1	669
GML003701_mRNA1	587
GML003801_mRNA1	670
GML003901_mRNA1	624
GML004001_mRNA1	753
GML004101_mRNA1	1161
GML004201_mRNA1	618
GML004301_mRNA1	203
GML004401_mRNA1	672
GML004501_mRNA1	981
GML004601_mRNA1	161
GML004701_mRNA1	448
GML004801_mRNA1	349
GML004901_mRNA1	1056
GML005001_mRNA1	2273
GML005101_mRNA1	530
GML005201_mRNA1	524
GML005301_mRNA1	305
GML005401_mRNA1	79
GML005501_mRNA1	346
GML005601_mRNA1	779
GML005701_mRNA1	1202
GML005801_mRNA1	1688
GML005901_mRNA1	132
GML006001_mRNA1	1292
GML006101_mRNA1	601
GML006201_mRNA1	318
GML006301_mRNA1	135
GML006401_mRNA1	248
