gene_id	pfam_ids	go_ids	bin_id
gene-PNEG_05001		NA	100
gene-PNEG_00272	PF01680.24,PF05690.21	NA	100
gene-PNEG_05002		NA	100
gene-PNEG_00274	PF01174.26,PF07685.21	GO:0003824,GO:0004359,GO:0042819,GO:0042823	8
gene-PNEG_00275	PF04801.19	GO:0005634,GO:0006351	8
gene-PNEG_00276	PF00400.39,PF00400.39,PF00400.39,PF29630.1	GO:0005515	100
gene-PNEG_00277	PF03178.22,PF10433.16,PF23726.2	GO:0003676,GO:0005634	4
gene-PNEG_00278	PF01008.24	NA	100
gene-PNEG_00279	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
gene-PNEG_00280	PF08507.16	NA	100
gene-PNEG_00281	PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-PNEG_00282	PF23190.2,PF23317.2	NA	100
gene-PNEG_00283	PF05603.18,PF21057.3	NA	100
gene-PNEG_00284		NA	100
gene-PNEG_00285	PF03311.20	GO:0016192	6
gene-PNEG_00286	PF02064.22	GO:0005742,GO:0006886,GO:0030150	6
gene-PNEG_00287	PF08700.18,PF16528.12,PF25345.1	NA	100
gene-PNEG_00288	PF00085.27,PF13098.14	NA	100
gene-PNEG_00289		NA	100
gene-PNEG_00290	PF03810.26,PF08389.19,PF25018.2	GO:0006886,GO:0031267	6
gene-PNEG_00291		NA	100
gene-PNEG_00292		NA	100
gene-PNEG_00293	PF05625.18	GO:0002098,GO:0033588	8
gene-PNEG_00294	PF01602.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
gene-PNEG_00295	PF00076.29	GO:0003723	4
gene-PNEG_00296	PF00149.34	GO:0016787	8
gene-PNEG_00297	PF06807.20,PF16573.11,PF16575.12	GO:0031124	8
gene-PNEG_00298	PF00069.32,PF00130.29,PF00130.29,PF00433.30,PF02185.23,PF02185.23,PF07714.24	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0007165	3
gene-PNEG_00299	PF01988.25	GO:0005384,GO:0030026	6
gene-PNEG_00300	PF04081.19	GO:0000731,GO:0006260	4
gene-PNEG_00301	PF05208.20	GO:0000030	8
gene-PNEG_00302	PF00587.31,PF03129.26,PF04073.21,PF09180.17	GO:0000166,GO:0002161,GO:0004812,GO:0004827,GO:0005524,GO:0005737,GO:0006418,GO:0006433	8
gene-PNEG_00303	PF00118.30	GO:0005524	100
gene-PNEG_00304		NA	100
gene-PNEG_00305	PF03870.22,PF16992.12	GO:0003899,GO:0006351	8
gene-PNEG_00306	PF00899.28,PF14732.12	NA	100
gene-PNEG_04248	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
gene-PNEG_04249	PF02268.22,PF02751.21	GO:0005672,GO:0006367	8
gene-PNEG_00308	PF00137.27,PF00137.27	GO:0015078,GO:0033177,GO:1902600	6
gene-PNEG_00309	PF04072.21,PF08007.19,PF13418.13,PF13621.13	GO:0008168,GO:0032259	8
gene-PNEG_00310	PF03770.23	GO:0016301,GO:0032958	3
gene-PNEG_00311	PF07738.20	NA	100
gene-PNEG_00312	PF01974.24,PF26577.1	GO:0000213,GO:0006388	1
gene-PNEG_00313		NA	100
gene-PNEG_04250	PF00355.33,PF02921.20	GO:0008121,GO:0051537	6
gene-PNEG_04251	PF05546.17	NA	100
gene-PNEG_00315	PF00149.34	GO:0016787	8
gene-PNEG_00316	PF00571.34,PF00571.34,PF00654.26	GO:0006821,GO:0015108,GO:0016020,GO:0055085	6
gene-PNEG_00317	PF00808.30	NA	100
gene-PNEG_00318	PF00164.32	GO:0003735,GO:0005840,GO:0006412	4
gene-PNEG_05003		NA	100
gene-PNEG_00320	PF00005.34,PF00005.34,PF12848.14	GO:0005524,GO:0016887	8
gene-PNEG_00321	PF09770.16,PF09770.16	NA	100
gene-PNEG_00322	PF03931.22	GO:0006511	8
gene-PNEG_00323	PF12928.13	NA	100
gene-PNEG_00324	PF02902.26	GO:0006508,GO:0008234	5
gene-PNEG_00325	PF08577.17,PF11566.14	NA	100
gene-PNEG_04252	PF07542.17	GO:0043461	100
gene-PNEG_04253	PF01466.25,PF03931.22	GO:0006511	8
gene-PNEG_00327	PF09451.17	NA	100
gene-PNEG_00328	PF01253.28	GO:0003743,GO:0006413	8
gene-PNEG_00329	PF00270.36,PF00271.38,PF16124.11	GO:0003676,GO:0005524	4
gene-PNEG_00330	PF10375.15	NA	100
gene-PNEG_00331	PF01592.22	GO:0005506,GO:0016226,GO:0051536	100
gene-PNEG_00332	PF00454.34,PF02259.30,PF02260.26,PF08771.17,PF11865.15,PF13513.13,PF23593.2,PF25574.2	GO:0005515,GO:0044877	100
gene-PNEG_00333	PF03849.20,PF18307.7	GO:0000439,GO:0001671,GO:0006289	3
gene-PNEG_00334	PF13086.13,PF13087.13,PF16399.12,PF21143.4,PF21144.3	GO:0004386	8
gene-PNEG_00335	PF11957.14	NA	100
gene-PNEG_00336	PF03357.27	GO:0007034	6
gene-PNEG_00337		NA	100
gene-PNEG_00338		NA	100
gene-PNEG_00339	PF00717.29,PF10502.15,PF31032.1	GO:0004252,GO:0006465	8
gene-PNEG_00340	PF00107.33	NA	100
gene-PNEG_00341	PF01425.27	NA	100
gene-PNEG_00342	PF00383.30,PF14437.13	NA	100
gene-PNEG_00343	PF00365.26,PF00365.26,PF18468.7	GO:0003872,GO:0006096	3
gene-PNEG_00344	PF02779.30,PF02780.26	NA	100
gene-PNEG_00345		NA	100
