gene_id	pfam_ids	go_ids	bin_id
gene-JR316_0000001		NA	100
gene-JR316_0000002	PF00025.28,PF00503.27	GO:0003924,GO:0005525,GO:0007186,GO:0019001,GO:0031683	3
gene-JR316_0000003		NA	100
gene-JR316_0000004		NA	100
gene-JR316_0000005	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13857.13	GO:0005515	100
gene-JR316_0000006		NA	100
gene-JR316_0000007		NA	100
gene-JR316_0000008		NA	100
gene-JR316_0000009		NA	100
gene-JR316_0000010		NA	100
gene-JR316_0000011	PF00176.30,PF00270.36,PF00271.38,PF04851.22,PF09110.17,PF09111.17,PF11496.15	GO:0003676,GO:0003677,GO:0005524,GO:0005634,GO:0006338,GO:0016787,GO:0031491,GO:0070823	4
gene-JR316_0000012	PF20152.5	NA	100
gene-JR316_0000013		NA	100
gene-JR316_0000014		NA	100
gene-JR316_0000015	PF00153.33,PF00153.33	NA	100
gene-JR316_0000016	PF04882.18	GO:0005778,GO:0007031	100
gene-JR316_0000017		NA	100
gene-JR316_0000018		NA	100
gene-JR316_0000019	PF00400.39	GO:0005515	100
gene-JR316_0000020		NA	100
gene-JR316_0000021	PF03439.19,PF23042.3	NA	100
gene-JR316_0000022		NA	100
gene-JR316_0000023		NA	100
gene-JR316_0000024		NA	100
gene-JR316_0000025		NA	100
gene-JR316_0000026		NA	100
gene-JR316_0000027	PF04882.18	GO:0005778,GO:0007031	100
gene-JR316_0000028	PF00153.33,PF00153.33	NA	100
gene-JR316_0000029		NA	100
gene-JR316_0000030		NA	100
gene-JR316_0000031	PF12770.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13	NA	100
gene-JR316_0000032		NA	100
gene-JR316_0000033	PF00118.30	GO:0005524	100
gene-JR316_0000034	PF01926.30,PF04548.23	GO:0005525	100
gene-JR316_0000035	PF01926.30	GO:0005525	100
gene-JR316_0000036	PF04548.23	GO:0005525	100
gene-JR316_0000037		NA	100
gene-JR316_0000038		NA	100
gene-JR316_0000039		NA	100
gene-JR316_0000040	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF09994.15,PF23098.2	GO:0005515	100
gene-JR316_0000041	PF01926.30,PF04548.23	GO:0005525	100
gene-JR316_0000042	PF01926.30,PF04548.23	GO:0005525	100
gene-JR316_0000043	PF01926.30	GO:0005525	100
gene-JR316_0000044	PF20152.5	NA	100
gene-JR316_0000045	PF20152.5	NA	100
gene-JR316_0000046	PF02798.27,PF13409.13,PF13417.13	NA	100
gene-JR316_0000047		NA	100
gene-JR316_0000048	PF00657.29	GO:0016788	8
gene-JR316_0000049	PF20231.4,PF20231.4	NA	100
gene-JR316_0000050	PF00171.28	GO:0016491	8
gene-JR316_0000051	PF01822.25,PF01822.25,PF01822.25	NA	100
gene-JR316_0000052		NA	100
gene-JR316_0000053		NA	100
gene-JR316_0000054		NA	100
gene-JR316_0000055		NA	100
gene-JR316_0000056	PF00687.27	NA	100
gene-JR316_0000057	PF01822.25,PF01822.25	NA	100
gene-JR316_0000058	PF01822.25,PF01822.25	NA	100
gene-JR316_0000059		NA	100
gene-JR316_0000060		NA	100
gene-JR316_0000061		NA	100
gene-JR316_0000062		NA	100
gene-JR316_0000063	PF18759.8	NA	100
gene-JR316_0000064		NA	100
gene-JR316_0000065		NA	100
gene-JR316_0000066		NA	100
gene-JR316_0000067	PF00335.27	GO:0016020	100
gene-JR316_0000068	PF18759.8	NA	100
